node_1,node_2,edge,chunk_id,edge_type,count
india,sakina's visa,Relationship between Sakina and her visa formalities. Tara and their son Jeete are unable to accompany Sakina back to Lahore due to incomplete visa formalities.,d9573e206f404426bfce8b614eb88d29,,4
ashraf ali,india,Ashraf Ali faced hardships during his journey from India to Pakistan.,d2aa5c44896d489eb2b010fe00add5af,,4
sakina,pakistani population,Sakina's parents' friends started using her post-marriage life as a publicity stunt and depicting her in-laws badly to extract more sympathy and votes from the Pakistani population.,d2aa5c44896d489eb2b010fe00add5af,,4
salim ali,sakina,"Sakina was introduced to Salim Ali, an influential handsome person, and was told that she will be marrying him.",d2aa5c44896d489eb2b010fe00add5af,,4
qazi saheb,sakina,"When Sakina refused a second marriage during the husband's lifetime, her parents and Mamaji became irate and forcibly locked her up in a room inside the palace.",d2aa5c44896d489eb2b010fe00add5af,,4
tara,pakistan border,"When Tara and his friend could not receive a visa, they entered Pakistan illegally at the border along with Jeete.",d2aa5c44896d489eb2b010fe00add5af,,4
tara,gulkhan (mushtaq khan),"Tara tries to take shelter in Gulkhan (Mushtaq Khan), his step-brother's house but leaves the place with Jeete and Darmiyaan.",0d8ff58bc3b24ac7b27a9ca5e7baff3b,,4
tara,sakina,They find out that Sakina is getting married and reach her before the marriage takes place.,0d8ff58bc3b24ac7b27a9ca5e7baff3b,preposition,4
ashraf ali,pakistan,Ashraf Ali makes Tara insult his country to prove that he is a true Pakistani.,0d8ff58bc3b24ac7b27a9ca5e7baff3b,preposition,4
tara,islam,Ashraf Ali agrees to their marriage under two conditions: They should live in Pakistan and Tara should convert to Islam.,0d8ff58bc3b24ac7b27a9ca5e7baff3b,preposition,4
tara,mob,Tara gets enraged and kills a mob dispatched by Ashraf.,0d8ff58bc3b24ac7b27a9ca5e7baff3b,preposition,4
tara,ashraf ali,opponent in a fight,c3351dd702874e2cb3abaf1dc6b7f7f3,,4
sakina,ashraf ali,"['father who tries to stop her from escaping, person who throws Sakina out of the house, person who shoots Sakina and puts her in a coma']",c3351dd702874e2cb3abaf1dc6b7f7f3,,4
sakina,tara,companion during escape,c3351dd702874e2cb3abaf1dc6b7f7f3,,4
sakina,jeet,companion during escape,c3351dd702874e2cb3abaf1dc6b7f7f3,,4
sakina,darmiyaan,companion during escape,c3351dd702874e2cb3abaf1dc6b7f7f3,,4
ashraf ali,daughter who escapes with companions,father of the escaped daughter,c3351dd702874e2cb3abaf1dc6b7f7f3,,4
ashraf ali,man's wife who wants sakina's ornaments for herself,greedy woman in a cottage near the border forest,c3351dd702874e2cb3abaf1dc6b7f7f3,,4
