node_1,node_2,edge,chunk_id,source,count
mcdonald's,analogy with food critics,"Jim Emerson of RogerEbert.com compared the audience for filmmakers like Brian Robbins to the audience for McDonald's, suggesting that they were not primarily concerned with movie critic reviews.",78e338d7950540abb15234cdef6c947d,,4
good reviews,films that received them,"Jim Emerson of RogerEbert.com noted that several of the top grossing films of 2006, including 'Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan', 'The Departed', and 'United 93', received both good reviews from critics and wide audiences.",78e338d7950540abb15234cdef6c947d,,4
paramount,projected earnings,Industry projections expected 'Norbit' to earn $25 million.,78e338d7950540abb15234cdef6c947d,,4
film,united kingdom,released in,620cf6164e8b4f3b94b9bdfbbcfad590,,4
film,"march 9, 2007",released on,620cf6164e8b4f3b94b9bdfbbcfad590,,4
film,topped the country's box office,achieved first position in,620cf6164e8b4f3b94b9bdfbbcfad590,,4
norbit,worst picture,Norbit was nominated for the Razzie Award for Worst Picture.,25d78ec34be5476d81c30b66b825af5a,,4
eddie murphy,three different characters,"In Norbit, Eddie Murphy played three different characters and won three Razzie Awards for this performance.",25d78ec34be5476d81c30b66b825af5a,,4
norbit,academy award,The film Norbit was nominated for an Academy Award for Best Makeup.,25d78ec34be5476d81c30b66b825af5a,,4
"tonight, i celebrate my love",wedding party,"In Norbit, the song 'Tonight, I Celebrate My Love' was played during Norbit and Rasputia's wedding party.",25d78ec34be5476d81c30b66b825af5a,,4
norbit,blu-ray disc,"Norbit was released on Blu-ray Disc on June 5, 2007.",25d78ec34be5476d81c30b66b825af5a,,4
norbit,dvd,"Norbit was also released on DVD on June 5, 2007.",25d78ec34be5476d81c30b66b825af5a,,4
norbit,hd dvd,"Additionally, Norbit was released on HD DVD on June 5, 2007.",25d78ec34be5476d81c30b66b825af5a,,4
