Question,Answer,generated_answer
"Was the release date of ""Rollerball 2002"" pushed back to February 2002 due to post-production work causing delays?",yes,yes
"Did John McTiernan shoot additional footage for ""Rollerball 2002"" in early 2002?",no,yes
"Was the additional footage shot by John McTiernan for ""Rollerball 2002"" in late 2001 used to clarify certain scenes and cut down the violence and nudity?",yes,yes
"Was the entire ending of ""Rollerball 2002"" kept original as per the director's vision?",no,yes
"Was the entire ending of ""Rollerball 2002"" re-shot and changed on orders from the studio?",yes,yes
"""In the movie 'Rollerball 2002', was the blood in all the Rollerball scenes originally present but digitally replaced with water for the PG-13 rating?""",no,yes
"""In the movie 'Rollerball 2002', was the blood in all the Rollerball scenes originally present but digitally replaced with sweat for the PG-13 rating?""",yes,yes
Did the Chicago Sun-Times critic Roger Ebert praise Chris Klein's performance in Rollerball 2002?,no,yes
Did Roger Ebert from the Chicago Sun-Times review the movie Rollerball 2002?,yes,yes
"[""Was Rollerball 2002 a box office success when it was released?""]",no,yes
"[""Was the 2002 movie Rollerball listed by the Los Angeles Times in 2014 as one of the most expensive box office flops of all time?""]",yes,yes
"[""Did William Harrison, the creator of Rollerball, express interest in watching the 2002 incarnation of Rollerball?""]",no,yes
"[""Is William Harrison the creator of Rollerball?""]",yes,yes
