node_1,node_2,edge,chunk_id,node_3,source,count
morbius,nicque marina,The videos feature Nicque Marina reporting on events relative to the film.,427dd60c4ae84c459fc85288afccf3cb,,,4
morbius,$39 million,box office earnings of Morbius in its opening weekend in the U.S. And Canada,7df1b67fce914adf855a876370d2a282,,,4
morbius,$10.2 million,"weekend box office earnings of Morbius in its second weekend in the U.S. And Canada, experiencing a drop of 74%",7df1b67fce914adf855a876370d2a282,,,4
morbius,$4.7 million,"weekend box office earnings of Morbius in its third weekend in the U.S. And Canada, falling to sixth place at the box office and experiencing a drop of 54%",7df1b67fce914adf855a876370d2a282,,,4
morbius,$2.3 million,"weekend box office earnings of Morbius in its fourth weekend in the U.S. And Canada, dropping to ninth place at the box office and experiencing a drop of 51%",7df1b67fce914adf855a876370d2a282,,,4
morbius,$1.5 million,weekend box office earnings of Morbius in its fifth weekend in the U.S. And Canada,7df1b67fce914adf855a876370d2a282,,,4
morbius (international release),$44.9 million,opening weekend box office earnings of Morbius outside the U.S. And Canada,7df1b67fce914adf855a876370d2a282,,,4
morbius (international release),$15 million,"weekend box office earnings of Morbius outside the U.S. And Canada in its second weekend, experiencing a drop of 62%",7df1b67fce914adf855a876370d2a282,,,4
morbius (international release),$6.7 million,weekend box office earnings of Morbius outside the U.S. And Canada in its third weekend,7df1b67fce914adf855a876370d2a282,,,4
morbius (international release),$3.3 million,weekend box office earnings of Morbius outside the U.S. And Canada in its fourth weekend,7df1b67fce914adf855a876370d2a282,,,4
morbius (international release),$1.6 million,weekend box office earnings of Morbius outside the U.S. And Canada in its fifth weekend,7df1b67fce914adf855a876370d2a282,,,4
sony,internet memes,"On June 3, 2022, Sony announced the film would return to 1,000 theaters weeks after its initial theatrical and digital release, largely attributed to the film's influx in attention from Internet memes in the weeks prior.",60284fc414224192a41eedee138c53c2,,,4
sony,legitimate popular admiration towards the film,"The decision was also met with criticism from various outlets, which speculated that the release was because Sony was unaware that the Internet trend was not due to legitimate popular admiration towards the film.",60284fc414224192a41eedee138c53c2,,,4
film,internet memes,"On June 3, 2022, Sony announced the film would return to 1,000 theaters weeks after its initial theatrical and digital release, largely attributed to the film's influx in attention from Internet memes in the weeks prior.",60284fc414224192a41eedee138c53c2,,,4
film,poor performance,"Upon its re-release the film performed very poorly, making only $85,000 on the day it was released, with many outlets claiming the film bombed for a second time.",60284fc414224192a41eedee138c53c2,,,4
film,dismal weekend performance,"After a dismal $300,000 weekend performance in its re-release—a $289 per-theater average—",60284fc414224192a41eedee138c53c2,,,4
morbius,lazy and uninspiring script,The central problem of Morbius is a lazy and uninspiring script.,cc88308efeb64c779e8e3c4b5bd868b5,,,4
morbius,no weight or depth is given to any character.,No weight or depth is given to any character in Morbius.,cc88308efeb64c779e8e3c4b5bd868b5,,,4
morbius,little humor,"When it tries to make a tongue-in-cheek joke, it fails miserably.",cc88308efeb64c779e8e3c4b5bd868b5,,,4
morbius,"charmless, incoherent, ugly and so aggressively stupid that it defies any attempt to shove it into the desperate 'guilty pleasure' box.","Barry Hertz of The Globe and Mail panned the film as being charmless, incoherent, ugly and so aggressively stupid that it defies any attempt to shove it into the desperate 'guilty pleasure' box.",cc88308efeb64c779e8e3c4b5bd868b5,,,4
morbius,incoherent,"Wendy Ide of The Observer called the film an 'incoherent, vampire-themed Marvel offcut.'",cc88308efeb64c779e8e3c4b5bd868b5,,,4
morbius,"soulless, tedious filmmaking","Hannah Strong of Little White Lies also gave the film 1 out of 5 stars, describing it as 'soulless, tedious filmmaking'.",cc88308efeb64c779e8e3c4b5bd868b5,,,4
morbius,decent enough start for the latest addition to the sony spider-man universe,Chris Bumbray of JoBlo.com gave the film a 6 out of 10 and called it 'a decent enough start for the latest addition to the Sony Spider-Man Universe' while also praising the cinematography and 'horror aspects' of the plot.,cc88308efeb64c779e8e3c4b5bd868b5,,,4
morbius,briskly riveting,Mick LaSalle of the San Francisco Chronicle awarded the film a 3 out of 4 and called it 'briskly riveting'.,cc88308efeb64c779e8e3c4b5bd868b5,,,4
morbius,perfect antidote to bloated the batman,Mick LaSalle of the San Francisco Chronicle awarded the film a 3 out of 4 and called it 'a perfect antidote to bloated The Batman'.,cc88308efeb64c779e8e3c4b5bd868b5,,,4
leto,fear and longing,Leah Greenblatt of Entertainment Weekly stated that Leto 'hits the right notes of fear and longing' in a surprisingly restrained performance.,230b0138630a469b860f8f30b20607e8,,,4
leto,performance,Stephanie Zacharek of Time commended Leto's 'quietly vibrating vulnerability' in his performance.,230b0138630a469b860f8f30b20607e8,,,4
smith,flamboyance and spirit,Matt Donato of IGN praised Smith's performance for providing 'the colorfulness the film desperately needs' with his 'flamboyance and spirit'.,230b0138630a469b860f8f30b20607e8,,,4
leto,drearily dour genius,Matt Donato of IGN compared Leto's performance to Tom Hardy's 'campy' performance in the Venom films and labeled Leto's portrayal as a 'drearily dour genius'.,230b0138630a469b860f8f30b20607e8,,,4
leto,deserves much fun with the mayhem,"The Hollywood Reporter's David Rooney stated that the film 'only intermittently matches the intensity' of Leto's performance and said that it is a shame that this opening salvo takes itself too seriously to have much fun with the mayhem, despite the potential in Smith's devilish turn for amusing interplay between the antagonists.",230b0138630a469b860f8f30b20607e8,,,4
failed fan service,confusing and incoherent explanation,"due to the failed fan service, confusing and incoherent explanation became a joke in the eyes of the general public",f25a9854a5224cbfb40879565f5681d2,,,4
confusing and incoherent explanation,dialogue,and dialogue in the post-credits scenes also came under heavy scrutiny,f25a9854a5224cbfb40879565f5681d2,,,4
confusing and incoherent explanation,incoherent,and confused explanation,f25a9854a5224cbfb40879565f5681d2,,,4
failed fan service,weak reveal,"the appearance of Keaton in a pair of [mid-credits] scenes does little to help the sense that Morbius is mostly incoherent, or at least very at odds with whatever it's trying to say",f25a9854a5224cbfb40879565f5681d2,,,4
attempts,unearned fan service,the worst kind of unearned fan service in a film this lacklustre.,f25a9854a5224cbfb40879565f5681d2,,,4
confusing and incoherent explanation,attempts,Morbius' attempts to court an audience by dangling a potential connection,f25a9854a5224cbfb40879565f5681d2,,,4
failed fan service,worst actor,"Morbius received nominations for Worst Picture, Worst Director, and Worst Screenplay; and won Worst Actor and Worst Supporting Actress.",f25a9854a5224cbfb40879565f5681d2,,,4
failed fan service,different director would have been a better fit,"Two years after the film's release, Espinosa expressed regret over making the film stating, ""To make a movie through committee, I think, is very hard, and I felt in the end that maybe a different director would have been a better fit.""",f25a9854a5224cbfb40879565f5681d2,,,4
morbius,internet memes,"Due to its lackluster box office performance and dour critical reception, Morbius inspired various Internet memes.",b0752095a0e948bebc88a993ca9a2849,,,4
morbius,collective internet hate watch,Polygon wrote that the film became 'a kind of collective internet hate watch'.,b0752095a0e948bebc88a993ca9a2849,,,4
morbius,fans sharing meme shitposts,Internet users began creating and sharing memes ironically praising the film.,b0752095a0e948bebc88a993ca9a2849,,,4
#morbiussweep,morbius,"Following its release, the hashtag #MorbiusSweep began trending on social media as a joke.",b0752095a0e948bebc88a993ca9a2849,,,4
morbius,impossible approval rating,Claims circulated online that the film received an impossible 203% or higher approval rating from Rotten Tomatoes and similarly-impossible audience rating.,b0752095a0e948bebc88a993ca9a2849,,,4
morbius,edited screenshot,An edited screenshot of the Wikipedia page covering the highest-grossing films was circulated online with Morbius supposedly having earned $352.9 trillion.,b0752095a0e948bebc88a993ca9a2849,,,4
martin scorsese,morbius,"A fake quote circulated on Instagram by Morbius actor Tyrese Gibson claiming that Martin Scorsese, who had previously declared that superhero films were not cinema, had changed his mind after seeing the film; this was later deleted as Gibson believed it was genuine.",b0752095a0e948bebc88a993ca9a2849,,,4
morbius,internet memes,The film received a resurgence in Internet memes following its release to video on demand.,7d78e58260504e039177d5cb9e7f2880,,,4
"fake catchphrase ""it's morbin' time""",morbius,"Many involving the fake catchphrase 'it's Morbin' time',",7d78e58260504e039177d5cb9e7f2880,,,4
power rangers catchphrase 'it's morphin' time',"fake catchphrase ""it's morbin' time""",'it's Morbin' time' is a play on the Power Rangers catchphrase 'it's Morphin' time',7d78e58260504e039177d5cb9e7f2880,,,4
ben grimm catchphrase 'it's clobberin' time',"fake catchphrase ""it's morbin' time""",'It's Clobberin' Time' is related to the fake catchphrase 'it's Morbin' time',7d78e58260504e039177d5cb9e7f2880,,,4
morbius official discord server,users on the film's official discord server,Users on the film's official Discord server call themselves 'Morbheads',7d78e58260504e039177d5cb9e7f2880,,,4
illegally hosting the entire film on repeat,twitch,A large number of channels on the live-streaming service Twitch began illegally hosting the entire film on repeat;,7d78e58260504e039177d5cb9e7f2880,,,4
morbius piracy,other platforms,"Morbius piracy spread to other platforms,",7d78e58260504e039177d5cb9e7f2880,,,4
entire film,twitter,"The entire film was posted in a series of 52 two-minute long videos, compressed into a 30-second long video, and the entire script copy-and-pasted into individual tweets.",7d78e58260504e039177d5cb9e7f2880,,,4
fake news posts,twitter,"Viral fake news posts claiming that a Morbius sequel had been greenlit as a result of the Internet memes spread on Twitter,",7d78e58260504e039177d5cb9e7f2880,,,4
morbius 2,fake news posts,"'Morbius 2' trends on the website, in addition to the phrase 'it's Morbin' time' trending on Twitter for a week.",7d78e58260504e039177d5cb9e7f2880,,,4
morbius,leto,"Leto, in response to the memes, tweeted about Morbius and even created a video where he was reading a script titled Morbius 2: It's Morbin' Time.",e6bf72eec343478eb6538271c84c5932,,,4
morbius,financial failure of the re-release,"Following the financial failure of the re-release, a petition was started to put the film back in theaters for a third time.",e6bf72eec343478eb6538271c84c5932,,,4
michael,leto,"In January 2021, Leto said there was potential for Michael to appear alongside Blade in a future project.",e6bf72eec343478eb6538271c84c5932,,,4
spider-man: no way home,morbius,"During the discussion about the introduction of the multiverse in Spider-Man: No Way Home, Leto said there was potential for further crossovers with his character in future films.",e6bf72eec343478eb6538271c84c5932,,,4
tom holland,michael,Tom Holland expressed interest in seeing his version of Spider-Man fighting Michael in the future.,e6bf72eec343478eb6538271c84c5932,,,4
producer kevin feige,producer amy pascal,Producers Kevin Feige and Amy Pascal confirmed interest in a potential film starring both Leto and Ali.,e6bf72eec343478eb6538271c84c5932,Michael,,4
tom hardy,michael,"During CinemaCon 2022, there was no announcement for a Morbius sequel. This left the character's future in question, but Leto also expressed interest in a future film featuring Michael appearing alongside Venom portrayed by Tom Hardy.",e6bf72eec343478eb6538271c84c5932,,,4
