node_1,node_2,edge,chunk_id,node_3,node_4,node_5,node_6,node_7,count
campbell,cavill,"Henry Cavill was the only other actor in serious contention for the role after Craig, but at 22 years old, he was considered too young according to Martin Campbell.",24ecda786986428abf089f3408c8938c,,,,,,4
campbell,cavill,"According to Martin Campbell, Henry Cavill was the only other actor in serious contention for the role after Craig, but at 22 years old, he was considered too young.",24ecda786986428abf089f3408c8938c,,,,,,4
campbell,cavill,"However, Cavill later said that he was turned down by Campbell as he considered him out of shape for the part.",24ecda786986428abf089f3408c8938c,,,,,,4
worthington,scott,Australian actor Sam Worthington and Scottish actor Dougray Scott were also considered for the role after Craig.,24ecda786986428abf089f3408c8938c,,,,,,4
campbell,o'loughlin,Casting directors Janet Hirshenson and Jane Jenkins recalled meeting with Alex O'Loughlin to discuss the role after Craig.,24ecda786986428abf089f3408c8938c,,,,,,4
campbell,mcmahon,Janet Hirshenson and Jane Jenkins also recalled meeting with Julian McMahon for the same reason.,24ecda786986428abf089f3408c8938c,,,,,,4
campbell,mcgregor,"Rupert Friend and Antony Starr were also discussed with Campbell, along with Ewan McGregor.",24ecda786986428abf089f3408c8938c,,,,,,4
daniel craig,mgm,"In May 2005, British actor Daniel Craig stated that MGM and producers Michael G. Wilson and Barbara Broccoli had assured him he would get the role of Bond.",6dcdde77f68e4fc68d5fd04d13265881,,,,,,4
daniel craig,michael g. wilson,"In May 2005, British actor Daniel Craig stated that MGM and producers Michael G. Wilson and Barbara Broccoli had assured him he would get the role of Bond.",6dcdde77f68e4fc68d5fd04d13265881,,,,,,4
daniel craig,barbara broccoli,"In May 2005, British actor Daniel Craig stated that MGM and producers Michael G. Wilson and Barbara Broccoli had assured him he would get the role of Bond.",6dcdde77f68e4fc68d5fd04d13265881,,,,,,4
matthew vaughn,mgm,"MGM had offered [Matthew] Vaughn the opportunity to direct the new film,",6dcdde77f68e4fc68d5fd04d13265881,,,,,,4
daniel craig,bond,Daniel Craig rejected the idea of starring as he felt the series had descended into formula; only when he read the script did he become interested.,6dcdde77f68e4fc68d5fd04d13265881,,,,,,4
ian fleming's novels,daniel craig,Craig read all of Fleming's novels to prepare for the part,6dcdde77f68e4fc68d5fd04d13265881,,,,,,4
mossad and british secret service agents,daniel craig,"Cited Mossad and British Secret Service agents who served as advisers on the set of Munich as inspiring because, ""Bond has just come out of the service and he's a killer. [...] You can see it in their eyes, you know immediately: oh, hello, he's a killer. There's a look. These guys walk into a room and very subtly they check the perimeters for an exit. That's the sort of thing I wanted."" ",6dcdde77f68e4fc68d5fd04d13265881,,,,,,4
daniel craig,james bond,"In 2005, Daniel Craig was announced as the sixth actor to play James Bond by Eon Productions, Sony Pictures Entertainment, and MGM. This decision sparked controversy among critics and fans who expressed doubt about the producers' choice. The Daily Mirror even ran a critical headline, 'The Name's Bland - James Bland', due to Craig's perceived lack of tall, dark, handsome, and charismatic qualities associated with the character. However, despite requests to dye his hair brown, Craig refused, instead opting for a shorter, more brutal hairstyle.",d7cab0bdb3a94d9a9f9112bf7b9bf55c,,,,,,4
eon productions,sony pictures entertainment,"In 2005, Eon Productions and Sony Pictures Entertainment jointly announced that Daniel Craig would be the new James Bond. This decision was met with controversy among critics and fans who expressed doubts about the producers' choice.",d7cab0bdb3a94d9a9f9112bf7b9bf55c,,,,,,4
daniel craig,boycott,"Throughout the production period of Craig's Bond debut, Internet campaigns such as 'danielcraigisnotbond.com' expressed their dissatisfaction with the new actor and threatened to boycott the film in protest.",d7cab0bdb3a94d9a9f9112bf7b9bf55c,,,,,,4
vesper lynd,angelina jolie,"Both actresses were strongly considered for the role of Vesper Lynd in Casino Royale, but ultimately French actress Eva Green was cast.",46e0f2b2715f4a449e4d81533ebad365,,,,,,4
vesper lynd,charlize theron,"According to casting director Debbie McWilliams, both Jolie and Theron were strongly considered for the role of Vesper Lynd in Casino Royale.",46e0f2b2715f4a449e4d81533ebad365,,,,,,4
vesper lynd,cécile de france,"Belgian actress Cécile de France auditioned for the role of Vesper Lynd in Casino Royale, but her English accent 'wasn't up to scratch'.",46e0f2b2715f4a449e4d81533ebad365,,,,,,4
vesper lynd,audrey tautou,"French actress Audrey Tautou was considered for the role of Vesper Lynd in Casino Royale, but she wasn't chosen because of her role in another Columbia Pictures film.",46e0f2b2715f4a449e4d81533ebad365,,,,,,4
vesper lynd,rachel mcadams,Rachel McAdams turned down a role in Casino Royale to focus on raising her family.,46e0f2b2715f4a449e4d81533ebad365,,,,,,4
vesper lynd,eva green,"French actress Eva Green was cast as Vesper Lynd in Casino Royale, after being one of two finalists for the part.",46e0f2b2715f4a449e4d81533ebad365,,,,,,4
madame wu,ling,"Actress Tsai Chin played a cameo role as Madame Wu in Casino Royale, who previously portrayed Ling in You Only Live Twice.",46e0f2b2715f4a449e4d81533ebad365,,,,,,4
casino royale,prague,"principal photography for Casino Royale commenced and concluded in Prague at Barrandov Studios. This studio is located in Prague, Czech Republic.",e4350281ea0941689c46762b7713a739,,,,,,4
casino royale,bahamas,"additional location shooting for Casino Royale took place in the Bahamas, specifically on Paradise Island.",e4350281ea0941689c46762b7713a739,,,,,,4
casino royale,italy,principal photography for Casino Royale included additional location shooting in Italy.,e4350281ea0941689c46762b7713a739,,,,,,4
tsai chin,madame wu,actress Tsai Chin played a cameo role as Madame Wu in Casino Royale.,e4350281ea0941689c46762b7713a739,,,,,,4
ling,tsai chin,Tsai Chin previously portrayed Ling in You Only Live Twice.,e4350281ea0941689c46762b7713a739,,,,,,4
prague,bahamas,"After Prague, the production moved to the Bahamas.",85a7b3b652584e66a1223bcb0b620036,,,,,,4
paradise island,filming,"Several locations around New Providence were used for filming during February and March, particularly on Paradise Island.",85a7b3b652584e66a1223bcb0b620036,,,,,,4
black park,mbale,"Footage set in Mbale, Uganda, was filmed at Black Park, a country park in Buckinghamshire, on 4 July 2006.",85a7b3b652584e66a1223bcb0b620036,,,,,,4
albany house,filming,"Additional scenes took place at Albany House, an estate owned by golfers Ernie Els and Tiger Woods. ",85a7b3b652584e66a1223bcb0b620036,,,,,,4
czech republic,production,"The crew returned to the Czech Republic in April, and continued there, filming in Prague, Planá, and Loket, before completing in the town of Karlovy Vary in May.",85a7b3b652584e66a1223bcb0b620036,,,,,,4
grandhotel pupp,casino royale,"Karlovy Vary was used as the exterior of the Casino Royale,",85a7b3b652584e66a1223bcb0b620036,,,,,,4
venice,ending,The majority of the film's ending is set in Venice.,85a7b3b652584e66a1223bcb0b620036,,,,,,4
spirit yachts,sv spirit,"For this reason, SV Spirit 'was the first sailing boat to go up the Grand Canal in Venice for 300 years'.",85a7b3b652584e66a1223bcb0b620036,,,,,,4
villa del balbianello,shooting,"Further exterior shooting for the movie took place at properties such as the Villa La Gaeta, near the lakeside town of Menaggio.",85a7b3b652584e66a1223bcb0b620036,,,,,,4
body worlds exhibit,recreation of the body worlds exhibit,The setting for one scene in the film is a recreation of the Body Worlds exhibit.,3525f03182984dacaa5c995a7c281638,,,,,,4
body worlds plastinates,poker playing trio,"The Poker Playing Trio, featured in that scene of the film, are Body Worlds plastinates.",3525f03182984dacaa5c995a7c281638,,,,,,4
body worlds plastinates,rearing horse and rider,Among the Body Worlds plastinates featured in that scene of the film are Rearing Horse and Rider.,3525f03182984dacaa5c995a7c281638,,,,,,4
german anatomist gunther von hagens,appearance in the film,"The exhibition's developer and promoter, German anatomist Gunther von Hagens, has a cameo appearance in the film.",3525f03182984dacaa5c995a7c281638,,,,,,4
german anatomist gunther von hagens,trademark hat,"In the film, only his trademark hat is actually visible on screen.",3525f03182984dacaa5c995a7c281638,,,,,,4
playing card graphics,club representing a puff of gun smoke,"used in the credit sequence designed by Daniel Kleinman for the film, as playing card graphics were inspired by the cover of Casino Royale featuring Ian Fleming's original design of a playing card bordered by eight red hearts dripping with blood.",8761c62c4a564fbe875bbcae5249e59c,,,,,,4
playing card graphics,intricate and innovative card patterns,"depicted in more than 20 digitally animated scenes during the credit sequence, as Daniel Kleinman incorporated the footage of Craig and the film's stuntmen on the Inferno visual effects system.",8761c62c4a564fbe875bbcae5249e59c,,,,,,4
casino royale cover,ian fleming's original design featuring a playing card bordered by eight red hearts dripping with blood,inspired Daniel Kleinman to use playing card graphics in different ways in the credit sequence for the film.,8761c62c4a564fbe875bbcae5249e59c,,,,,,4
female silhouettes,commonly seen throughout the bond title sequences,"considered not to fit with both the film's spirit and the storyline following Bond falling in love, during the credit sequence design by Daniel Kleinman.",8761c62c4a564fbe875bbcae5249e59c,,,,,,4
madagascar building site,mollaka,"Bond drives a digger towards the building and slams into the concrete plinth where Mollaka is running, resulting in his death.",bc3d44c179b243ee8ef44880b4bcf097,,,,,,4
madagascar building site,concrete,The digger takes out a section of the concrete wall to fit into it during the scene.,bc3d44c179b243ee8ef44880b4bcf097,,,,,,4
michael g. wilson,grand canal,"In 1977, Michael G. Wilson became acquainted with the site of a derelict hotel in the Grand Canal during the filming of The Spy Who Loved Me.",bc3d44c179b243ee8ef44880b4bcf097,,,,,,4
skyfleet s570 aircraft,modified aircraft,"The Skyfleet S570 aircraft in the film was an ex-British Airways 747-200B G-BDXJ, which had its engines removed and was modified for its appearance in the film. The modified aircraft had the outboard engines replaced by external fuel tanks, while the inboard engines were replaced by a mock-up pair of engines on each inboard pylon.",9dc604b24b834ad79342bfa96c356047,,,,,,4
skyfleet s570 aircraft,prototype of an advanced airliner,The cockpit profile was altered to make the 747 look like a prototype of an advanced airliner.,9dc604b24b834ad79342bfa96c356047,,,,,,4
miami international airport,prague airport,"In filming the scene in which the engine thrust of the moving aircraft blows the police car high into the air, footage from both the Prague and Miami airports were used.",9dc604b24b834ad79342bfa96c356047,,,,,,4
dunsfold aerodrome,top gear,"The sequence at Miami International Airport was partly shot at the Dunsfold Aerodrome, in Surrey, which is known from British car show Top Gear,",9dc604b24b834ad79342bfa96c356047,,,,,,4
police car,high into the air,The engine thrust of the moving aircraft blows the police car high into the air.,9dc604b24b834ad79342bfa96c356047,,,,,,4
venetian house,bond film,The sinking of the Venetian house at the climax of the film featured the largest rig ever built for a Bond film.,49e90b4e0f1640c4903435eecc9e08d2,,,,,,4
venetian piazza,tank consisting of a venetian piazza,The tank consisting of a Venetian piazza was constructed for the film.,49e90b4e0f1640c4903435eecc9e08d2,,,,,,4
abandoned house,interior of an abandoned house being constructed,The interior of an abandoned house being constructed was part of the tank in the film.,49e90b4e0f1640c4903435eecc9e08d2,,,,,,4
venetian canal,exterior model,The exterior model was built to one-third scale to film the building eventually collapsing into the Venetian canal.,49e90b4e0f1640c4903435eecc9e08d2,,,,,,4
rig,largest rig ever built for a bond film,The largest rig ever built for a Bond film was used in the film.,49e90b4e0f1640c4903435eecc9e08d2,,,,,,4
computer system,electronics with hydraulic valves,The computer system closely controlled the electronics with hydraulic valves on the rig.,49e90b4e0f1640c4903435eecc9e08d2,,,,,,4
computer system,exterior model,The same computer system also controlled the exterior model in the film.,49e90b4e0f1640c4903435eecc9e08d2,,,,,,4
dbs,aston martin,"At the time of filming, Aston Martin was still in the final phases of designing the DBS.",336327b1b46b488ea0cc57dfa6acc8d3,,,,,,4
hero' cars,dbs,Aston Martin delivered two working 'hero' cars to the film.,336327b1b46b488ea0cc57dfa6acc8d3,,,,,,4
stunt cars,dbs,Three former development DB9s had to be prepared and reinforced to withstand impact as look-a-like stunt cars for the scene involving the car crash.,336327b1b46b488ea0cc57dfa6acc8d3,,,,,,4
prototype db9 manual,dbs,A white prototype DB9 manual was supplied to the film crew so that the stunt drivers had something to practice with.,336327b1b46b488ea0cc57dfa6acc8d3,,,,,,4
low centre of gravity,dbs,"Owing to the low centre of gravity of the vehicle, an 18-inch (450 mm) ramp had to be implemented on the road tarmac at Millbrook Proving Grounds.",336327b1b46b488ea0cc57dfa6acc8d3,,,,,,4
stunt driver,dbs,The stunt driver who performed the stunt had to use an air cannon located behind the driver's seat to propel the car into a roll at the precise moment of impact.,336327b1b46b488ea0cc57dfa6acc8d3,,,,,,4
70 mph,dbs,"At a speed exceeding 70 mph (113 km/h), the car rotated seven times while being filmed.",336327b1b46b488ea0cc57dfa6acc8d3,,,,,,4
guinness book of records,dbs,"The car's roll, which was confirmed by the Guinness Book of Records on 5 November 2006 as a new world record.",336327b1b46b488ea0cc57dfa6acc8d3,,,,,,4
casino royale,soundtrack,"The soundtrack of Casino Royale was released by Sony Classical Records on November 14, 2006.",fe843c8950ab488da7af84b23e0cdae6,,,,,,4
david arnold,composer,David Arnold composed the score for Casino Royale.,fe843c8950ab488da7af84b23e0cdae6,,,,,,4
nicholas dodd,orchestrator,Nicholas Dodd orchestrated and conducted the score for Casino Royale.,fe843c8950ab488da7af84b23e0cdae6,,,,,,4
chris cornell,composer,Chris Cornell composed and performed the title song 'You Know My Name' for Casino Royale.,fe843c8950ab488da7af84b23e0cdae6,,,,,,4
james bond theme,music,The James Bond Theme substituted for representing Bond's youth and inexperience in Casino Royale.,fe843c8950ab488da7af84b23e0cdae6,,,,,,4
michael g. wilson,producer,"Michael G. Wilson announced on July 26, 2006, that Chris Cornell had composed and would perform the title song for Casino Royale.",fe843c8950ab488da7af84b23e0cdae6,,,,,,4
barbara broccoli,producer,"Michael G. Wilson's colleague Barbara Broccoli also announced on July 26, 2006, that Chris Cornell had composed and would perform the title song for Casino Royale.",fe843c8950ab488da7af84b23e0cdae6,,,,,,4
casino royale,ford mondeo,"In a reported £14 million deal between Casino Royale's production and car manufacturer Ford, the 2007 model Ford Mondeo appeared in the film.",fe843c8950ab488da7af84b23e0cdae6,,,,,,4
casino royale,tech products,"Both Sony and Sony Ericsson made prominent appearances of tech products in Casino Royale including a Blu-ray player, Vaio laptop, Cyber-shot camera, Walkman NW-HD5 digital music player, and a Sony Ericsson K800i handset.",fe843c8950ab488da7af84b23e0cdae6,,,,,,4
casino royale,odeon leicester square,Casino Royale premiered at the Odeon Leicester Square.,ecade402198246c2aa7baf9386d82a60,,,,,,4
odeon leicester square,london,"Both Casino Royale premiere and the appearance of unlicensed copies occurred in London, specifically at Odeon Leicester Square.",ecade402198246c2aa7baf9386d82a60,,,,,,4
casino royale,unlicensed copies,Infringing copies of the DVD for Casino Royale were being sold.,ecade402198246c2aa7baf9386d82a60,,,,,,4
unlicensed copies,london,The infringing copies of Casino Royale were being sold in London.,ecade402198246c2aa7baf9386d82a60,,,,,,4
casino royale premiere,queen elizabeth ii,"The Queen, patron of the CTBF, was in attendance at the Casino Royale premiere.",ecade402198246c2aa7baf9386d82a60,,,,,,4
ctbf,casino royale premiere,"Proceeds from half the tickets sold were donated to the CTBF, benefiting from the Casino Royale premiere.",ecade402198246c2aa7baf9386d82a60,,,,,,4
ctbf,london,"The Royal Film Performance, benefiting the CTBF, took place simultaneously in London at three cinemas including Odeon Leicester Square.",ecade402198246c2aa7baf9386d82a60,,,,,,4
infringing copies,less than £1.57,Infringing copies of the DVD for Casino Royale were selling for less than £1.57.,ecade402198246c2aa7baf9386d82a60,,,,,,4
daniel craig,hat and glasses,"While walking anonymously through the streets of Beijing, Daniel Craig was offered infringing copies of Casino Royale while wearing a hat and glasses to avoid being identified.",ecade402198246c2aa7baf9386d82a60,,,,,,4
federation against copyright theft,unlicensed copies,"Kieron Sharp, from the Federation Against Copyright Theft, spoke about the sophistication and organization behind film piracy in the UK due to the appearance of unlicensed copies for Casino Royale.",ecade402198246c2aa7baf9386d82a60,,,,,,4
casino royale,chinese cinemas,"In January 2007, Casino Royale became the first Bond film ever to be shown in mainland Chinese cinemas.",af16fc76e5974f3a9331b5ca948496c1,,,,,,4
casino royale,approximately $11.7 million,"Since its opening on 30 January on 468 screens, Casino Royale has earned approximately $11.7 million in China",af16fc76e5974f3a9331b5ca948496c1,,,,,,4
chinese version,edited before release,"The Chinese version was edited before release,",af16fc76e5974f3a9331b5ca948496c1,,,,,,4
cold war,re-dubbed,with the reference to the Cold War re-dubbed,af16fc76e5974f3a9331b5ca948496c1,,,,,,4
chinese version,new dialogue added,"as the game is less familiar in China, new dialogue was added during the poker scene explaining the process of Texas hold 'em,",af16fc76e5974f3a9331b5ca948496c1,,,,,,4
casino royale,die another day,"critics dubbed Die Another Day ""Buy Another Day"" because of around 20 product placement deals",af16fc76e5974f3a9331b5ca948496c1,,,,,,4
eon,limited their promotions for casino royale,"because of the product placement criticisms, Eon limited their promotions for Casino Royale.",af16fc76e5974f3a9331b5ca948496c1,,,,,,4
ford,casino royale partners,"Eon's partners included Ford,",af16fc76e5974f3a9331b5ca948496c1,,,,,,4
heineken,casino royale partners,"Eva Green starred in adverts for Heineken, which was another partner of Casino Royale.",af16fc76e5974f3a9331b5ca948496c1,,,,,,4
smirnoff,casino royale partners,Smirnoff was also a partner of Casino Royale.,af16fc76e5974f3a9331b5ca948496c1,,,,,,4
omega sa,casino royale partners,"Other partners included Omega SA,",af16fc76e5974f3a9331b5ca948496c1,,,,,,4
virgin atlantic,casino royale partners,Virgin Atlantic was another partner of Casino Royale.,af16fc76e5974f3a9331b5ca948496c1,,,,,,4
sony ericsson,casino royale partners,"Lastly, Sony Ericsson was also a partner of Casino Royale.",af16fc76e5974f3a9331b5ca948496c1,,,,,,4
casino royale,dvd,"Simultaneously released on DVD, UMD and Blu-ray on March 16, 2007.",4fa7602f9dac4ceca4b4273abcd72dc8,,,,,,4
casino royale,blu-ray disc,"Simultaneously released on DVD, UMD and Blu-ray Disc on March 16, 2007.",4fa7602f9dac4ceca4b4273abcd72dc8,,,,,,4
casino royale,"march 16, 2007",Released for DVD and Blu-ray Disc on this date in the UK.,4fa7602f9dac4ceca4b4273abcd72dc8,,,,,,4
region 1 blu-ray disc edition of casino royale,highest selling high-definition title to date,"Since its release, has sold over 100,000 copies.",4fa7602f9dac4ceca4b4273abcd72dc8,,,,,,4
uk dvd edition of casino royale,fastest selling title for its first-week release,"As of now, it continues to sell well with 1,622,852 copies sold since March 19.",4fa7602f9dac4ceca4b4273abcd72dc8,,,,,,4
uk dvd edition of casino royale,playstation network,"A copy of the Blu-ray Disc edition was given out to the first 500,000 PAL PlayStation 3 owners who signed up.",4fa7602f9dac4ceca4b4273abcd72dc8,,,,,,4
uk dvd edition of casino royale,official music video for the film,Included in both two-disc widescreen and fullscreen editions.,4fa7602f9dac4ceca4b4273abcd72dc8,,,,,,4
uk dvd edition of casino royale,documentaries detailing how daniel craig was chosen for the role of bond,Included in both two-disc widescreen and fullscreen editions.,4fa7602f9dac4ceca4b4273abcd72dc8,,,,,,4
uk dvd edition of casino royale,expanded version of the 'bond girls are forever' documentary,"Included in both two-disc widescreen and fullscreen editions, incorporating new interviews with Casino Royale cast members.",4fa7602f9dac4ceca4b4273abcd72dc8,,,,,,4
casino royale,blu-ray edition,"In 2012, the movie Casino Royale was released for the third time on Blu-ray with DTS audio and deleted scenes. This edition had fewer special features than the previous one from 2008.",b02e88a2e6394be3be43991cd3519061,,,,,,4
casino royale,dvd edition (uk),"In October 2008, a collector's edition of Casino Royale on DVD was released in the UK. This edition contained additional features such as audio commentary, deleted scenes, and featurettes, along with a storyboard-to-film comparison.",b02e88a2e6394be3be43991cd3519061,,,,,,4
casino royale,blu-ray edition (late 2008),"In late 2008, a two-disc Blu-ray version of Casino Royale was released, featuring enhanced interactivity through BD-Live and additional supplementary materials.",b02e88a2e6394be3be43991cd3519061,,,,,,4
casino royale,bbfc rating,"To achieve a BBFC 12A rating in the UK, Casino Royale was censored by omitting some of Le Chiffre's sadism and James Bond's reactions in the torture scene.",b02e88a2e6394be3be43991cd3519061,,,,,,4
casino royale,pg-13 rating (us),"In the US, two fight scenes were censored to achieve a PG-13 rating for Casino Royale: the fight between Bond and the traitorous MI6 agent's contact Fisher, and the fight between Bond and Obanno in the stairway at the Casino Royale.",b02e88a2e6394be3be43991cd3519061,,,,,,4
casino royale,germany censure,"In Germany, Casino Royale was censored by omitting a shot of Bond's penis being held by a woman during the scene where Vesper Lynd asks him to trust her.",b02e88a2e6394be3be43991cd3519061,,,,,,4
casino royale,china censure,"In China, Casino Royale was censored by removing a scene where Bond spits out beer that he mistakenly believed to be urine.",b02e88a2e6394be3be43991cd3519061,,,,,,4
casino royale,most successful film of the year in the uk,"In context, Casino Royale is being compared to other films and has surpassed them to become the most successful film of the year in the UK.",f681aa1078964183ac53177fc230315f,,,,,,4
casino royale,tenth-highest-grossing film of all time in the uk,"As of 2011, Casino Royale is ranked as the tenth-highest-grossing film of all time in the UK.",f681aa1078964183ac53177fc230315f,,,,,,4
casino royale,happy feet,"On its US opening day, Casino Royale was second to Happy Feet in terms of box office earnings with a better average per cinema.",f681aa1078964183ac53177fc230315f,,,,,,4
casino royale,fully uncensored version,"The context mentions that the fully uncensored version of Casino Royale can be found in certain releases, implying a censored version exists as well.",f681aa1078964183ac53177fc230315f,,,,,,4
casino royale,mainland chinese cut,"The context mentions that the mainland Chinese cut of Casino Royale trims certain scenes, implying that the original version contained those scenes.",f681aa1078964183ac53177fc230315f,,,,,,4
casino royale,bond,"In the context, Bond is mentioned as a character in Casino Royale, indicating his importance to the film's plot.",f681aa1078964183ac53177fc230315f,,,,,,4
casino royale,australian,"The context mentions that the fully uncensored version of Casino Royale can be found on certain releases, implying a connection between those locations and the availability of the full version.",f681aa1078964183ac53177fc230315f,Dutch,French,Hong Kong,Japanese,Scandinavian,4
