node_1,node_2,edge,chunk_id,node_3,node_4,node_5,node_6,node_7,node_8,node_9,count
sebastian 'seb' wilder,restaurant owner,"During a gig at a restaurant, Sebastian 'Seb' Wilder was warned to only play traditional Christmas pieces by the owner.",57bf972cae0d4c93a62dee6d43dd4f76,,,,,,,,4
sebastian 'seb' wilder,mia dolan,"After Mia hears Seb playing at a restaurant, she enters and observes him being fired for disobedience.",57bf972cae0d4c93a62dee6d43dd4f76,,,,,,,,4
sebastian 'seb' wilder,pop cover band,"At a party, Sebastian 'Seb' Wilder plays in a 1980s pop cover band.",57bf972cae0d4c93a62dee6d43dd4f76,,,,,,,,4
mia dolan,sebastian 'seb' wilder,"After the gig, Mia and Seb walk to their cars and lament wasting a lovely night together despite their clear chemistry.",57bf972cae0d4c93a62dee6d43dd4f76,,,,,,,,4
seb,mia,"argument between Seb and Mia during the band's first tour, where Seb claims that Mia liked him more when he was unsuccessful because it made her feel better about herself, while she accuses him of abandoning his dreams.",29b271477d3f45a085a141115047289d,,,,,,,,4
mia,"boulder city, nevada","returns to her hometown of Boulder City, Nevada after an argument with Seb and missing his photoshoot",29b271477d3f45a085a141115047289d,,,,,,,,4
seb,"boulder city, nevada","drives to Mia's childhood home in Boulder City, Nevada after she returns following an argument and missing his photoshoot",29b271477d3f45a085a141115047289d,,,,,,,,4
mia,prominent casting director,"invited by a prominent casting director who attended Mia's play to audition for an upcoming film, knowing that this could be her big break",29b271477d3f45a085a141115047289d,,,,,,,,4
seb,library,"remembers that Mia lived across the street from the library, the library where she fell in love with acting",29b271477d3f45a085a141115047289d,,,,,,,,4
mia,aunt,"sings about how her aunt, a onetime stage actress who eventually died from alcoholism, inspired her to chase her dreams during the audition",29b271477d3f45a085a141115047289d,,,,,,,,4
seb,mia,encourages Mia to devote herself to acting after the audition,29b271477d3f45a085a141115047289d,,,,,,,,4
mia,seb,recognizes that they will always love each other despite what may come for their relationship at the end of the story,29b271477d3f45a085a141115047289d,,,,,,,,4
mia,famous actress,Mia is a famous actress.,c07d96d22e384226b8cc3ab12253d7fe,,,,,,,,4
mia,married man,"Five years later, Mia is married to a different man.",c07d96d22e384226b8cc3ab12253d7fe,,,,,,,,4
mia,daughter,with whom she has a daughter.,c07d96d22e384226b8cc3ab12253d7fe,,,,,,,,4
seb,jazz club owner,Seb has opened his own jazz club.,c07d96d22e384226b8cc3ab12253d7fe,,,,,,,,4
mia,recognized seb's logo,Mia recognizes the logo she had once designed.,c07d96d22e384226b8cc3ab12253d7fe,,,,,,,,4
seb,love theme piano player,Seb begins to play their love theme on the piano.,c07d96d22e384226b8cc3ab12253d7fe,,,,,,,,4
mia,silent exchange of smiles,"Once the sequence ends, Seb and Mia acknowledge each other with a silent exchange of smiles before she leaves.",c07d96d22e384226b8cc3ab12253d7fe,,,,,,,,4
chazelle,drummer,"Chazelle, as a drummer, has a predilection for musical films.",33fbec24ac32464da3be83970f3ce7f2,,,,,,,,4
la la land,musical film,"As a writer, Chazelle wrote the screenplay for La La Land in 2010 when the film industry seemed out of reach for him.",33fbec24ac32464da3be83970f3ce7f2,,,,,,,,4
harvard university,chazelle's alma mater,"Chazelle, as a student at Harvard University, conceived the idea for La La Land with his classmate Justin Hurwitz.",33fbec24ac32464da3be83970f3ce7f2,,,,,,,,4
los angeles,new location,"After graduating, both Chazelle and Hurwitz moved to Los Angeles in 2010 and continued writing the script for La La Land, altering the location from Boston to Los Angeles.",33fbec24ac32464da3be83970f3ce7f2,,,,,,,,4
guy and madeline on a park bench,low-budget musical precursor,Chazelle and Hurwitz explored the concept for La La Land in their senior thesis through a low-budget musical about a Boston jazz musician called Guy and Madeline on a Park Bench.,33fbec24ac32464da3be83970f3ce7f2,,,,,,,,4
real life,grounded approach,Chazelle wanted to take the old musical but ground it in real life where things don't always exactly work out.,33fbec24ac32464da3be83970f3ce7f2,,,,,,,,4
creative people,focus on chasing dreams,Chazelle conceived La La Land as a salute to creative people who move to Los Angeles to chase their dreams.,33fbec24ac32464da3be83970f3ce7f2,,,,,,,,4
l.a.,distinctive qualities,"Rather than trying to match L.A. To the charms of Paris or San Francisco, he focused on the qualities that make the city distinctive: the traffic, the sprawl, and the skylines.",d242efecc4d74fa788fad305b6065ae3,,,,,,,,4
hollywood classics,visual allusions,"The film also makes visual allusions to Hollywood classics such as Broadway Melody of 1940, Singin' in the Rain, The Band Wagon, and An American in Paris.",d242efecc4d74fa788fad305b6065ae3,,,,,,,,4
an american in paris,pillaged,"About An American in Paris, Chazelle commented: 'That's a movie that we just pillaged. It's an awesome example of how daring some of those old musicals really were.'",d242efecc4d74fa788fad305b6065ae3,,,,,,,,4
l.a.,preconceived notions,"La La Land in particular is inspired by his experience of moving from the East Coast with preconceived notions of what L.A. Would be like, 'that it was all just strip malls and freeways'.",d242efecc4d74fa788fad305b6065ae3,,,,,,,,4
l.a.,chazelle,He said that both films reflect his own experiences as a filmmaker working his way up the Hollywood ladder.,d242efecc4d74fa788fad305b6065ae3,,,,,,,,4
whiplash,character development and themes,Chazelle said: 'Both films reflect my own experiences as a filmmaker working his way up the Hollywood ladder'.,d242efecc4d74fa788fad305b6065ae3,,,,,,,,4
jacques demy's the umbrellas of cherbourg and the young girls of rochefort,style and tone of the film were inspired by,"The style and tone of the film were inspired by Jacques Demy's The Umbrellas of Cherbourg and The Young Girls of Rochefort, especially the latter, which was more dance and jazz-oriented.",d242efecc4d74fa788fad305b6065ae3,,,,,,,,4
jazz musical,extinct genre,The Hollywood Reporter called jazz musical an 'extinct genre'.,852f27e13b50450784b69c273c4d020a,,,,,,,,4
sebastian,past,"Chazelle wrote Sebastian's character trait as a reflection of his own relationship with the past and with jazz, too.",852f27e13b50450784b69c273c4d020a,,,,,,,,4
original contemporary musical,familiar songs,Chazelle was unable to produce the film for years as no studio was willing to finance an original contemporary musical with no familiar songs.,852f27e13b50450784b69c273c4d020a,,,,,,,,4
whiplash,la la land,"Chazelle later wrote Whiplash, which was an easier concept to sell and a less risky investment. After Whiplash was well received by critics upon its premiere at the 2014 Sundance Film Festival in January, Chazelle continued his efforts to bring La La Land to the big screen. Five years after Chazelle wrote the script for La La Land, Summit Entertainment and Black Label Media, along with producer Marc Platt, agreed to invest in La La Land and distribute it since they were impressed by the critical and commercial success of Whiplash.",d813c3ec2d1443af95d9cb5a91941d70,,,,,,,,4
whiplash,oscars,"When Whiplash earned five Oscar nominations at the 87th Academy Awards, including Best Picture, and grossed nearly $50 million worldwide off a $3.3 million production budget, Chazelle and his project began to attract attention from studios.",d813c3ec2d1443af95d9cb5a91941d70,,,,,,,,4
miles teller,chazelle,"Teller exited via long contract negotiations, implying a decision-making process involving communication between the actor and director.",e05674f38b064d39987e71e5601027e3,,,,,,,,4
emma watson,disney's live-action beauty and the beast remake (2017),"Watson dropped out to honor her commitments, indicating a prior obligation or association.",e05674f38b064d39987e71e5601027e3,,,,,,,,4
gosling,beast role in beauty and the beast,"Gosling turned down the role in favor of La La Land, suggesting a decision to decline an opportunity or offer.",e05674f38b064d39987e71e5601027e3,,,,,,,,4
emma stone,mia,"Stone plays Mia, highlighting the actor's association with the character.",e05674f38b064d39987e71e5601027e3,,,,,,,,4
emma stone,aspiring actress in los angeles,Stone's portrayal of Mia is linked to her previous experience as an aspiring actress in Los Angeles.,e05674f38b064d39987e71e5601027e3,,,,,,,,4
emma stone,hollywood,"Stone moved to Hollywood with her mother at age fifteen, indicating a relocation or change of location for the actor.",e05674f38b064d39987e71e5601027e3,,,,,,,,4
emma stone,struggled constantly to get an audition during her first year,"Stone's initial challenges in pursuing a career as an actor are highlighted, indicating potential barriers or obstacles.",e05674f38b064d39987e71e5601027e3,,,,,,,,4
emma stone,studied pom dancing as a child,"Stone's past interest or hobby is noted, potentially relevant to the character of Mia.",e05674f38b064d39987e71e5601027e3,,,,,,,,4
emma stone,favorite film is the 1931 charlie chaplin romantic comedy city lights,"Stone's favorite movie genre or title is specified, possibly informative of her character's preferences.",e05674f38b064d39987e71e5601027e3,,,,,,,,4
chazelle,miles teller and emma watson were originally slated to star in the leading roles,"Chazelle's role in casting decisions is demonstrated, highlighting his involvement with other actors.",e05674f38b064d39987e71e5601027e3,,,,,,,,4
emma stone,some were added into the film,"Stone's input or influence on the movie is hinted at, possibly indicating a collaboration between actor and director.",e05674f38b064d39987e71e5601027e3,,,,,,,,4
chazelle,mia,"Chazelle decided to make his characters somewhat older with experience in struggling to make their dreams, providing insight into the character development process by the director.",e05674f38b064d39987e71e5601027e3,,,,,,,,4
emma stone,los angeles,"Stone's association with Los Angeles is specified, possibly relevant to her character or past experiences in that location.",e05674f38b064d39987e71e5601027e3,,,,,,,,4
she,stone,Meeted Chazelle in 2014 while she was making her Broadway debut in Cabaret. Stone gained confidence from performing in Cabaret to handle the demands of the film.,531519fb075f49f88a2fffddaf8c904a,,,,,,,,4
chazelle,stone,Outlined his vision for the planned film at Brooklyn Diner in New York City after Stone saw her perform on a night when the actress had a cold.,531519fb075f49f88a2fffddaf8c904a,,,,,,,,4
cabaret,stone,Was where Stone met Chazelle and drew from her experiences while performing in it to handle the demands of the film.,531519fb075f49f88a2fffddaf8c904a,,,,,,,,4
ryan gosling,sebastian,"Plays Sebastian, a jazz pianist, and drew from his own experiences as an aspiring artist in La La Land.",531519fb075f49f88a2fffddaf8c904a,,,,,,,,4
gosling,chazelle,Met with Chazelle when he was about to begin filming for The Big Short.,531519fb075f49f88a2fffddaf8c904a,,,,,,,,4
chazelle,summit,bought the film,94670449d4534a969535a36c41b1166b,,,,,,,,4
gosling,stone,"feel like the closest thing that we have right now to an old Hollywood couple, akin to Spencer Tracy and Katharine Hepburn, Fred Astaire and Ginger Rogers, Humphrey Bogart and Lauren Bacall, and Myrna Loy and William Powell",94670449d4534a969535a36c41b1166b,,,,,,,,4
gosling,stone,"third collaboration between Gosling and Stone, following Crazy, Stupid, Love (2011) and Gangster Squad (2013)",94670449d4534a969535a36c41b1166b,,,,,,,,4
chazelle,gosling,asked the two about their audition disasters when they were both trying to make it,94670449d4534a969535a36c41b1166b,,,,,,,,4
chazelle,stone,asked the two about their audition disasters when they were both trying to make it,94670449d4534a969535a36c41b1166b,,,,,,,,4
simmons,mizuno,rest of the cast,94670449d4534a969535a36c41b1166b,Rothe,Hernandez,Wittrock,DeWitt,Legend,Fuchs,Fay,4
simmons,mizuno,were announced between July and August 2015,94670449d4534a969535a36c41b1166b,Rothe,Hernandez,Wittrock,DeWitt,Legend,Fuchs,Fay,4
los angeles,poetic city,"Chazelle commented that 'there is something very poetic about the city I think, about a city that is built by people with these unrealistic dreams and people who kind of just put it all on the line for that.'",76bd36210c8348c0afb37df692355f58,,,,,,,,4
los angeles,principal photography location,"Officially began in the city on August 10, 2015.",76bd36210c8348c0afb37df692355f58,,,,,,,,4
angels flight trolley,filming location,In downtown during principal photography on the film.,76bd36210c8348c0afb37df692355f58,,,,,,,,4
houses in the hollywood hills,filming location,During principal photography on the film.,76bd36210c8348c0afb37df692355f58,,,,,,,,4
colorado street bridge,filming location,During principal photography on the film.,76bd36210c8348c0afb37df692355f58,,,,,,,,4
rialto theatre,filming location,In South Pasadena during principal photography on the film.,76bd36210c8348c0afb37df692355f58,,,,,,,,4
warner bros. studio lot,filming location,During principal photography on the film.,76bd36210c8348c0afb37df692355f58,,,,,,,,4
grand central market,filming location,During principal photography on the film.,76bd36210c8348c0afb37df692355f58,,,,,,,,4
lighthouse café in hermosa beach,filming location,During principal photography on the film.,76bd36210c8348c0afb37df692355f58,,,,,,,,4
griffith observatory,filming location,During principal photography on the film.,76bd36210c8348c0afb37df692355f58,,,,,,,,4
griffith park,filming location,During principal photography on the film.,76bd36210c8348c0afb37df692355f58,,,,,,,,4
chateau marmont,filming location,During principal photography on the film.,76bd36210c8348c0afb37df692355f58,,,,,,,,4
watts towers,filming location,During principal photography on the film.,76bd36210c8348c0afb37df692355f58,,,,,,,,4
long beach,filming location,During principal photography on the film.,76bd36210c8348c0afb37df692355f58,,,,,,,,4
judge harry pregerson interchange,i-105 carpool lane,"The opening pre-credits sequence was filmed on a closed-off portion of the Judge Harry Pregerson Interchange, connecting the I-105 Carpool Lane to the I-110 Express Lanes, leading to Downtown Los Angeles.",3983f64f250b4b5ab5d467fb818d8eeb,,,,,,,,4
i-105 carpool lane,judge harry pregerson interchange,"The opening pre-credits sequence was filmed on a closed-off portion of the Judge Harry Pregerson Interchange, connecting the I-105 Carpool Lane to the I-110 Express Lanes, leading to Downtown Los Angeles.",3983f64f250b4b5ab5d467fb818d8eeb,,,,,,,,4
i-105 carpool lane,i-110 express lanes,"The opening pre-credits sequence was filmed on a closed-off portion of the Judge Harry Pregerson Interchange, connecting the I-105 Carpool Lane to the I-110 Express Lanes, leading to Downtown Los Angeles.",3983f64f250b4b5ab5d467fb818d8eeb,,,,,,,,4
i-110 express lanes,judge harry pregerson interchange,"The opening pre-credits sequence was filmed on a closed-off portion of the Judge Harry Pregerson Interchange, connecting the I-105 Carpool Lane to the I-110 Express Lanes, leading to Downtown Los Angeles.",3983f64f250b4b5ab5d467fb818d8eeb,,,,,,,,4
judge harry pregerson interchange,downtown los angeles,"The opening pre-credits sequence was filmed on a closed-off portion of the Judge Harry Pregerson Interchange, connecting the I-105 Carpool Lane to the I-110 Express Lanes, leading to Downtown Los Angeles.",3983f64f250b4b5ab5d467fb818d8eeb,,,,,,,,4
judge harry pregerson interchange,yellow brick road,Chazelle compared the scene to the yellow brick road leading to the Emerald City in The Wizard of Oz (1939).,3983f64f250b4b5ab5d467fb818d8eeb,,,,,,,,4
angels flight trolley,old l.a. locations,"Chazelle scouted for 'old L.A.' locations that were in ruins or perhaps razed, and the use of the Angels Flight trolley, built in 1901, was one such example as it had been closed in 2013 after a derailment.",0729329e6ede400ea33f10423c89906a,,,,,,,,4
angels flight trolley,locations used for shooting,Chazelle and his crew then arranged to have it run for shooting.,0729329e6ede400ea33f10423c89906a,,,,,,,,4
warner bros. studio lot,mia works at a coffee shop,"Production designer Wasco created numerous fake old film posters, and Chazelle occasionally created names for them, deciding to use the title of his first feature, Guy and Madeline on a Park Bench (2009) for one poster, which reimagines it as a 1930s musical. Mia works at a coffee shop on the Warner Bros. studio lot; Chazelle considered studio lots to be 'monuments' of Hollywood.",0729329e6ede400ea33f10423c89906a,,,,,,,,4
six-minute-long 'a lovely night' scene,sunset,had to be completed during the brief 'magic hour' moment at sunset,80f706c7a726417482cf385e3e817cdd,,,,,,,,4
eight takes,two days,to shoot it,80f706c7a726417482cf385e3e817cdd,,,,,,,,4
ryan gosling and emma stone,not primarily dancers,"made a number of mistakes, especially during long uninterrupted single-take musical numbers",80f706c7a726417482cf385e3e817cdd,,,,,,,,4
chazelle,understanding their lack of experience,and not minding their errors,80f706c7a726417482cf385e3e817cdd,,,,,,,,4
stone,back of a bench,"stoned over the back of a bench, but picked right up and kept on going with the scene",80f706c7a726417482cf385e3e817cdd,,,,,,,,4
romantic dinner,sebastian,prepared for Mia,80f706c7a726417482cf385e3e817cdd,,,,,,,,4
gosling and stone,dialogue of the scene,to get it to be one of the more realistic scenes in a film filled with fantasy and fantastical elements,80f706c7a726417482cf385e3e817cdd,,,,,,,,4
la la land,chazelle,"Director Damien Chazelle spent nearly a year editing the film with editor Tom Cross, as the two were primarily concerned with getting the tone right.",5527d81dbf9b463e9806051b4dde8e7c,,,,,,,,4
la la land,tom cross,"Director Damien Chazelle spent nearly a year editing the film with editor Tom Cross, as the two were primarily concerned with getting the tone right.",5527d81dbf9b463e9806051b4dde8e7c,,,,,,,,4
la la land,harvard university,"Composer Justin Hurwitz, who also worked on Chazelle's two prior films and is Chazelle's Harvard University classmate, composed and orchestrated the songs and score for La La Land.",5527d81dbf9b463e9806051b4dde8e7c,,,,,,,,4
la la land,pasek and paul,The lyrics for most of the songs in La La Land were written by Pasek and Paul.,5527d81dbf9b463e9806051b4dde8e7c,,,,,,,,4
la la land,john legend,"The lyrics for 'Start a Fire' were written by John Legend, Hurwitz, Marius de Vries and Angelique Cinelu.",5527d81dbf9b463e9806051b4dde8e7c,,,,,,,,4
la la land,venice film festival,The film had its world premiere as the Venice Film Festival's opening night film.,5527d81dbf9b463e9806051b4dde8e7c,,,,,,,,4
la la land,toronto international film festival,The film also screened at the Toronto International Film Festival.,5527d81dbf9b463e9806051b4dde8e7c,,,,,,,,4
la la land,bfi london film festival,The film also screened at the BFI London Film Festival.,5527d81dbf9b463e9806051b4dde8e7c,,,,,,,,4
la la land,middleburg film festival,The film also screened at the Middleburg Film Festival.,5527d81dbf9b463e9806051b4dde8e7c,,,,,,,,4
la la land,afi fest,The film also screened at the AFI Fest.,5527d81dbf9b463e9806051b4dde8e7c,,,,,,,,4
la la land,"august 31, 2016","The film had its world premiere as the Venice Film Festival's opening night film on August 31, 2016.",5527d81dbf9b463e9806051b4dde8e7c,,,,,,,,4
la la land,toronto international film festival,"The film also screened at the Toronto International Film Festival, beginning September 12, 2016.",5527d81dbf9b463e9806051b4dde8e7c,,,,,,,,4
la la land,bfi london film festival,The film also screened at the BFI London Film Festival.,5527d81dbf9b463e9806051b4dde8e7c,,,,,,,,4
la la land,middleburg film festival,The film also screened at the Middleburg Film Festival in late October 2016.,5527d81dbf9b463e9806051b4dde8e7c,,,,,,,,4
la la land,virginia film festival,"The film also screened at the Virginia Film Festival, held at the University of Virginia on November 6, 2016.",5527d81dbf9b463e9806051b4dde8e7c,,,,,,,,4
la la land,afi fest,"The film also screened at the AFI Fest on November 15, 2016.",5527d81dbf9b463e9806051b4dde8e7c,,,,,,,,4
la la land,interscope records,"A soundtrack album was released by Interscope Records, featuring selections from Hurwitz's score and songs performed by the cast.",5527d81dbf9b463e9806051b4dde8e7c,,,,,,,,4
la la land,city of stars,'City of Stars' received numerous awards.,5527d81dbf9b463e9806051b4dde8e7c,,,,,,,,4
la la land,audition (the fools who dream),'Audition (The Fools Who Dream)' received numerous awards.,5527d81dbf9b463e9806051b4dde8e7c,,,,,,,,4
la la land,"july 15, 2016","Originally set for release on this date due to initial scheduling, but ultimately pushed back.",c92b17b24bed48c4a0f86876230baebb,,,,,,,,4
la la land,"december 2, 2016",Limited theatrical release commenced on this date in certain locations before a wider release followed.,c92b17b24bed48c4a0f86876230baebb,,,,,,,,4
la la land,"december 9, 2016",Revised limited release date due to scheduling changes.,c92b17b24bed48c4a0f86876230baebb,,,,,,,,4
la la land,"december 16, 2016",Wider theatrical release commenced on this date in certain locations before a nationwide rollout followed.,c92b17b24bed48c4a0f86876230baebb,,,,,,,,4
la la land,"december 25, 2016",In theaters as part of a wider release during the holiday season.,c92b17b24bed48c4a0f86876230baebb,,,,,,,,4
la la land,"january 6, 2017",Expanded to select IMAX theaters on this date.,c92b17b24bed48c4a0f86876230baebb,,,,,,,,4
la la land,united kingdom,Released in this country on this date.,c92b17b24bed48c4a0f86876230baebb,,,,,,,,4
la la land,netherlands,Early release in this country on this date.,c92b17b24bed48c4a0f86876230baebb,,,,,,,,4
la la land,australia,Released in this country on this date.,c92b17b24bed48c4a0f86876230baebb,,,,,,,,4
la la land,highest-grossing film,"As of 2023, Ryan Gosling's portrayal in the critically acclaimed musical drama 'La La Land' remains his highest-grossing film to date, earning over $472 million worldwide.",cc167f2271c646ab86808a5a43c20fcb,,,,,,,,4
la la land,united states and canada box office,"In the United States and Canada, 'La La Land' grossed a staggering $151.1 million at the box office.",cc167f2271c646ab86808a5a43c20fcb,,,,,,,,4
la la land,other territories box office,"'La La Land' continued its box office success in other territories, amassing a total of $320.9 million.",cc167f2271c646ab86808a5a43c20fcb,,,,,,,,4
la la land,production budget,The production cost for 'La La Land' was $30 million.,cc167f2271c646ab86808a5a43c20fcb,,,,,,,,4
la la land,net profit,"According to Deadline Hollywood's calculations, the net profit of 'La La Land' was $68.25 million after factoring in all expenses and revenues for the film.",cc167f2271c646ab86808a5a43c20fcb,,,,,,,,4
la la land,limited release,La La Land began its theatrical release with a limited release in five theaters in Los Angeles and New York City on December 9.,dafe5a017df944bda1e0825d45cc80c3,,,,,,,,4
la la land,five theaters,La La Land began its theatrical release with a limited release in five theaters in Los Angeles and New York City on December 9.,dafe5a017df944bda1e0825d45cc80c3,,,,,,,,4
la la land,december 9,La La Land began its theatrical release with a limited release in five theaters in Los Angeles and New York City on December 9.,dafe5a017df944bda1e0825d45cc80c3,,,,,,,,4
limited release,los angeles,La La Land began its theatrical release with a limited release in five theaters in Los Angeles and New York City on December 9.,dafe5a017df944bda1e0825d45cc80c3,,,,,,,,4
new york city,limited release,La La Land began its theatrical release with a limited release in five theaters in Los Angeles and New York City on December 9.,dafe5a017df944bda1e0825d45cc80c3,,,,,,,,4
los angeles,new york city,La La Land began its theatrical release with a limited release in five theaters in Los Angeles and New York City on December 9.,dafe5a017df944bda1e0825d45cc80c3,,,,,,,,4
limited release,december,La La Land began its theatrical release with a limited release in five theaters in Los Angeles and New York City on December 9.,dafe5a017df944bda1e0825d45cc80c3,,,,,,,,4
december,los angeles,La La Land began its theatrical release with a limited release in five theaters in Los Angeles and New York City on December 9.,dafe5a017df944bda1e0825d45cc80c3,,,,,,,,4
december,new york city,La La Land began its theatrical release with a limited release in five theaters in Los Angeles and New York City on December 9.,dafe5a017df944bda1e0825d45cc80c3,,,,,,,,4
limited release,december 9,La La Land began its theatrical release with a limited release in five theaters in Los Angeles and New York City on December 9.,dafe5a017df944bda1e0825d45cc80c3,,,,,,,,4
limited release,expanded,"In its second week of limited release, the film expanded to 200 theaters",dafe5a017df944bda1e0825d45cc80c3,,,,,,,,4
200 theaters,limited release,"In its second week of limited release, the film expanded to 200 theaters",dafe5a017df944bda1e0825d45cc80c3,,,,,,,,4
expanded,734 theaters,"The following week, the film had its wide expansion to 734 theaters,",dafe5a017df944bda1e0825d45cc80c3,,,,,,,,4
734 theaters,wide expansion,"The following week, the film had its wide expansion to 734 theaters,",dafe5a017df944bda1e0825d45cc80c3,,,,,,,,4
expanded,january 6,"La La Land expanded to 1,515 theaters on January 6, 2017,",dafe5a017df944bda1e0825d45cc80c3,,,,,,,,4
january 6,expanded,"La La Land expanded to 1,515 theaters on January 6, 2017,",dafe5a017df944bda1e0825d45cc80c3,,,,,,,,4
january 27,expanded,"The film expanded to 3,136 theaters on January 27, 2017 (an increase of 1,271 from the week before),",dafe5a017df944bda1e0825d45cc80c3,,,,,,,,4
january 27,oscars,"The film expanded to 3,136 theaters on January 27, 2017 (an increase of 1,271 from the week before),",dafe5a017df944bda1e0825d45cc80c3,,,,,,,,4
expanded,february 24,"The next week,",dafe5a017df944bda1e0825d45cc80c3,,,,,,,,4
february 24,expanded,"The next week,",dafe5a017df944bda1e0825d45cc80c3,,,,,,,,4
academy awards,weekend (time),The film grossed $4.6 million during the weekend of the Academy Awards.,f4bdf07b97804dfe9408d193bbec399e,,,,,,,,4
academy awards,oscar wins,"Following its six Oscar wins, the film grossed $3 million.",f4bdf07b97804dfe9408d193bbec399e,,,,,,,,4
weekend (time),film,"During the weekend of [the specific dates], the film grossed $4.6 million exactly as it did the previous weekend.",f4bdf07b97804dfe9408d193bbec399e,,,,,,,,4
la la land,critical acclaim,The film received widespread critical acclaim.,e329371277c64c5d95adbe63a0da4ee8,,,,,,,,4
chazelle's direction and screenplay,high praise,High praise was directed towards Chazelle's direction and screenplay.,e329371277c64c5d95adbe63a0da4ee8,,,,,,,,4
cinematography,high praise,High praise was also directed towards the cinematography.,e329371277c64c5d95adbe63a0da4ee8,,,,,,,,4
music,high praise,"Additionally, high praise was given to the music.",e329371277c64c5d95adbe63a0da4ee8,,,,,,,,4
gosling and stone,powerful performances,"The lead actors, Gosling and Stone, both gave powerful performances.",e329371277c64c5d95adbe63a0da4ee8,,,,,,,,4
chemistry,high praise,"Furthermore, their chemistry received high praise as well.",e329371277c64c5d95adbe63a0da4ee8,,,,,,,,4
la la land,thrilling direction,The film's direction was described as thrilling and assured.,e329371277c64c5d95adbe63a0da4ee8,,,,,,,,4
irresistible excess of heart,la la land,The film was praised for its irresistible excess of heart.,e329371277c64c5d95adbe63a0da4ee8,,,,,,,,4
la la land,peter travers of rolling stone,"gave La La Land four stars out of four, describing it as ""a hot miracle"" and complimenting its musical numbers",7feb31480dd040e5b2cca9144bee43d9,,,,,,,,4
la la land,michael phillips of the chicago tribune,similarly lauded the opening sequence,7feb31480dd040e5b2cca9144bee43d9,,,,,,,,4
la la land,stone's performance,"he went on to name it his favorite movie of the year and stated ""she's reason enough to see La La Land""",7feb31480dd040e5b2cca9144bee43d9,,,,,,,,4
la la land,gosling's dancing,despite being less enthusiastic about,7feb31480dd040e5b2cca9144bee43d9,,,,,,,,4
la la land,middle section,less enthusiastic about,7feb31480dd040e5b2cca9144bee43d9,,,,,,,,4
la la land,a.o. scott of the new york times,"praised the film, stating that it ""succeeds both as a fizzy fantasy and a hard-headed fable, a romantic comedy and a showbiz melodrama, a work of sublime artifice and touching authenticity""",7feb31480dd040e5b2cca9144bee43d9,,,,,,,,4
la la land,peter bradshaw of the guardian,"awarded the film five out of five stars, describing it as ""a sun-drenched musical masterpiece""",7feb31480dd040e5b2cca9144bee43d9,,,,,,,,4
