node_1,node_2,edge,chunk_id,relation,type,count
rita,diane selwyn,"Breaking into Diane's new apartment, Betty and Rita discover a woman’s decomposing corpse, horrifying Rita.",dcda4382c7ac49329024cf59a5fcd451,,,4
betty,rita,"Later that night, the two have sex.",dcda4382c7ac49329024cf59a5fcd451,,,4
rita,blonde wig,Betty persuades Rita to don a blonde wig similar to Betty’s own hairstyle.,dcda4382c7ac49329024cf59a5fcd451,,,4
betty,club silencio,"At 2 a.m., Rita awakens from a nightmare while chanting ‘Silencio’ and insists that the two go to Club Silencio.",dcda4382c7ac49329024cf59a5fcd451,,,4
emcee,club silencio,"At Club Silencio, the emcee explains...",dcda4382c7ac49329024cf59a5fcd451,,,4
rebekah del rio,spanish rendition of ‘crying',... Rebekah del Rio’s Spanish rendition of ‘Crying’...,dcda4382c7ac49329024cf59a5fcd451,,,4
betty,blue box,"Discovers a blue box matching the key in her purse,",dcda4382c7ac49329024cf59a5fcd451,,,4
rita,vanishes too,... Rita vanishes too and the box falls to the floor.,dcda4382c7ac49329024cf59a5fcd451,,,4
diane selwyn,depressed and struggling actress,"Diane Selwyn, a depressed and struggling actress resembling Betty,",dcda4382c7ac49329024cf59a5fcd451,,,4
camilla rhodes,successful actress,"Diane's past relationship with Camilla Rhodes, a successful actress who looks like Rita.",dcda4382c7ac49329024cf59a5fcd451,,,4
camilla,adam,"Camilla kisses and whispers about Diane to Adam, angering Diane.",bd8f9494827a4590adb1df38d91aaf62,,,4
diane,camilla rhodes,"Diane met Camilla on The Sylvia North Story, and they became friends despite Diane losing the leading role to her.",bd8f9494827a4590adb1df38d91aaf62,,,4
adam,camilla,Adam and Camilla prepare to make a joint announcement (suggesting they are getting married).,bd8f9494827a4590adb1df38d91aaf62,,,4
diane,partygoers,"Diane explains to the partygoers, who all resemble people seen previously, that she moved from Canada after inheriting cash from her aunt.",bd8f9494827a4590adb1df38d91aaf62,,,4
camilla,diane,"At Camilla's behest, Diane attends a party at Adam's house on Mulholland Drive.",bd8f9494827a4590adb1df38d91aaf62,,,4
hitman,diane,Diane hires the hitman to kill Camilla and he says that he will leave a blue key to signal completion.,bd8f9494827a4590adb1df38d91aaf62,,,4
blue key,diane,"In her apartment, a traumatized Diane stares at the blue key on her coffee table.",bd8f9494827a4590adb1df38d91aaf62,,,4
silence,blue-haired woman,"At Club Silencio, a blue-haired woman whispers 'Silencio'.",bd8f9494827a4590adb1df38d91aaf62,,,4
david lynch's 10 clues to unlocking this thriller,film,The card titled 'David Lynch's 10 Clues to Unlocking This Thriller' is contained within the original DVD release of the film.,05751ff2df2249b59de67c440675814f,,,4
mulholland drive,film,The movie 'Mulholland Drive' has only been given the tagline 'A love story in the city of dreams',05751ff2df2249b59de67c440675814f,,,4
david lynch,director,The film 'Mulholland Drive' is directed by David Lynch.,05751ff2df2249b59de67c440675814f,,,4
david sterritt,film critic,David Sterritt spoke with David Lynch after the film 'Mulholland Drive' screened at Cannes.,05751ff2df2249b59de67c440675814f,,,4
christian science monitor,newspaper,The Christian Science Monitor is a newspaper where David Sterritt works as a film critic.,05751ff2df2249b59de67c440675814f,,,4
lost highway,film,"David Lynch's earlier film 'Lost Highway' differs from 'Mulholland Drive' in that the former does not tell a coherent, comprehensible story.",05751ff2df2249b59de67c440675814f,,,4
justin theroux,actor,Justin Theroux is an actor who has worked with David Lynch. He stated that David Lynch enjoys it when people interpret 'Mulholland Drive' in bizarre ways.,05751ff2df2249b59de67c440675814f,,,4
neo-noir,genre,"'Mulholland Drive' is classified as a neo-noir, as are other films.",05751ff2df2249b59de67c440675814f,,,4
betty elms,diane selwyn,"In the dream interpretation, Betty Elms is portrayed as a successful and charming persona created by Diane Selwyn to reconstruct her past and persona into something like an old Hollywood film. This dream world represents the opposite of Diane's real life where she has failed both personally and professionally.",6f806d9618514232947e46ca36b2e41e,,,4
rita,camilla,"In her real life, Diane arranges for Camilla, an ex-lover, to be killed. Unable to cope with the guilt, she reimagines Camilla as Rita, a dependent and pliable amnesiac. This action is a clue to her inevitable demise, which continues to appear throughout her dream.",6f806d9618514232947e46ca36b2e41e,,,4
dream analysis,film interpretation,"The early interpretation of the film uses dream analysis to explore Diane Selwyn's psyche, suggesting that the first part is a dream of her real self.",6f806d9618514232947e46ca36b2e41e,,,4
naomi watts,diane,"Watts said in an interview that she construed Diane as the real character and believed that Betty was the person Diane wanted to be and had dreamed up. This suggests a relationship between Watts, who is an actress, and the character Diane, whom she portrayed in the movie.",32b310d14bef4e4e92a6bd3a7bd12547,,,4
naomi watts,betty,"Watts's own early experiences in Hollywood parallel those of Diane's. She endured some professional frustration before she became successful, auditioned for parts in which she did not believe, and encountered people who did not follow through with opportunities. This suggests that Watts's personal experiences as an actress are related to the character Betty.",32b310d14bef4e4e92a6bd3a7bd12547,,,4
naomi watts,rita,"Watts also compared Rita, a character in the movie, with her own experiences in Hollywood. She said that Rita was the damsel in distress and absolutely needed Betty, and that Betty controlled her as if she were a doll. This suggests a relationship between Watts's own experiences and the character Rita.",32b310d14bef4e4e92a6bd3a7bd12547,,,4
michael wilmington,mulholland drive,"Wilmington's review of the movie 'Mulholland Drive' suggests a relationship between the director David Lynch, Michael Wilmington as a critic, and the movie itself. Wilmington described everything in the movie as a nightmare, portraying it as a portrayal of the Hollywood golden dream turning rancid, curdling into a poisonous stew of hatred, envy, sleazy compromise, and soul-killing failure.",32b310d14bef4e4e92a6bd3a7bd12547,,,4
michael wilmington,hollywood,"Wilmington's review also suggests a relationship between Hollywood, the movie 'Mulholland Drive', and the director David Lynch. He portrayed the underbelly of our glamorous fantasies as realistically portrayed in this movie, which is set against the backdrop of Hollywood.",32b310d14bef4e4e92a6bd3a7bd12547,,,4
betty,diane,"Neil Roberts and Tom Charity suggest that Betty represents Diane's projection of a happier life. This interpretation is also accepted by Roger Ebert and Jonathan Ross, but both are hesitant to overanalyze the film.",7af53c18b65442d5b9a1fe6dea6a090a,,,4
betty,diane,"Philip French sees Mulholland Drive as an allusion to Hollywood tragedy, but Jane Douglas rejects the theory of Betty's life as Diane's dream.",7af53c18b65442d5b9a1fe6dea6a090a,,,4
unresolved storylines,dreams,"According to Jonathan Ross, there are storylines in Mulholland Drive that go nowhere and may be the non-sequiturs and subconscious of dreams.",7af53c18b65442d5b9a1fe6dea6a090a,,,4
explanation,mystery,"Roger Ebert states that there is no explanation in Mulholland Drive, but there may not even be a mystery.",7af53c18b65442d5b9a1fe6dea6a090a,,,4
dreams,revelatory truth,"Lynch's film illustrates the concept of revelatory truth in dreams, highlighting the epistemological uncertainty associated with it.",7bf560b006fd4a08a464f68a708e172b,,,4
dreams,epistemological uncertainty,The portrayal of dreams in Lynch's film explores the uncertain and ambiguous nature of knowledge gained through dreaming.,7bf560b006fd4a08a464f68a708e172b,,,4
monstrous being,dreams,"The monstrous being from the dreams in Lynch's film is discussed by the men at Winkie's, adding to its significance and recurrence throughout the movie.",7bf560b006fd4a08a464f68a708e172b,,,4
monstrous being,suicide,"The monstrous being from the dreams in Lynch's film is associated with the suicide of Diane at the end of the movie, highlighting its ominous and enigmatic nature.",7bf560b006fd4a08a464f68a708e172b,,,4
robert sinnerbrink,dream and reality interpretation,Similarly notes that the images following Diane's apparent suicide undermine the 'dream and reality' interpretation.,1b1e618a43b14ec4a6e28c1554369ac5,,,4
images following diane's apparent suicide,bed consumed with smoke,Followed by Betty and Rita beaming at each other,1b1e618a43b14ec4a6e28c1554369ac5,,,4
woman in the club silencio balcony,whispers 'silencio',After which a woman in the Club Silencio balcony whispers 'Silencio' as the screen fades to black.,1b1e618a43b14ec4a6e28c1554369ac5,,,4
sinnerbrink,the genuinely metaphysical dimension of the cinematic image,"Notes that the 'concluding images float in an indeterminate zone between fantasy and reality, which is perhaps the genuinely metaphysical dimension of the cinematic image'",1b1e618a43b14ec4a6e28c1554369ac5,,,4
last sequence,diane's dying consciousness,"Sinnerbrink writes that the 'last sequence comprises the fantasy images of Diane's dying consciousness, concluding with the real moment of her death: the final Silencio'",1b1e618a43b14ec4a6e28c1554369ac5,,,4
andrew hageman,cinematic space that persists after the curtain has dropped on her living consciousness,"Notes that 'the ninety-second coda that follows Betty/Diane's suicide is a cinematic space that persists after the curtain has dropped on her living consciousness, and this persistent space is the very theatre where the illusion of illusion is continually unmasked'",1b1e618a43b14ec4a6e28c1554369ac5,,,4
mulholland drive,lynch films,"Mulholland Drive is a part of the larger body of films directed by David Lynch, commonly referred to as 'Lynch films'.",0d818a625f394a78a7916a7e28f76a0f,,,4
david roche,lynch films,David Roche is a film theorist who has written about Lynch films.,0d818a625f394a78a7916a7e28f76a0f,,,4
detective story,lynch films,"While Mulholland Drive does have detective story elements, David Roche argues that the films force the audience to become detectives themselves in order to understand the narratives.",0d818a625f394a78a7916a7e28f76a0f,,,4
spectator,lynch films,"In Lynch's films, the spectator is always 'one step behind narration'",0d818a625f394a78a7916a7e28f76a0f,,,4
mystery film,mulholland drive,"Roche argues that Mulholland Drive is a mystery film not because it presents solutions to questions, but because the audience's desire to make sense of it holds the film together.",0d818a625f394a78a7916a7e28f76a0f,,,4
characters in the film,mysteries,"There are multiple mysteries in the film that ultimately go unanswered by the characters who meet dead ends, like Betty and Rita, or give in to pressures as Adam does.",0d818a625f394a78a7916a7e28f76a0f,,,4
spectator-detective,mulholland drive,Roche concludes that Mulholland Drive is a mystery film held together 'by the spectator-detective's desire to make sense' of it.,0d818a625f394a78a7916a7e28f76a0f,,,4
mulholland drive,hollywood,"Despite the proliferation of theories, critics note that no explanation satisfies all of the loose ends and questions that arise from the film. Mulholland Drive has little to do with any single character's love life or professional ambition. The movie is an ever-deepening reflection on the allure of Hollywood and on the multiple role-playing and self-invention that the movie-going experience promises ... What greater power is there than the power to enter and to program the dream life of the culture? Stephen Holden from The New York Times writes, 'Mulholland Drive has little to do with any single character's love life or professional ambition. The movie is an ever-deepening reflection on the allure of Hollywood and on the multiple role-playing and self-invention that the movie-going experience promises ... What greater power is there than the power to enter and to program the dream life of the culture?' J. Hoberman from The Village Voice echoes this sentiment by calling it a 'poisonous valentine to Hollywood'.",3246841c89f24b109f6c998cac59c210,,,4
mulholland drive,culture,"'Mulholland Drive has little to do with any single character's love life or professional ambition. The movie is an ever-deepening reflection on the allure of Hollywood and on the multiple role-playing and self-invention that the movie-going experience promises ... What greater power is there than the power to enter and to program the dream life of the culture?' Stephen Holden from The New York Times writes, 'Mulholland Drive has little to do with any single character's love life or professional ambition. The movie is an ever-deepening reflection on the allure of Hollywood and on the multiple role-playing and self-invention that the movie-going experience promises ... What greater power is there than the power to enter and to program the dream life of the culture?'",3246841c89f24b109f6c998cac59c210,,,4
mulholland drive,sunset boulevard,Both films are compared due to their themes of broken dreams in Hollywood and iconic Los Angeles street names. Mulholland Drive is described as Lynch's unique account of what held Wilder's attention too: human putrefaction in a city of lethal illusions.,78ce57b7608f4332aaf0943b26191392,,,4
mulholland drive,iconic hollywood culture,The title of the film is a reference to iconic Hollywood culture.,78ce57b7608f4332aaf0943b26191392,,,4
lynch,mulholland drive,"Lynch lives near Mulholland Drive and described it as 'the top of the world' at night, where there is a hair of fear because it goes into remote areas.",78ce57b7608f4332aaf0943b26191392,,,4
watts,mulholland drive,"Before her career was established, Watts drove along Mulholland Drive sobbing her heart out in her car and questioning what she was doing there.",78ce57b7608f4332aaf0943b26191392,,,4
mulholland drive,critique,Lynch presents more than 'the façade' and that he believes only evil and deceit lie beneath it in the film Mulholland Drive. Critic Gregory Weight cautions viewers against a cynical interpretation.,dad17c3fc2dd49fdad5eb474e5c23169,,,4
mulholland drive,nostalgia,"Lynch infuses nostalgia throughout the film and recognizes that real art comes from classic filmmaking as Lynch cast thereby paying tribute to veteran actors Ann Miller, Lee Grant and Chad Everett in Mulholland Drive.",dad17c3fc2dd49fdad5eb474e5c23169,,,4
mulholland drive,betty,Lynch portrays Betty as extraordinarily talented and shows that her abilities are noticed by powerful people in the entertainment industry in Mulholland Drive.,dad17c3fc2dd49fdad5eb474e5c23169,,,4
hollywood culture,critique,Mulholland Drive is critical of the culture of Hollywood as much as it is a condemnation of 'cinephilia' (the fascination of filmmaking and the fantasies associated with it) in Hollywood culture.,dad17c3fc2dd49fdad5eb474e5c23169,,,4
hollywood culture,nostalgia,"Lynch infuses nostalgia throughout the film Mulholland Drive and recognizes that real art comes from classic filmmaking as Lynch cast thereby paying tribute to veteran actors Ann Miller, Lee Grant and Chad Everett in Hollywood culture.",dad17c3fc2dd49fdad5eb474e5c23169,,,4
hollywood culture,putrefaction,Mulholland Drive is critical of the culture of Hollywood as much as it is a condemnation of 'cinephilia' (the fascination of filmmaking and the fantasies associated with it) as well as the putrefaction of Hollywood culture.,dad17c3fc2dd49fdad5eb474e5c23169,,,4
steven dillon,analysis,Steven Dillon writes that Mulholland Drive is critical of the culture of Hollywood as much as it is a condemnation of 'cinephilia' (the fascination of filmmaking and the fantasies associated with it) in his analysis.,dad17c3fc2dd49fdad5eb474e5c23169,,,4
steven dillon,contrast,Steven Dillon writes that Mulholland Drive is critical of the culture of Hollywood as well as a condemnation of 'cinephilia' (the fascination of filmmaking and the fantasies associated with it) while contrasting film nostalgia and the putrefaction of Hollywood in his analysis.,dad17c3fc2dd49fdad5eb474e5c23169,,,4
harring,"hollywood dreams, illusion and obsession","When I saw it the first time, I thought it was the story of Hollywood dreams, illusion and obsession. It touches on the idea that nothing is quite as it seems, especially the idea of being a Hollywood movie star.",67b0db5277c44ceabd340c4f3d348fdd,,,4
harring,identity,Do we know who we are? And then I kept seeing different things in it ...,67b0db5277c44ceabd340c4f3d348fdd,,,4
movie,nothing is quite as it seems,"The second and third times I saw it, I thought it dealt with identity. Do we know who we are? And then I kept seeing different things in it ... There's no right or wrong to what someone takes away from it or what they think the film is really about.",67b0db5277c44ceabd340c4f3d348fdd,,,4
movie,being a hollywood movie star,"The second and third times I saw it, I thought it dealt with identity. Do we know who we are? And then I kept seeing different things in it ... There's no right or wrong to what someone takes away from it or what they think the film is really about.",67b0db5277c44ceabd340c4f3d348fdd,,,4
movie,ask questions,"It intrigues you. You want to get it, but I don't think it's a movie to be gotten. It's achieved its goal if it makes you ask questions.",67b0db5277c44ceabd340c4f3d348fdd,,,4
movie,continuously ponder,"It intrigues you. You want to get it, but I don't think it's a movie to be gotten. It's achieved its goal if it makes you ask questions.",67b0db5277c44ceabd340c4f3d348fdd,,,4
movie,ask questions,"I've heard over and over, 'This is a movie that I'll see again' or 'This is a movie you've got to see again.' It intrigues you. You want to get it, but I don't think it's a movie to be gotten.",67b0db5277c44ceabd340c4f3d348fdd,,,4
betty and rita,lyricism practically without equal in contemporary cinema,Thierry Jousse's review for Cahiers du cinéma described the love between Betty and Rita as having 'lyricism practically without equal in contemporary cinema',e352297b9a4e4b318f225936633febe7,,,4
betty and rita,moving and touching,Variously described relationships between Betty and Rita have been referred to as 'moving' and 'touching',e352297b9a4e4b318f225936633febe7,,,4
betty and rita,titillating,Variously described relationships between Betty and Rita have been referred to as 'titillating',e352297b9a4e4b318f225936633febe7,,,4
the love between the women depicted,of lyricism practically without equal in contemporary cinema,Thierry Jousse's review for Cahiers du cinéma described the 'love between the women depicted' as having 'lyricism practically without equal in contemporary cinema',e352297b9a4e4b318f225936633febe7,,,4
the pivotal romantic interlude,desire,"Betty's understanding for the first time, with self-surprise, that all her helpfulness and curiosity about the other woman had a point: desire",e352297b9a4e4b318f225936633febe7,,,4
the scene's eroticism,"blankets the whole movie, coloring every scene that came before and every one that follows","Stephanie Zacharek of Salon magazine stated that the 'eroticism [was] so potent it blankets the whole movie, coloring every scene that came before and every one that follows'",e352297b9a4e4b318f225936633febe7,,,4
betty and rita,beauty of the world has been cursed,"Writer Charles Taylor said, 'Betty and Rita are often framed against darkness so soft and velvety it's like a hovering nimbus, ready to swallow them if they awake from the film's dream. And when they are swallowed, when smoke fills the frame as if the sulfur of hell itself were obscuring our vision, we feel as if not just a romance has been broken, but the beauty of the world has been cursed.'",e352297b9a4e4b318f225936633febe7,,,4
queerness,aesthetic and thematic content,Lynch inserts queerness in the aesthetic and thematic content of the film.,ff8a6e5bc0454b8883817833f3e17f41,,,4
non-linear film,narrative coherence,the non-linear film is 'incapable of sustaining narrative coherence',ff8a6e5bc0454b8883817833f3e17f41,,,4
lesbianism,ideological conventions of narrative realism,"lesbianism dissolves the ideological conventions of narrative realism, operating as the switch point for the contesting storyworlds within Lynch's elaborately plotted film'",ff8a6e5bc0454b8883817833f3e17f41,,,4
mirrors,doubelgangers,the presence of mirrors and doppelgangers throughout the film 'are common representations of lesbian desire',ff8a6e5bc0454b8883817833f3e17f41,,,4
co-dependency,obsession,The co-dependency in the relationship between Betty and Rita—which borders on outright obsession—,ff8a6e5bc0454b8883817833f3e17f41,,,4
female relationships,identities of vulnerable women,"two similar films, Ingmar Bergman's Persona (1966) and Robert Altman's 3 Women (1977), which also depict identities of vulnerable women that become tangled, interchanging and ultimately merge: 'The female couples also mirror each other, with their mutual interactions conflating hero(ine) worship with same-sex desire'",ff8a6e5bc0454b8883817833f3e17f41,,,4
rita,betty's own hair,"Lynch pays direct homage to Persona in the scene where Rita dons the blonde wig, styled exactly like Betty's own hair. Rita and Betty then gaze at each other in the mirror 'drawing attention to their physical similarity, linking the sequence to theme of embrace, physical coupling and the idea of merging or doubling'",ff8a6e5bc0454b8883817833f3e17f41,,,4
mirroring,doubles,"Mirroring and doubles, which are prominent themes throughout the film, serve to further queer the form and content of the film.",ff8a6e5bc0454b8883817833f3e17f41,,,4
lynch,"accused of perpetuating stereotypes and clichés of lesbians, bisexuals, and lesbian relationships","Several theorists have accused Lynch of perpetuating stereotypes and clichés of lesbians, bisexuals, and lesbian relationships.",9c8d48647b2d4776a44064a7953137a4,,,4
rita,femme fatale,"Rita (the femme fatale) represents two classic stock lesbian characters; Heather Love identifies two key clichés used in the film: ""Lynch presents lesbianism in its innocent and expansive form: lesbian desire appears as one big adventure, an entrée into a glamorous and unknown territory"".",9c8d48647b2d4776a44064a7953137a4,,,4
betty,school girl,Rita (the femme fatale) and Betty (the school girl) represent two classic stock lesbian characters;,9c8d48647b2d4776a44064a7953137a4,,,4
lynch,presents tragic lesbian triangle,"Simultaneously, he presents the tragic lesbian triangle, ""in which an attractive but unavailable woman dumps a less attractive woman who is figured as exclusively lesbian"", perpetuating the stereotype of the bisexual ""ending up with a man"".",9c8d48647b2d4776a44064a7953137a4,,,4
rita,duplicitous nature,"For Love, Diane's exclusively lesbian desire is ""between success and failure, between sexiness and abjection, even between life and death"" if she is rejected. In this context the character of Diane may be interpreted as the ""tragic lesbian"" cliché pining after the bisexual in the heterosexual relationship.",9c8d48647b2d4776a44064a7953137a4,,,4
diane,tragic lesbian,"Love's analysis of the film notes the media's peculiar response to the film's lesbian content: ""reviewers rhapsodized in particular and at length about the film's sex"".",9c8d48647b2d4776a44064a7953137a4,,,4
lesbian content,reviewers' response to lesbian content,"reviewers rhapsodized in particular and at length about the film's sex scenes, as if there were a contest to see who could enjoy this representation of female same-sex desire the most.",03ce6f8148684e31be29a23cabe42d3a,,,4
camilla,classic theme in literature and film depicting lesbian relationships,"Camilla as achingly beautiful and available, rejecting Diane for Adam.",03ce6f8148684e31be29a23cabe42d3a,,,4
betty and rita,contrasting relationships between betty and rita and diane and camilla,"popular reaction to the film suggests the contrasting relationships between Betty and Rita and Diane and Camilla are 'understood as both the hottest thing on earth and, at the same time, as something fundamentally sad and not at all erotic' as 'the heterosexual order asserts itself with crushing effects for the abandoned woman'.",03ce6f8148684e31be29a23cabe42d3a,,,4
heterosexuality as primary,latter half of the film,"In the latter half of the film, heterosexuality plays a significant role.",b9652a95c79240a18610ba306147aa06,,,4
ultimate demise,relationship between diane and camilla,The ultimate demise of Diane and Camilla's relationship is linked to the matrimony of the heterosexual couple.,b9652a95c79240a18610ba306147aa06,,,4
laughs and kisses,declaration that camilla and adam are getting married,"At Adam's party, they begin to announce that Camilla and Adam are getting married; through laughs and kisses, the declaration is delayed because it is obvious and expected.",b9652a95c79240a18610ba306147aa06,,,4
lee wallace suggests,diane circumvents the heterosexual closure of the industry story,"As Lee Wallace suggests, by planning a hit against Camilla, ""Diane circumvents the heterosexual closure of the industry story""",b9652a95c79240a18610ba306147aa06,,,4
storyworld,industry story,"Diane's act of going over to its storyworld is fundamental to the plot of lesbianism as the film presents it, but only by going over to its storyworld, an act that proves fatal for both women, the cause and effect relations of the thriller being fundamentally incompatible with the plot of lesbianism as the film presents it""",b9652a95c79240a18610ba306147aa06,,,4
diane,adam,"In her fantasy, Adam serves as Diane's foil and represents what she can never be, leading to his humiliation. This can be seen as an example of Diane's transgender gaze as Adam functions like a mirror for her to project herself onto.",553fc285dcfd4535bbe0b73a25e63199,,,4
diane,dan,"Diane's prolonged eye-contact with Dan at Winkie's is another example of the trans gaze. According to Cole, Diane's strange recognition of Dan feels trans in its oblique line drawn between impossible doubles due to their similar names (Dan/Diane), which is no mistake.",553fc285dcfd4535bbe0b73a25e63199,,,4
watts's view of the onscreen relationship,the scene,she doesn't see it as erotic but maybe it plays that way,bbec13de6c964807b4a65913f922379b,,,4
harring's perception of the love scene,the energy that takes us [over],she doesn't know if she's done it before but I don't think we're really lesbians,bbec13de6c964807b4a65913f922379b,,,4
love's perception of identity in mulholland drive,"what matters instead is what we are about to do, what we want to do",who we are does not count for much,bbec13de6c964807b4a65913f922379b,,,4
betty elms,los angeles,"described as 'wholesome, optimistic, determined to take the town by storm'",ddf5a4babe5046e580cee0141513f40b,located in,,4
betty elms,hollywood system,entered naively and eagerly,ddf5a4babe5046e580cee0141513f40b,complicit actor who had embraced the very structure that destroyed her,,4
betty,diane,"Relationship between Betty's interpretation of Diane and the true character of Diane. This relationship can be seen as ambiguous, as it is unclear whether Betty is acting out a dream or parody in her portrayal of Diane.",fd4a0f0c4553412a860feb2802d0bc1a,,,4
betty,rita,"Relationship between Betty's performance during the audition and her rehearsal with Rita. During rehearsal, Betty plays the scene poorly due to the poor quality of the lines, but at the actual audition, she transforms it into a powerful scene of sexual tension that she fully controls.",fd4a0f0c4553412a860feb2802d0bc1a,,,4
betty,audience,"Relationship between Betty's interpretation of her character and the audience's perception. Although her character is difficult to believe, her audition performance shows an astonishing depth of dimension.",fd4a0f0c4553412a860feb2802d0bc1a,,,4
betty,david,Relationship between Betty's interpretation of her character and David's perspective. The interpretation can end up being completely different from both David and the audience.,fd4a0f0c4553412a860feb2802d0bc1a,,,4
rita (harring),betty,"Rita serves as the object of desire for Betty, representing her own desire to make sense of the film through Rita's identity. Betty nurtures and consoles Rita due to her confusion and amnesia, which inspires genuine actions from Rita in the first portion of the film.",0dfacab5114144d68527e1e44114364f,,,4
rita (harring),diane selwyn,"According to film historian Steven Dillon, Diane transitions a former roommate into Rita, suggesting that the first portion of Mulholland Drive can be construed as Rita's fantasy until Diane is revealed.",0dfacab5114144d68527e1e44114364f,,,4
rita (harring),audience,"As viewers identify with Rita's confusion and frightened state, she represents their desire to make sense of the film through her identity.",0dfacab5114144d68527e1e44114364f,,,4
rita (harring),gilda,Reviewer notes that Rita's blank persona inspires the onlooker's projection of angelic and devilish traits onto her due to her extraordinary beauty.,0dfacab5114144d68527e1e44114364f,,,4
diane,rita,"undergoes a transition, replaces former roommate in the apartment and assumes her identity",3ea7e962128a4c3f91ed52e788c86973,,,4
