node_1,node_2,edge,chunk_id,node_3,relation,count
black panther,vibranium,"Thousands of years ago, five African tribes war over a meteorite containing the metal vibranium. The ingestion of a 'heart-shaped herb' affected by the metal results in the first Black Panther gaining superhuman abilities.",d5f95a97d6714932b605d97469e6a8e0,,,4
black panther,wakanda,"The Black Panther unites all but the Jabari Tribe to form the nation of Wakanda over centuries, using vibranium to develop advanced technologies and isolate themselves from the world by posing as an underdeveloped country.",d5f95a97d6714932b605d97469e6a8e0,,,4
t'chaka,n'jobu,"In 1992, Wakanda king T'Chaka visits his brother N'Jobu, who is working undercover in Oakland, California.",d5f95a97d6714932b605d97469e6a8e0,,,4
t'chaka,ulysses klaue,T'Chaka accuses N'Jobu of assisting black-market arms dealer Ulysses Klaue with stealing vibranium from Wakanda.,d5f95a97d6714932b605d97469e6a8e0,,,4
n'jobu,zuri,"N'Jobu's partner reveals he is Zuri, another undercover Wakandan, and confirms T'Chaka's suspicions.",d5f95a97d6714932b605d97469e6a8e0,,,4
t'challa,coronation ceremony,"Following T'Chaka's death, his son T'Challa returns to Wakanda to assume the throne and attends his coronation ceremony with his mother Ramonda and younger sister Shuri.",d5f95a97d6714932b605d97469e6a8e0,,,4
t'challa,okoye,"T'Challa and Okoye, leader of the Dora Milaje, extract T'Challa's ex-lover Nakia from an undercover assignment so she can attend his coronation ceremony with his mother Ramonda and younger sister Shuri.",d5f95a97d6714932b605d97469e6a8e0,,,4
t'challa,m'baku,"At the ceremony, the Jabari Tribe's leader M'Baku challenges T'Challa for the crown in ritual combat without the benefit of the heart-shaped herb.",d5f95a97d6714932b605d97469e6a8e0,,,4
t'challa,superhuman abilities,"In the present day, following T'Chaka's death, his son T'Challa returns to Wakanda to assume the throne. He is a Black Panther with superhuman abilities.",d5f95a97d6714932b605d97469e6a8e0,,,4
t'challa,w'kabi,"When Klaue and his accomplice Erik Stevens steal a Wakandan artifact from a London museum, T'Challa's friend and Okoye's husband W'Kabi urges him to bring Klaue back alive.",3125f28934fe4864bcd5f18c59e15d9b,,,4
t'challa,okoye,"Okoye travels with T'Challa, and Nakia to Busan, South Korea.",3125f28934fe4864bcd5f18c59e15d9b,,,4
klaue,erik stevens,"When Klaue and his accomplice Erik Stevens steal a Wakandan artifact from a London museum,",3125f28934fe4864bcd5f18c59e15d9b,,,4
klaue,t'challa,"Klaue steals a Wakandan artifact from a London museum, and T'Challa stops him.",3125f28934fe4864bcd5f18c59e15d9b,,,4
erik stevens,klaue,Erik Stevens is Klaue's accomplice.,3125f28934fe4864bcd5f18c59e15d9b,,,4
wakanda,international image,"Wakanda's international image is a front for a technologically advanced civilization, as revealed by Klaue to Ross.",3125f28934fe4864bcd5f18c59e15d9b,,,4
ross,klaue,"When Klaue plans to sell the artifact to CIA agent Everett K. Ross, T'Challa, Okoye, and Nakia travel to Busan, South Korea.",3125f28934fe4864bcd5f18c59e15d9b,,,4
ross,nakia,Ross is gravely injured protecting Nakia.,3125f28934fe4864bcd5f18c59e15d9b,,,4
w'kabi,t'challa,"When Klaue and his accomplice Erik Stevens steal a Wakandan artifact from a London museum, T'Challa's friend and Okoye's husband W'Kabi urges him to bring Klaue back alive. In Busan, South Korea, W'Kabi travels with T'Challa, and Nakia.",3125f28934fe4864bcd5f18c59e15d9b,,,4
okoye,t'challa,"In Busan, South Korea, Okoye travels with T'Challa, and Nakia.",3125f28934fe4864bcd5f18c59e15d9b,,,4
erik stevens,ross,"When Klaue plans to sell the artifact to CIA agent Everett K. Ross, Erik attacks and extracts Klaue as Ross is gravely injured protecting Nakia.",3125f28934fe4864bcd5f18c59e15d9b,,,4
t'challa,zuri,"Zuri explains that N'Jobu had grown disillusioned with Wakanda's isolationism and planned to share Wakanda's technology with people of African descent around the world to help them conquer their oppressors with the help of Klaue. Before T'Chaka could arrest N'Jobu, the latter attacked Zuri and forced T'Chaka to kill him.",f37aa55ef7be447a9c233b8116a8ba45,,,4
t'challa,killmonger,"Killmonger challenges T'Challa to ritual combat, where he kills Zuri; without the powers of the heart-shaped herb, T'Challa is badly injured and thought dead after Killmonger hurls him over a waterfall.",f37aa55ef7be447a9c233b8116a8ba45,,,4
klaue,n'jobu,N'Jobu had grown disillusioned with Wakanda's isolationism and planned to share Wakanda's technology with people of African descent around the world to help them conquer their oppressors with the help of Klaue.,f37aa55ef7be447a9c233b8116a8ba45,,,4
n'jobu,t'chaka,"Before T'Chaka could arrest N'Jobu, the latter attacked Zuri and forced T'Chaka to kill him.",f37aa55ef7be447a9c233b8116a8ba45,,,4
n'jadaka,killmonger,"This boy grew up to be Erik, a black ops U.S. Navy SEAL who adopted the nickname 'Killmonger'.",f37aa55ef7be447a9c233b8116a8ba45,,,4
n'jadaka,zuri,T'Chaka ordered Zuri to lie that N'Jobu had disappeared and left behind N'Jobu's American son N'Jadaka to maintain the lie.,f37aa55ef7be447a9c233b8116a8ba45,,,4
n'jadaka,t'challa,Killmonger reveals his identity as N'Jadaka and states his claim to the throne.,f37aa55ef7be447a9c233b8116a8ba45,,,4
wakanda,technology,N'Jobu planned to share Wakanda's technology with people of African descent around the world to help them conquer their oppressors.,f37aa55ef7be447a9c233b8116a8ba45,,,4
wakanda,isolationism,"T'Challa confronts Zuri about N'Jobu, as Erik was wearing a necklace that belonged to him.",f37aa55ef7be447a9c233b8116a8ba45,,,4
w'kabi,killmonger,"Supported by W'Kabi and his army, Killmonger prepares to distribute shipments of Wakandan weapons to operatives worldwide.",f37aa55ef7be447a9c233b8116a8ba45,,,4
t'challa,jabari tribe,T'Challa was rescued by the Jabari Tribe for aid and healed by Nakia's herb while staying with them.,4f2c1d777cb1476d96ce644511cdac53,,,4
nakia,jabari tribe,Nakia was a member of the Jabari Tribe and helped heal T'Challa while staying there.,4f2c1d777cb1476d96ce644511cdac53,,,4
shuri,jabari tribe,"Shuri, along with T'Challa and Ross, sought refuge at the Jabari Tribe for aid.",4f2c1d777cb1476d96ce644511cdac53,,,4
ross,jabari tribe,Ross also sought refuge at the Jabari Tribe for aid.,4f2c1d777cb1476d96ce644511cdac53,,,4
t'challa,killmonger,T'Challa fought against Killmonger in Wakanda.,4f2c1d777cb1476d96ce644511cdac53,,,4
killmonger,t'challa,Killmonger also fought against T'Challa in Wakanda.,4f2c1d777cb1476d96ce644511cdac53,,,4
w'kabi,shuri,"W'Kabi and his army fought against Shuri, Nakia, and the Dora Milaje.",4f2c1d777cb1476d96ce644511cdac53,,,4
w'kabi,m'baku,W'Kabi and M'Baku were both members of the Jabari Tribe.,4f2c1d777cb1476d96ce644511cdac53,,,4
m'baku,jabari tribe,M'Baku was a leader of the Jabari Tribe.,4f2c1d777cb1476d96ce644511cdac53,,,4
nakia,t'challa,Nakia helped heal T'Challa while he was in a comatose state at the Jabari Tribe.,4f2c1d777cb1476d96ce644511cdac53,,,4
shuri,outreach center,"Shuri will run an outreach center at the building where N'Jobu died, as announced by T'Challa.",4f2c1d777cb1476d96ce644511cdac53,,,4
bucky barnes,shuri,Shuri helped Bucky Barnes with his rehabilitation in a post-credits scene.,4f2c1d777cb1476d96ce644511cdac53,,,4
florence kasumba,ayo,"played by Florence Kasumba and John Kani's respective roles in Captain America: Civil War are reprised in Black Panther, with Kasumba specifically portraying Ayo",bd787d85a5fd411f8f249001002c8182,,,4
john kani,t'chaka,"Kani returns to the Marvel Cinematic Universe as T'Chaka in Black Panther, with his son Atandwa Kani portraying a young version of the character",bd787d85a5fd411f8f249001002c8182,,,4
isaach de bankolé,river tribe elder,De Bankolé appears as an elder from the River Tribe in Black Panther,bd787d85a5fd411f8f249001002c8182,,,4
connie chiume,mining tribe elder,Chiume portrays a Mining Tribe elder in Black Panther,bd787d85a5fd411f8f249001002c8182,,,4
dorothy steel,merchant tribe elder,Steel plays a Merchant Tribe elder in Black Panther,bd787d85a5fd411f8f249001002c8182,,,4
danny sapani,border tribe elder,Sapani portrays a Border Tribe elder in Black Panther,bd787d85a5fd411f8f249001002c8182,,,4
marija abney,dora milaje member,Abney is one of the Dora Milaje members featured in Black Panther,bd787d85a5fd411f8f249001002c8182,,,4
janeshia adams-ginyard,dora milaje member,Adams-Ginyard appears as a Dora Milaje member in Black Panther,bd787d85a5fd411f8f249001002c8182,,,4
maria hippolyte,dora milaje member,Hippolyte plays a Dora Milaje member in Black Panther,bd787d85a5fd411f8f249001002c8182,,,4
marie mouroum,dora milaje member,Mouroum is one of the Dora Milaje members featured in Black Panther,bd787d85a5fd411f8f249001002c8182,,,4
jénel stevens,dora milaje member,Stevens portrays a Dora Milaje member in Black Panther,bd787d85a5fd411f8f249001002c8182,,,4
zola williams,dora milaje member,Williams appears as a Dora Milaje member in Black Panther,bd787d85a5fd411f8f249001002c8182,,,4
christine hollingsworth,dora milaje member,Hollingsworth plays a Dora Milaje member in Black Panther,bd787d85a5fd411f8f249001002c8182,,,4
shaunette renée wilson,dora milaje member,Wilson appears as a Dora Milaje member named Okoye in Black Panther,bd787d85a5fd411f8f249001002c8182,,,4
nabiyah be,tilda johnson,"Be was initially announced to be playing criminal Tilda Johnson, but her character is simply named Linda in the final film due to Gabrielle Dennis being cast as Johnson in Luke Cage",bd787d85a5fd411f8f249001002c8182,,,4
sebastian stan,white wolf,"Stan makes an uncredited appearance as Bucky Barnes, now known as the White Wolf, in a post-credits scene of Black Panther",bd787d85a5fd411f8f249001002c8182,,,4
trevor noah,griot,"Noah provides the voice for Griot, a Wakandan ship A.I., in Black Panther",bd787d85a5fd411f8f249001002c8182,,,4
stan lee,south korean casino patron,Lee makes a cameo as a patron at a South Korean casino in Black Panther,bd787d85a5fd411f8f249001002c8182,,,4
black panther,hollywood films,Portrayal of Africa in Hollywood films has been poor in the past,23a306fe581249ea9e0165be68005bed,,,4
black panther,noble character,Antithesis of African stereotypes,23a306fe581249ea9e0165be68005bed,,,4
wesley snipes,black panther,Intention to make a film about Black Panther in June 1992,23a306fe581249ea9e0165be68005bed,,,4
columbia pictures,black panther,Entering talks with Columbia Pictures in January 1994 to portray Black Panther,23a306fe581249ea9e0165be68005bed,,,4
stan lee,black panther,Joining the film by March 1994,23a306fe581249ea9e0165be68005bed,,,4
mario van peebles,black panther,Discussions with Mario Van Peebles about the project,23a306fe581249ea9e0165be68005bed,,,4
john singleton,black panther,Discussions with John Singleton about the project,23a306fe581249ea9e0165be68005bed,,,4
screenwriters and directors,black panther,Snipes had discussions with several different screenwriters and directors about the project,23a306fe581249ea9e0165be68005bed,,,4
black panther party,black panther,Confusion among those unfamiliar with the comics who thought the film was about the Black Panther Party,23a306fe581249ea9e0165be68005bed,,,4
black panther,marvel comics' film slate,"In July 1997, Black Panther was listed as part of Marvel Comics' film slate,",7d221a8fb7174c679272d64e79f8511c,,,4
joe quesada,black panther,"Marvel reportedly hired Joe Quesada and Jimmy Palmiotti, who at the time were editors of the Black Panther comics, to work on it;",7d221a8fb7174c679272d64e79f8511c,,,4
jimmy palmiotti,black panther,"Marvel reportedly hired Joe Quesada and Jimmy Palmiotti, who at the time were editors of the Black Panther comics, to work on it;",7d221a8fb7174c679272d64e79f8511c,,,4
wesley snipes,black panther,"Actor Wesley Snipes, who worked on early iterations of Black Panther,",7d221a8fb7174c679272d64e79f8511c,,,4
artisan entertainment,black panther,"Artisan Entertainment announced a deal with Marvel in May 2000 to co-produce, finance, and distribute the film.",7d221a8fb7174c679272d64e79f8511c,,,4
black panther,marvel studios,"In September 2005, Marvel chairman and CEO Avi Arad announced Black Panther as one of ten films being developed by the new Marvel Studios.",4f813b8a02764b818320545c6192caa2,,,4
avi arad,marvel studios,"In September 2005, Marvel chairman and CEO Avi Arad announced Black Panther as one of ten films being developed by the new Marvel Studios.",4f813b8a02764b818320545c6192caa2,,,4
black panther,paramount pictures,Marvel Studios received financing to produce the slate of ten films to be distributed by Paramount Pictures.,4f813b8a02764b818320545c6192caa2,,,4
marvel studios,paramount pictures,Marvel Studios received financing to produce the slate of ten films to be distributed by Paramount Pictures.,4f813b8a02764b818320545c6192caa2,,,4
black panther,september 2005,"In September 2005, Marvel chairman and CEO Avi Arad announced Black Panther as one of ten films being developed by the new Marvel Studios.",4f813b8a02764b818320545c6192caa2,,,4
black panther,nate moore,"Nate Moore, the head of the writers program, was overseeing the development of Black Panther specifically.",4f813b8a02764b818320545c6192caa2,,,4
mark bailey,black panther,"In January 2011, Marvel Studios hired documentary filmmaker Mark Bailey to write a script for Black Panager.",4f813b8a02764b818320545c6192caa2,,,4
kevin feige,black panther,Marvel Studios president Kevin Feige reiterated in February 2007 that Black Panther was in development.,4f813b8a02764b818320545c6192caa2,,,4
wakanda,vibranium,"In October 2013, the metal vibranium, which comes from Black Panther's home nation Wakanda, was introduced in the Marvel Cinematic Universe.",4f813b8a02764b818320545c6192caa2,,,4
djimon hounsou,black panther,"Fantastic Four (2005) director Tim Story expressed his interest in casting Djimon Hounsou as Black Panther if he were to direct another Fantastic Four film after Fantastic Four: Rise of the Silver Surfer (2007), but a third Fantastic Four film helmed by Story went unproduced.",4f813b8a02764b818320545c6192caa2,,,4
vibranium,marvel cinematic universe,"As mentioned by Feige in October 2013, the metal vibranium has been introduced in the Marvel Cinematic Universe.",8ef6e7fc95ab474b9b38d61eee63b87b,,,4
wakanda,marvel cinematic universe,"Marvel had considered showing Wakanda, Black Panther's home nation, as early as Iron Man 2, but were waiting until they had 'a full idea' of how to depict it.",8ef6e7fc95ab474b9b38d61eee63b87b,,,4
black panther,feige,"In October 2014, Feige announced that Black Panther would be released on November 3, 2017.",5d2de6a8afb4478090038a7cf989eb8a,,,4
t'challa / black panther,feige,"In October 2014, Feige announced that Black Panther would be released on November 3, 2017, with Chadwick Boseman cast as T'Challa / Black Panther.",5d2de6a8afb4478090038a7cf989eb8a,,,4
boseman,marvel,"Boseman did not audition for the role, instead discussing what he wanted to do with the part with Marvel,",5d2de6a8afb4478090038a7cf989eb8a,,,4
captain america: civil war,black panther,"Set to first portray the character in Captain America: Civil War (2016),",5d2de6a8afb4478090038a7cf989eb8a,,,4
feige,snipes,"Feige said that Marvel was considering minority writers and directors for the film, but would prioritize ""the best filmmakers, the best writers, the best directors possible"". He added that they had met with former Black Panther comics writer Reginald Hudlin.",5d2de6a8afb4478090038a7cf989eb8a,,,4
feige,age of ultron,"Feige stated that casting for the film was underway, and added that he was set to meet with directors about the film following the release of Avengers: Age of Ultron (2015) at the end of April.",5d2de6a8afb4478090038a7cf989eb8a,,,4
black panther,marvel,"In January 2015, Boseman said that the film was going through a ""brainstorming phase"",",5d2de6a8afb4478090038a7cf989eb8a,,,4
release date,black panther,"Marvel pushed back the release date to July 6, 2018,",5d2de6a8afb4478090038a7cf989eb8a,,,4
black panther,superhero,Black Panther is a superhero,cb2f691c3f9d490fa6d90e322a58ec5f,,,4
panther,black panther,Panther is a persona or alter ego adopted by Black Panther,cb2f691c3f9d490fa6d90e322a58ec5f,,,4
leader,black panther,Black Panther is a leader in his country,cb2f691c3f9d490fa6d90e322a58ec5f,,,4
country,black panther,Black Panther belongs to a warrior-based nation called 'his country',cb2f691c3f9d490fa6d90e322a58ec5f,,,4
leader,warrior-based nation,"The leaders of the warrior-based nation have to be warriors, as well",cb2f691c3f9d490fa6d90e322a58ec5f,,,4
black panther,ryan coogler,"Coogler was chosen to direct the Black Panther movie by Marvel Studios president Kevin Feige in January 2016, making him the first African-American director of a Marvel Studios film.",93afecc088754d68aa0fafb337165b07,,,4
kevin feige,black panther,"In an interview with The Hollywood Reporter in April 2016, Feige revealed that Coogler was working on the script for Black Panther with Joe Robert Cole and that filming would begin at the beginning of 2017.",93afecc088754d68aa0fafb337165b07,,,4
black panther,primarily african-american cast,Feige announced in April 2016 that Black Panther would be the first Marvel Studios production to feature a 'primarily African-American cast'.,93afecc088754d68aa0fafb337165b07,,,4
lupita nyong'o,black panther,Nyong'o entered negotiations to star as T'Challa's love interest in Black Panther in April 2016.,93afecc088754d68aa0fafb337165b07,,,4
michael b. jordan,black panther,"Jordan joined the cast of Black Panther in an undisclosed role in May 2016, after previously working with director Ryan Coogler on Fruitvale Station and Creed.",93afecc088754d68aa0fafb337165b07,,,4
"atlanta, georgia",black panther,"Marvel Studios was planning to shoot Black Panther in Atlanta, Georgia by the end of May 2016.",93afecc088754d68aa0fafb337165b07,,,4
africa,black panther,"Nate Moore, serving as a producer on Black Panther by the end of May 2016, revealed that Marvel Studios was 'definitely investigating shooting in Africa' for the film.",93afecc088754d68aa0fafb337165b07,,,4
black panther,nakia,"At San Diego Comic-Con 2016, Nyong'o was confirmed for the film as Nakia. Coogler confirmed that filming would begin in January 2017.",936a09d63b7644f2a51ad1c051b77b4e,,,4
black panther,erik killmonger,"At San Diego Comic-Con 2016, Jordan's role was revealed to be Erik Killmonger.",936a09d63b7644f2a51ad1c051b77b4e,,,4
black panther,okoye,Danai Gurira as Okoye was announced at San Diego Comic-Con 2016.,936a09d63b7644f2a51ad1c051b77b4e,,,4
m'baku,black panther,Winston Duke was cast as M'Baku in September 2016. Yahya Abdul-Mateen II also tested for the role.,936a09d63b7644f2a51ad1c051b77b4e,,,4
zuri,black panther,Forest Whitaker was cast as Zuri in September 2016.,936a09d63b7644f2a51ad1c051b77b4e,,,4
w'kabi,black panther,Daniel Kaluuya was cast as W'Kabi in September 2016.,936a09d63b7644f2a51ad1c051b77b4e,,,4
t'challa's mother,black panther,"Angela Bassett was cast as T'Challa's mother, Ramonda, in September 2016.",936a09d63b7644f2a51ad1c051b77b4e,,,4
n'jobu,black panther,Sterling K. Brown was cast as N'Jobu in September 2016.,936a09d63b7644f2a51ad1c051b77b4e,,,4
shuri,black panther,Letitia Wright was cast in an unspecified role in September 2016. Florence Kasumba was also revealed to be reprising her role as Ayo.,936a09d63b7644f2a51ad1c051b77b4e,,,4
ac transit logo,black panther,Marvel received permission from AC Transit in January 2017 to use their logo in the film for the opening flashback.,936a09d63b7644f2a51ad1c051b77b4e,,,4
ac transit,"oakland, california-based public transit agency","The setting of the opening flashback sequence was chosen due to Coogler growing up in that area, and permission was granted by AC Transit to use their logo in the film.",568253c677e148fab67a7eeab54ac6a1,,,4
ta-nehisi coates's run on black panther,production team,inspired by,54cb55019fb8433dba9d037aea453db8,,,4
ta-nehisi coates's run on black panther,dialogue,poetic,54cb55019fb8433dba9d037aea453db8,,,4
brian stelfreeze's art,production team,inspired by,54cb55019fb8433dba9d037aea453db8,,,4
some of the questions that it's asking,production team,inspired by,54cb55019fb8433dba9d037aea453db8,,,4
jack kirby,film,influenced by,54cb55019fb8433dba9d037aea453db8,,,4
christopher priest,film,most influenced by,54cb55019fb8433dba9d037aea453db8,,,4
jonathan hickman,film,adapted from,54cb55019fb8433dba9d037aea453db8,,,4
hudlin,film,adapted from,54cb55019fb8433dba9d037aea453db8,,,4
dora milaje,ceremonial betrothal aspect,not adapted from comics for film,54cb55019fb8433dba9d037aea453db8,,,4
spider-man villain kraven the hunter,inclusion in film,not available due to Sony Pictures owning all rights to Spider-Man characters,54cb55019fb8433dba9d037aea453db8,,,4
donald glover and his brother stephen,early draft of the script,developed the relationship between T'Challa and his younger sister Shuri,54cb55019fb8433dba9d037aea453db8,,,4
eli bradley / patriot,wakanda,Ryan Coogler and Robert Cole considered including Eli Bradley in the movie before ultimately deciding to exclude him in order to focus on Wakanda.,b92fe5bf0cf745ea91528722b117d3dd,,,4
black panther,geopolitical action adventure,Feige described Black Panther as 'a big geopolitical action adventure',e22c8005302b4e98921c594c698a55ca,,,4
black panther,learning to be king,Feige laid the groundwork for T'Challa's learning to be king in Civil War,e22c8005302b4e98921c594c698a55ca,,,4
family,black panther,Feige described Black Panther as 'a big geopolitical action adventure' that focuses on family',e22c8005302b4e98921c594c698a55ca,,,4
t'challa,king,Black Panther's learning to be king,e22c8005302b4e98921c594c698a55ca,,,4
feige,described,Feige described Black Panther as 'a big geopolitical action adventure',e22c8005302b4e98921c594c698a55ca,,,4
moore,compared,Moore compared the politics and humor of the film to Captain America: The Winter Soldier,e22c8005302b4e98921c594c698a55ca,,,4
coogler,was influenced by,"Coogler was influenced by 1970s films such as the works of Francis Ford Coppola in that decade, as well as crime fiction",e22c8005302b4e98921c594c698a55ca,,,4
feige,called,Feige called the film's story 'rich in culturally relevant ideas',e22c8005302b4e98921c594c698a55ca,,,4
boseman,indicated,Boseman indicated there were parallels to 'pull from' in relation to Donald Trump becoming President of the United States after Barack Obama,e22c8005302b4e98921c594c698a55ca,,,4
feige,added that,Feige added that 'these are conversations we were having two years ago because that is inherently the story within the comics',e22c8005302b4e98921c594c698a55ca,,,4
black panther,wakandan language,"In Black Panther, the Wakandan language was introduced based on the Xhosa language, which was taught to actors portraying Wakandans in the film by John Kani, who played T'Challa's father. Director Ryan Coogler made the use of the language a priority and incorporated it in natural and authentic situations.",df2704ce42804b70b1da723bffb01390,,,4
black panther,t'chaka,"In Black Panther, T'Challa's father, King T'Chaka, was portrayed by John Kani. This connection highlights the significance of T'Chaka in Black Panther and his relation to T'Challa.",df2704ce42804b70b1da723bffb01390,,,4
mcu films,avengers: infinity war,"According to Feige, Black Panther served as a very important link between MCU films like Captain America: Civil War and Avengers: Infinity War and Avengers: Endgame.",df2704ce42804b70b1da723bffb01390,,,4
wakanda,africa,"Rooted in the actual cultures of Africa, the filmmakers consulted with experts on the region of Africa that Wakanda is supposed to be located in. Cole called the film an historic opportunity to depict a Black superhero 'at a time when African-Americans are affirming their identities while dealing with vilification and dehumanization'. Wakanda's traditional blankets, inspired by Lesotho, are featured in the film.",11e960074f5b463d9ab9ed017c0ecdb5,,,4
lesotho,wakanda,"Coogler compared the rarity of vibranium existing only in Wakanda to the real-life mineral coltan that can almost only be found in Congo. The country's traditional blankets, inspired by Lesotho, are also featured in the film.",11e960074f5b463d9ab9ed017c0ecdb5,,,4
congo,vibranium,Coogler compared the rarity of vibranium existing only in Wakanda to the real-life mineral coltan that can almost only be found in Congo.,11e960074f5b463d9ab9ed017c0ecdb5,,,4
wakanda,multiple distinct tribes,Coogler created a project bible that detailed each Wakandan tribe to guide the design process. He wanted Wakanda to feel like a full country with multiple distinct tribes.,11e960074f5b463d9ab9ed017c0ecdb5,,,4
wakanda,sub-saharan africa,"Beachler wanted to honor the comic designs by filling in the gaps with research concentrated on Sub-Saharan Africa. He pulled inspiration from Uganda, Rwanda, Burundi, Congo-Kinshasa, Ethiopia.",1a0f43ff769f4121bfd24c49dea33792,,,4
wakanda,zaha hadid,"Beachler looked at the architecture of Zaha Hadid and incorporated circular motifs signifying the transmission of energy throughout the film, especially in older locations like Warrior Falls and the City of the Dead.",1a0f43ff769f4121bfd24c49dea33792,,,4
wakanda,historic mali empire and the city of timbuktu,Beachler looked at the architecture of existing tribes and took inspiration from the historic Mali Empire and the city of Timbuktu.,1a0f43ff769f4121bfd24c49dea33792,,,4
afro-punk style,golden city,"The Golden City, Wakanda's capital, has an Afro-punk style inspired by Sub-Saharan Africa.",1a0f43ff769f4121bfd24c49dea33792,,,4
