node_1,node_2,edge,chunk_id,edge_1,count
sharon duncan-brewster,gurney halleck,'Sharon Duncan-Brewster' portrays the character 'Gurney Halleck' in the film adaptation of 'Dune'.,ed6424f5e4534cf7b9299a018e2f22a7,,4
charlotte rampling,reverend mother mohiam,'Charlotte Rampling' plays the character 'Reverend Mother Mohiam' in the film adaptation of 'Dune'.,ed6424f5e4534cf7b9299a018e2f22a7,,4
jason momoa,duncan idaho,'Jason Momoa' portrays the character 'Duncan Idaho' in the film adaptation of 'Dune'.,ed6424f5e4534cf7b9299a018e2f22a7,,4
javier bardem,emperor shaddam iv,'Javier Bardem' plays the character 'Emperor Shaddam IV' in the film adaptation of 'Dune'.,ed6424f5e4534cf7b9299a018e2f22a7,,4
paramount pictures,dune,Previous production house for the Dune film adaptation.,ed6424f5e4534cf7b9299a018e2f22a7,,4
duke leto atreides,arrakis,"Duke Leto Atreides is assigned by the Padishah Emperor Shaddam IV to replace Baron Vladimir Harkonnen as the fiefholder of Arrakis, a harsh desert planet and the sole source of 'spice'.",73f52fa140b54097900decc6e679eb25,,4
arrakis,spice,"'Spice' is the sole source found on Arrakis, a harsh desert planet.",73f52fa140b54097900decc6e679eb25,,4
spice,spacing guild navigators,Spacing Guild Navigators have the ability to guide starships to traverse space instantaneously and safely with the help of 'spice'.,73f52fa140b54097900decc6e679eb25,,4
padishah emperor shaddam iv,duke leto atreides,The Padishah Emperor Shaddam IV assigns Duke Leto Atreides to replace Baron Vladimir Harkonnen as the fiefholder of Arrakis.,73f52fa140b54097900decc6e679eb25,,4
baron vladimir harkonnen,arrakis,Baron Vladimir Harkonnen is the current fiefholder of Arrakis.,73f52fa140b54097900decc6e679eb25,,4
house atreides,duke leto atreides,Duke Leto Atreides belongs to House Atreides.,73f52fa140b54097900decc6e679eb25,,4
house harkonnen,baron vladimir harkonnen,Baron Vladimir Harkonnen belongs to House Harkonnen.,73f52fa140b54097900decc6e679eb25,,4
fremen,arrakis,The mysterious natives of Arrakis are known as the Fremen.,73f52fa140b54097900decc6e679eb25,,4
bene gesserit,lady jessica,"Leto's concubine Lady Jessica is an acolyte of the Bene Gesserit, a sisterhood with advanced physical and mental abilities. As part of their centuries-long breeding program, they instructed Jessica to bear a daughter whose son would become the Kwisatz Haderach.",10d54027aaff471c8c1289d04e260870,,4
bene gesserit,daughter,The Bene Gesserit's centuries-long breeding program involved instructing Jessica to bear a daughter whose son would become the Kwisatz Haderach.,10d54027aaff471c8c1289d04e260870,,4
bene gesserit,messianic superbeing,The Bene Gesserit breeding program aimed to create a messianic superbeing with the clairvoyance necessary to guide humanity to a better future.,10d54027aaff471c8c1289d04e260870,,4
lady jessica,bene gesserit disciplines,"Jessica, as part of the Bene Gesserit sisterhood, teaches her son Paul Bene Gesserit disciplines.",10d54027aaff471c8c1289d04e260870,,4
leto's concubine,bene gesserit,Leto's concubine Lady Jessica is also a member of the Bene Gesserit sisterhood.,10d54027aaff471c8c1289d04e260870,,4
paul,lady jessica,"Paul, Leto's son, was born as a result of Jessica disobeying the Bene Gesserit and bearing him instead of fulfilling their breeding program.",10d54027aaff471c8c1289d04e260870,,4
paul,duncan idaho,"Paul is trained by Leto's aides, Duncan Idaho and others.",10d54027aaff471c8c1289d04e260870,,4
jessica,duncan idaho,"Jessica, Paul's mother, confides in Duncan about troubling visions of the future.",10d54027aaff471c8c1289d04e260870,,4
paul,reverend mother,The Reverend Mother and Imperial Truthsayer Gaius Helen Mohiam subjects Paul to a deadly gom jabbar test.,10d54027aaff471c8c1289d04e260870,,4
paul,imperial truthsayer gaius helen mohiam,The Reverend Mother and Imperial Truthsayer Gaius Helen Mohiam assess Paul's humanity and impulse control through the gom jabbar test.,10d54027aaff471c8c1289d04e260870,,4
baron harkonnen,spare paul and jessica,"At a meeting on Giedi Prime, Mohiam insists Baron Harkonnen spare Paul and Jessica in his coup, to which he duplicitously agrees.",10d54027aaff471c8c1289d04e260870,,4
arrakis,fremen,"The natives of Arrakis, the principal stronghold on the planet, revere Paul and Jessica due to beliefs sown by the Bene Gesserit centuries earlier.",10d54027aaff471c8c1289d04e260870,,4
house atreides,arrakeen,"House Atreides arrives at Arrakeen, the principal stronghold on Arrakis.",10d54027aaff471c8c1289d04e260870,,4
paul,emperor shaddam,plan to marry one of Emperor Shaddam's daughters to avert potential civil war arising from the Emperor's betrayal,3ff8e63eacf44fbe9eba669da71563ce,,4
baron harkonnen,rabban,appoints his nephew Rabban to oversee Arrakis and orders him to restart spice production to recoup the invasion's cost,3ff8e63eacf44fbe9eba669da71563ce,,4
paul,chani,"encountered Stilgar's Fremen tribe, including Chani, the young woman from Paul's visions",3ff8e63eacf44fbe9eba669da71563ce,,4
jamis,paul,"Fremen warrior Jamis challenges Paul to a ritual duel to the death, which Paul wins",3ff8e63eacf44fbe9eba669da71563ce,,4
baron harkonnen's pet,human-spider hybrid,Choreographer Milena Sidorova portrays the Baron's human-spider hybrid pet via motion capture.,3ff8e63eacf44fbe9eba669da71563ce,,4
duncan,paul and jessica's escape,"Sacrifices himself, enabling Paul and Jessica's escape from Sardaukar soldiers armed with a lasgun",3ff8e63eacf44fbe9eba669da71563ce,,4
kynes,escape,"Tries to escape but is caught and mortally wounded, lures sandworm to her location to devour herself and the Sardaukar",3ff8e63eacf44fbe9eba669da71563ce,,4
sandworm,kynes' escape,"Lured by Kynes, who is mortally wounded, in order to devour herself and the Sardaukar",3ff8e63eacf44fbe9eba669da71563ce,,4
stilgar,paul and jessica,Provides lenience towards Paul and Jessica when they encounter his Fremen tribe,3ff8e63eacf44fbe9eba669da71563ce,,4
dune,film adaptation,"Following the publication of Frank Herbert's novel Dune in 1965, it was considered as having potential for a possible film adaptation. Since 1971, various producers have held film adaptation rights for the novel.",9a8ecdd7eb694265846acf15e5c2517b,,4
dune,unfilmable,Attempts to make an adaptation based on the book were considered to be 'unfilmable' due to its breadth of content.,9a8ecdd7eb694265846acf15e5c2517b,,4
dune,reputation,The book's status among fans meant that deviations without strong justification could potentially harm the film's reputation.,9a8ecdd7eb694265846acf15e5c2517b,,4
paramount,reverting,"Paramount later cancelled the project in March 2011, as they could not come to key agreements, with their rights reverting to Rubinstein.",c6b2771ae90e4f57864452c79e5dce8f,,4
rubinstein,rights,with their rights reverting to Rubinstein.,c6b2771ae90e4f57864452c79e5dce8f,,4
dune,mary parent,"In 2011, Mary Parent and her producer partner Cale Boyter acquired adaptation rights for Dune. ",2cfd7b1a1c034551a2277a707f0e73aa,,4
dune,legendary pictures,Legendary obtained film and TV rights for Dune in November 2016.,2cfd7b1a1c034551a2277a707f0e73aa,,4
denis villeneuve,dune,"Canadian filmmaker Denis Villeneuve expressed interest in the project in September 2016, saying that ""a longstanding dream of mine is to adapt Dune, but it's a long process to get the rights, and I don't think I will succeed"". By December, Villeneuve was in talks with the studio to direct the film.",2cfd7b1a1c034551a2277a707f0e73aa,,4
denis villeneuve,mary parent,Parent hired Villeneuve after hearing him describe his vision for the film.,2cfd7b1a1c034551a2277a707f0e73aa,,4
blade runner 2049,denis villeneuve,Villeneuve chose to complete Arrival (2016) and Blade Runner 2049 (2017) first.,2cfd7b1a1c034551a2277a707f0e73aa,,4
dune,denis villeneuve,"He chose to spend more time to develop Dune and co-write it himself, employing his past experience directing science fiction films during development.",2cfd7b1a1c034551a2277a707f0e73aa,,4
dune,january 2017,"Villeneuve signed on to direct the film by January 2017, approximately one week after earning a nomination Academy Award for Best Director for Arrival.",2cfd7b1a1c034551a2277a707f0e73aa,,4
villeneuve,dune,"French-Canadian director Denis Villeneuve signed on to adapt Frank Herbert's seminal 1965 novel Dune in early 2017, with Legendary Entertainment and Universal Pictures co-producing and distributing. Villeneuve's previous collaborators on Arrival and Blade Runner 2049 returned for Dune, including film editor Joe Walker, production designer Patrice Vermette, visual effects supervisor Paul Lambert, sound designer and editor Theo Green, and special effects supervisor Gerd Nefzer.",334d55941fbd41fda8ec7676191bef5b,,4
arrival,blade runner 2049,Some of Villeneuve's previous collaborators on Arrival and Blade Runner 2049 returned for Dune.,334d55941fbd41fda8ec7676191bef5b,,4
frank herbert's seminal 1965 novel dune,denis villeneuve,"French-Canadian director Denis Villeneuve signed on to adapt Frank Herbert's seminal 1965 novel Dune in early 2017, with Legendary Entertainment and Universal Pictures co-producing and distributing.",334d55941fbd41fda8ec7676191bef5b,,4
legendary entertainment,universal pictures,"Legendary Entertainment and Universal Pictures co-produced and distributed Dune, with French-Canadian director Denis Villeneuve adapting Frank Herbert's seminal 1965 novel.",334d55941fbd41fda8ec7676191bef5b,,4
joe walker,patrice vermette,"Film editor Joe Walker and production designer Patrice Vermette returned to work on Dune with French-Canadian director Denis Villeneuve, following their collaborations on Arrival and Blade Runner 2049 respectively.",334d55941fbd41fda8ec7676191bef5b,,4
paul lambert,gerd nefzer,"Visual effects supervisor Paul Lambert and special effects supervisor Gerd Nefzer both worked on Dune with French-Canadian director Denis Villeneuve, having previously collaborated with him on Blade Runner 2049.",334d55941fbd41fda8ec7676191bef5b,,4
march 2018,villeneuve,Villeneuve stated that his goal was to adapt the novel into a two-part film series in March 2018.,49681b2e8975449e93dd8002277af78c,,4
villeneuve,warner bros. pictures,Villeneuve secured a two-movie deal with Warner Bros. Pictures in the same style as the two-part adaptation of Stephen King's It in 2017 and in 2019.,49681b2e8975449e93dd8002277af78c,,4
it,stephen king's it,The two-part adaptation of Stephen King's It in 2017 and in 2019.,49681b2e8975449e93dd8002277af78c,,4
villeneuve,too large and complex for one,Villeneuve felt that the novel was too large and complex for one because of its complexity.,49681b2e8975449e93dd8002277af78c,,4
two-part film series,first film,The production of the first film and new production deals were made to start production for the second.,49681b2e8975449e93dd8002277af78c,,4
eric roth,co-write the screenplay,Eric Roth was hired to co-write the screenplay in April.,49681b2e8975449e93dd8002277af78c,,4
legendary ceo joshua grode,planned on making a sequel,Legendary CEO Joshua Grode affirmed that the studio planned on making a sequel.,49681b2e8975449e93dd8002277af78c,,4
may 2018,villeneuve,Villeneuve completed a first draft of the script by May 2018.,49681b2e8975449e93dd8002277af78c,,4
july,fourth draft,"The fourth draft of the screenplay, submitted in July, would cover the first half of the events from the novel.",49681b2e8975449e93dd8002277af78c,,4
september,jon spaihts,"Though later in September, Jon Spaihts was hired as co-writer alongside Roth and Villeneuve.",49681b2e8975449e93dd8002277af78c,,4
arab and islamic culture,minimized incorporating them,"The team minimized incorporating elements inspired from Arab and Islamic culture as they became integrated into the world, resulting in the need to ""invent more""",49681b2e8975449e93dd8002277af78c,,4
roth,team,"Roth stated that the team minimized incorporating [specific elements] as he felt Arab culture became integrated into the world, resulting in the need to 'invent more and borrow less' due to potentially overemphasizing them.",6c51c9eda6344f7287c7fc970c8bdae9,,4
arab culture,world,Roth felt that Arab culture became integrated into the world.,6c51c9eda6344f7287c7fc970c8bdae9,,4
villeneuve,dune,"When writing his script, Villeneuve chose not to take inspiration from Lynch's Dune. He described his reaction to the film as being 'half-satisfied' and felt he would make the film with a 'different sensibility'. Villeneuve's love for Dune allowed him to focus on his own vision, and he compared his experience of making the film to archaeology, describing the process as 'going back in time and finding those images mixed with emotions, and bringing them back to life'.",91622ac1c1574a5b88bd125691ae1e4a,,4
lynch,dune,"Villeneuve chose not to take inspiration from Lynch's Dune. He affirmed his respect for Lynch and the film, but felt he would make the film with a 'different sensibility'.",91622ac1c1574a5b88bd125691ae1e4a,,4
jodorowsky,dune,"Villeneuve chose not to incorporate concepts Jodorowsky envisioned for his Dune film, as he felt it would be 'very presumptuous and arrogant'.",91622ac1c1574a5b88bd125691ae1e4a,,4
coming-of-age story,youth,"In adapting the book for a contemporary audience, Villeneuve considered his screenplay 'a coming-of-age story, but also a call for action for the youth'",a1345443fa874e5ba5a5e53ddffd9cf4,,4
social commentary,capitalism and exploitation of natural resources,Villeneuve considered the book's social commentary regarding capitalism and the exploitation of natural resources such as oil,a1345443fa874e5ba5a5e53ddffd9cf4,,4
paul,jessica,Villeneuve wanted to recreate the experience he had felt when he initially read the book as a teen by focusing on Paul and Jessica's relationship as the main focus of the story and giving them a secret hand gesture language they could use to communicate silently to each other,a1345443fa874e5ba5a5e53ddffd9cf4,,4
paul,arrakis and fremen culture,"The inclusion of the informative holographic filmbook videos for Paul was adapted from the book, with Villeneuve wanting it to convey Paul's 'appetite for learning' and his desire to learn about the Arrakis and Fremen culture'",a1345443fa874e5ba5a5e53ddffd9cf4,,4
timothée chalamet,villeneuve's dream list for paul atreides,Chalamet was the ideal choice for the role due to his ability to portray an 'old soul in the body of a teenager.',2a261f48a5bc40b4b0f5341408aa8e18,,4
timothée chalamet,dune cast,"Chalamet was chosen from individual castings, and Villeneuve admitted that he had no alternate choices in mind.",2a261f48a5bc40b4b0f5341408aa8e18,,4
rebecca ferguson,lady jessica,"Ferguson entered negotiations to play the role of Lady Jessica, which she initially dismissed due to similarities with her Mission: Impossible character.",2a261f48a5bc40b4b0f5341408aa8e18,,4
rebecca ferguson,villeneuve's ideas and reading the book,"Ferguson was convinced after hearing Villeneuve's ideas and reading the book, enjoying the 'simplicity of wanting to save something you have created and all of these shades.'",2a261f48a5bc40b4b0f5341408aa8e18,,4
rebecca ferguson,dune cast,Ferguson was already confirmed for the role of Lady Jessica by January 2019.,2a261f48a5bc40b4b0f5341408aa8e18,,4
francine maisler,villeneuve,Compiled over 30–50 audition tapes from actors for Villeneuve to decide from when casting secondary roles.,a49be15572c24602819a5d0bf3fe8563,,4
dave bautista,villeneuve,Bautista was offered the role of Glossu Rabban following a phone call from Villeneuve.,a49be15572c24602819a5d0bf3fe8563,,4
villeneuve,dave bautista,"Villeneuve contacted Bautista first, as he is an avid fan of Villeneuve and wanted to contact him.",a49be15572c24602819a5d0bf3fe8563,,4
stellan skarsgård,villeneuve,Villeneuve wanted Stellan Skarsgård to portray Baron Vladimir Harkonnen as he had found Skarsgård intimidating.,a49be15572c24602819a5d0bf3fe8563,,4
charlotte rampling,villeneuve,"Villeneuve personally contacted Charlotte Rampling in order to portray Gaius Helen Mohiam, who accepted as she enjoyed Villeneuve's work.",a49be15572c24602819a5d0bf3fe8563,,4
oscar isaac,villeneuve,"Isaac contacted Villeneuve about starring in the film once he heard it was in development. Villeneuve cast him as Duke Leto, with Isaac commenting the role suited him physically.",a49be15572c24602819a5d0bf3fe8563,,4
zendaya,chalamet,Zendaya auditioned for the role of Chani alongside five other actresses. She was chosen as she was considered to have the best performance with Chalamet.,a49be15572c24602819a5d0bf3fe8563,,4
javier bardem,stilgar,"In the next month, Javier Bardem was cast as Stilgar in Denis Villeneuve's adaptation of Dune. Villeneuve directly called Bardem and offered him the role, as he wanted to portray Stilgar comparing it to his personal love for Aragorn in The Lord of the Rings.",fe3bb44d623d438a855bf5c0f815b19b,,4
josh brolin,gurney halleck,Josh Brolin was cast as Gurney Halleck in Denis Villeneuve's adaptation of Dune. Brolin amusingly commented that he pretended to read the script prior to accepting the role.,fe3bb44d623d438a855bf5c0f815b19b,,4
jason momoa,duncan idaho,Jason Momoa was cast as Duncan Idaho in Denis Villeneuve's adaptation of Dune. He received his casting call while snowboarding down a mountain and later contacted Villeneuve on a Skype call to confirm his involvement.,fe3bb44d623d438a855bf5c0f815b19b,,4
david dastmalchian,piter de vries,David Dastmalchian was cast as Piter de Vries in Denis Villeneuve's adaptation of Dune. He accepted the role without reading the script due to his confidence in Villeneuve.,fe3bb44d623d438a855bf5c0f815b19b,,4
stephen mckinley henderson,(unknown),Stephen McKinley Henderson joined Denis Villeneuve's adaptation of Dune in March. Maisler chose Henderson after admiring his work in New York theaters.,fe3bb44d623d438a855bf5c0f815b19b,,4
chang chen,(unknown),"Denis Villeneuve's adaptation of Dune was negotiating with Chang Chen for a role in March. Maisler curated a list of the 'most talented' Chinese actors for the role of Dr. Yueh, and after initial difficulties contacting Chen, they eventually contacted his manager in China.",fe3bb44d623d438a855bf5c0f815b19b,,4
benjamin clementine,herald of the change,Denis Villeneuve's adaptation of Dune chose Benjamin Clementine as the Herald of the Change after Maisler enjoyed his performance in the Tiny Desk Concerts.,fe3bb44d623d438a855bf5c0f815b19b,,4
duncan-brewster,jina jay,"Duncan-Brewster auditioned for the role in London through Jina Jay, a casting director working with Maisler at the time, saying that she 'exudes an intelligence and a power and an inner strength'.",9a0ee9555a6b41e8b9a47d3d9302516f,,4
maisler,villeneuve,"When Maisler presented a shortlist for potential cast members, Villeneuve selected Duncan-Brewster.",9a0ee9555a6b41e8b9a47d3d9302516f,,4
duncan-brewster,kynes' gender,"The idea to change Kynes' gender was suggested by Jon Spaihts, which Villeneuve promptly accepted.",9a0ee9555a6b41e8b9a47d3d9302516f,,4
villeneuve,kynes' nature,"According to Duncan-Brewster, Villeneuve opted for the change as he felt it was not necessary to adhere to all of the elements in the book in order to remain faithful to the character's nature.",9a0ee9555a6b41e8b9a47d3d9302516f,,4
villeneuve,set design,The set design was done by production designer Patrice Vermette.,9a0ee9555a6b41e8b9a47d3d9302516f,,4
vermette,realistic settings,Vermette based the set design for Dune by the need 'to ground the story into realistic settings to help the audience believe in the extraordinary elements'.,9a0ee9555a6b41e8b9a47d3d9302516f,,4
vermette,visual language,"Prior to the creation of any sets or visual effects, Villeneuve and a group of specific people, worked together to define the visual language for the film.",9a0ee9555a6b41e8b9a47d3d9302516f,,4
visual bible,set design,Vermette created a 'visual bible' to guide the development of set design and keep it consistent with the film's visual effects design.,6f1094f033ec493db9c91ac7de506ba6,,4
nonspecific,design,"The book gives a lot of clues or cues that will help you navigate it to design things, but it's quite nonspecific,",6f1094f033ec493db9c91ac7de506ba6,,4
mesopotamian ziggurat architecture,egyptian references,"The team's early mood boards for the visual language of the film consisted of Mesopotamian ziggurat architecture and Egyptian references,",6f1094f033ec493db9c91ac7de506ba6,,4
world war ii bunkers,brazilian and soviet brutalist architecture,"The team's early mood boards for the visual language of the film consisted of World War II bunkers, Brazilian and Soviet brutalist architecture,",6f1094f033ec493db9c91ac7de506ba6,,4
minimalist megastructures,dams designed by superstudio,"The team's early mood boards for the visual language of the film consisted of minimalist megastructures and dams designed by Superstudio,",6f1094f033ec493db9c91ac7de506ba6,,4
glaciers taking over mountains,mesopotamian ziggurat architecture,"Imagery of glaciers taking over mountains was referenced in the team's early mood boards for the visual language of the film along with Mesopotamian ziggurat architecture,",6f1094f033ec493db9c91ac7de506ba6,,4
ornithopters,villeneuve,The design for the ornithopters was conceived by Villeneuve.,43aefcddf5304c1db44b7dfdda6d525b,,4
ornithopters,storyboard artist sam hudecki,Villeneuve and storyboard artist Sam Hudecki conceived the design for the ornithopters.,43aefcddf5304c1db44b7dfdda6d525b,,4
ornithopter,dragonfly,Villeneuve wanted the ornithopter to resemble a dragonfly.,43aefcddf5304c1db44b7dfdda6d525b,,4
ornithopter,helicopter,Villeneuve wanted the ornithopter to resemble a helicopter.,43aefcddf5304c1db44b7dfdda6d525b,,4
ornithopter,realistic,Villeneuve wanted the ornithopter to be realistic.,43aefcddf5304c1db44b7dfdda6d525b,,4
ornithopter,basic laws of science,Villeneuve wanted the ornithopter to adhere to basic laws of science.,43aefcddf5304c1db44b7dfdda6d525b,,4
dune world,retro-futuristic,Villeneuve perceived the Dune world as retro-futuristic and analog.,43aefcddf5304c1db44b7dfdda6d525b,,4
cockpits,landscape,Villeneuve wanted the cockpits to be designed so that the actors could see the landscape.,43aefcddf5304c1db44b7dfdda6d525b,,4
ornithopter models,48- and 75-feet long,"Two functional ornithopter models, 48- and 75-feet long, were created for filming.",43aefcddf5304c1db44b7dfdda6d525b,,4
ornithopter models,operable doors,The ornithopter models had operable doors.,43aefcddf5304c1db44b7dfdda6d525b,,4
ornithopter models,interior cockpit areas,The ornithopter models had interior cockpit areas.,43aefcddf5304c1db44b7dfdda6d525b,,4
ornithopter models,cranes,Cranes were used to make the ornithopter models fly.,43aefcddf5304c1db44b7dfdda6d525b,,4
caladan,autumn in canada,"Vermette sought to give Caladan 'a feeling of melancholia' and identified forests containing Norwegian pines and dramatic coastal mountain ranges as defining features, while also comparing it to the end of a cycle or the beginning of a new one.",f6e0c7a5f3ed492a8ae15a3e5edaf2b7,,4
caladan,medieval japanese aesthetics,"The interior sets of Caladan were inspired by medieval Japanese aesthetics, particularly that of Paul's training room, containing intricate screens and diffused lighting.",f6e0c7a5f3ed492a8ae15a3e5edaf2b7,,4
sandworm,prehistoric,The original design for the sandworm was deemed 'prehistoric'.,f6e0c7a5f3ed492a8ae15a3e5edaf2b7,,4
sandworm,tree bark and mud flats,The sandworm's skin texture was based on tree bark and mud flats.,f6e0c7a5f3ed492a8ae15a3e5edaf2b7,,4
sandworm,deity in the world of the fremen,"Vermette spoke of the challenges involved in creating the set designs used for the sandworms, stating 'It was a creature that commanded respect, and it's almost seen as a deity in the world of the Fremen. So that's why the first time you see the depiction of the sand worm on the mural, it's presented with sun coming out of its mouth'.",f6e0c7a5f3ed492a8ae15a3e5edaf2b7,,4
arrakeen,colonial entity,"Vermette called Arrakeen the biggest residency ever built by humankind and described it as a colonial entity that took over the planet for the exploitation of spice, in reference to Arrakis's climate.",bc865108e60c410cb1b18aac94ad2046,,4
arrakis,spice,"The design for Arrakeen was influenced by the book's description of Arrakis's climate, which revolves around spice.",bc865108e60c410cb1b18aac94ad2046,,4
rock bowl,arrakeen,Vermette designed the city in a 'rock bowl' shape to protect its infrastructure from sandworms.,bc865108e60c410cb1b18aac94ad2046,,4
interiors,arrakeen,"The walls of Arrakeen were thickened to make the interiors cooler, in order to protect them from sandworms and high wind speeds.",bc865108e60c410cb1b18aac94ad2046,,4
wwii bunkers,design team,The design team was inspired by WWII bunkers while creating Arrakeen's infrastructure.,bc865108e60c410cb1b18aac94ad2046,,4
bunkers,mayan temples,The design team drew inspiration from both bunkers and Mayan temples while creating Arrakeen's infrastructure.,bc865108e60c410cb1b18aac94ad2046,,4
brazilian modernism,design team,The design team was also inspired by Brazilian modernism while creating Arrakeen's infrastructure.,bc865108e60c410cb1b18aac94ad2046,,4
fremen history and culture,murals throughout the residence,Vermette compared the depiction of Fremen history and culture in the mural to that of a church. This was done by envisioning Fremen artists doing so.,bc865108e60c410cb1b18aac94ad2046,,4
raining season,environmentally controlled sand,Agriculturally controlled sand was placed on the ground while filming took place during Budapest's raining season.,bc865108e60c410cb1b18aac94ad2046,,4
spokes,circular dome,"The circular dome for the environmental lab had spokes created by a special kind of cloth fabric, which provided proper lighting for the act and gave an illusion of shadows.",bc865108e60c410cb1b18aac94ad2046,,4
sardaukar soldiers,descent from the air,The practical set was the environmental lab in which Sardaukar soldiers descend from the air.,bc865108e60c410cb1b18aac94ad2046,,4
arrakis,caladan,"Both Arrakis and Caladan are planets in the fictional universe of Dune, as depicted in the film. They have a relationship as they both appear in the same context.",17e641152e0d41218bb8b5700017feea,,4
arrakis,giedi prime,"Both Arrakis and Giedi Prime are planets in the fictional universe of Dune, as depicted in the film. They have a relationship as they both appear in the same context.",17e641152e0d41218bb8b5700017feea,,4
villeneuve,costumes,"Denis Villeneuve, the director of the film, wanted the costumes to have a connection to history and avoid traditional futuristic views in science fiction films. This shows that the costumes are related to Villeneuve's vision for the film.",17e641152e0d41218bb8b5700017feea,,4
west,costumes,"Jacqueline West, the costume designer for the film, performed psychological studies of characters and associated their houses with historical symbolic analogs to facilitate her costume design process. This demonstrates a connection between West and the costumes.",17e641152e0d41218bb8b5700017feea,,4
fremen,french resistance,West associated the Fremen with the French Resistance when designing the costumes. This indicates a relationship between the Fremen and the French Resistance.,17e641152e0d41218bb8b5700017feea,,4
sardaukar,nazis,West associated the Sardaukar with the Nazis when designing the costumes. This implies a connection between the Sardaukar and the Nazis.,17e641152e0d41218bb8b5700017feea,,4
middle ages,future,West took primary inspiration from the Middle Ages to envision what it would look like in the future. This shows a relationship between the Middle Ages and the future.,17e641152e0d41218bb8b5700017feea,,4
giotto,costumes,West took inspiration from Giotto when designing the costumes. This indicates a connection between Giotto and the costumes.,17e641152e0d41218bb8b5700017feea,,4
francisco goya,costumes,West also took inspiration from Francisco Goya when designing the costumes. This implies a relationship between Francisco Goya and the costumes.,17e641152e0d41218bb8b5700017feea,,4
caravaggio,costumes,West also emulated styles from Caravaggio when designing the costumes. This shows a connection between Caravaggio and the costumes.,17e641152e0d41218bb8b5700017feea,,4
john berger,costumes,West also took inspiration from British art historian John Berger when designing the costumes. This indicates a connection between John Berger and the costumes.,17e641152e0d41218bb8b5700017feea,,4
balenciaga,costumes,West also emulated styles from Balenciaga when designing the costumes. This demonstrates a relationship between Balenciaga and the costumes.,17e641152e0d41218bb8b5700017feea,,4
bedouin,costumes,West also emulated styles from the Bedouin when designing the costumes. This indicates a connection between the Bedouin and the costumes.,17e641152e0d41218bb8b5700017feea,,4
tuareg people,costumes,West also emulated styles from the Tuareg people when designing the costumes. This shows a relationship between the Tuareg people and the costumes.,17e641152e0d41218bb8b5700017feea,,4
bene gesserit sorceresses,tarot cards,costumes were based on tarot cards,d78ee9df05534081b19dd53e5cee4a34,,4
bene gesserit sorceresses,chess pieces,costumes were based on tarot cards and chess pieces,d78ee9df05534081b19dd53e5cee4a34,,4
harkonnen armor,"medieval drawings of insects, spiders, ants, praying mantises and lizards",designed to resemble a bug's shell,d78ee9df05534081b19dd53e5cee4a34,,4
atreides' costumes,romanovs,costumes had a simplicity ... that was regal,d78ee9df05534081b19dd53e5cee4a34,,4
lady jessica's dresses (first half of the film),works of cristóbal balenciaga,inspired by,d78ee9df05534081b19dd53e5cee4a34,,4
lady jessica's gown (while landing on arrakis),middle eastern clothing and paintings of women in north africa,influenced by,d78ee9df05534081b19dd53e5cee4a34,,4
