node_1,node_2,edge,chunk_id,context,edge_cont,count
ennis,alma jr.,"Later, a 19-year-old Alma Jr. arrives at Ennis's trailer to tell him that she is engaged to Kurt, a man who works in the oil fields. She asks for his blessing and invites him to the wedding.",666a3ebd9f0f491f8fa9bb8b23b9f3e3,,,4
alma jr.,kurt,She asks for his blessing and invites him to the wedding.,666a3ebd9f0f491f8fa9bb8b23b9f3e3,,,4
ennis,work commitments,"He hesitates due to his work commitments, but then agrees to attend the wedding.",666a3ebd9f0f491f8fa9bb8b23b9f3e3,,,4
ennis,brokeback mountain,"Next to them, tacked to the closet door, is a postcard of Brokeback Mountain. With tears in his eyes, he stares at the mementos, and says, ""Jack, I swear...""",666a3ebd9f0f491f8fa9bb8b23b9f3e3,,,4
screenwriter diana ossana,annie proulx,"Discovered Annie Proulx's short story, Brokeback Mountain, in October 1997, just days after its publication. She convinced writing partner Larry McMurtry to read it, who thought it was a 'masterpiece'. The pair asked Proulx if they could adapt it into a film screenplay; although she did not think that the story would work as a film, she agreed.",2acdd67eecc341ed94c498b38db84c2d,,,4
screenwriter diana ossana,larry mcmurtry,"Ossana convinced writing partner Larry McMurtry to read Annie Proulx's short story, Brokeback Mountain, who thought it was a 'masterpiece'",2acdd67eecc341ed94c498b38db84c2d,,,4
annie proulx,gus van sant,"Gus Van Sant attempted to make the film, hoping to cast Matt Damon and Joaquin Phoenix as Ennis and Jack, respectively.",2acdd67eecc341ed94c498b38db84c2d,,,4
matt damon,gus van sant,"Damon told the director, 'Gus, I did a gay movie (The Talented Mr. Ripley), then a cowboy movie (All the Pretty Horses). I can't follow it up with a gay-cowboy movie!'",2acdd67eecc341ed94c498b38db84c2d,,,4
joel schumacher,brokeback mountain,Schumacher was also linked with the project at one point.,2acdd67eecc341ed94c498b38db84c2d,,,4
edward norton,brokeback mountain,Norton was also linked with the project at one point.,2acdd67eecc341ed94c498b38db84c2d,,,4
josh hartnett,brokeback mountain,Hartnett was originally attached to the film but dropped out due to scheduling conflicts with The Black Dahlia.,2acdd67eecc341ed94c498b38db84c2d,,,4
"ledger, heath",actor suggested by screenwriters ossana and mcmurty for the lead roles in 'brokeback mountain',Screenwriters Ossana and McMurty were impressed by his performance in 'Monster's Ball',2d65b64b9edb4eb1a31642f2a18fd18c,,,4
"ledger, heath",actor who read the script for 'brokeback mountain',Put himself forward for the role after finding it 'beautiful',2d65b64b9edb4eb1a31642f2a18fd18c,,,4
"gyllenhaal, jake",actor who reacted positively to the script for 'brokeback mountain',Signed on for the role and did not want to miss the opportunity to work with Lee and friend Ledger,2d65b64b9edb4eb1a31642f2a18fd18c,,,4
"lee, ang",director of 'brokeback mountain',Casting director Avy Kaufman said Lee was very decisive about the actors for the lead roles,2d65b64b9edb4eb1a31642f2a18fd18c,,,4
"wahlberg, mark",actor who met with lee for a role in 'brokeback mountain',Declined as he was 'creeped out' by the script,2d65b64b9edb4eb1a31642f2a18fd18c,,,4
ledger,ennis,"Ledger wanted to portray Ennis and not Jack as he found Ennis more complex, masculine, and homophobic. Ledger believed that the lack of words for Ennis to express himself and his inability to love made the role enjoyable.",d18035453f674f60ba4fa3fda80f6998,,,4
ennis,cowboys who were gay or shared similar experiences as depicted in proulx's story,Lee gave Ledger and Gyllenhaal books about cowboys who were gay or shared similar experiences as the characters depicted in Proulx's story.,d18035453f674f60ba4fa3fda80f6998,,,4
ledger,gyllenhaal,Ledger and Gyllenhaal went to a ranch on the outskirts of Los Angeles and learned to ride horses.,d18035453f674f60ba4fa3fda80f6998,,,4
ennis,deep loneliness,"Lee opined that Ennis was more complex, masculine, and homophobic. He believed that the lack of words for Ennis to express himself and his inability to love made the role enjoyable due to deep loneliness.",d18035453f674f60ba4fa3fda80f6998,,,4
gyllenhaal,deep loneliness,"Gyllenhaal later said that what ties these two characters together is not just a love, but deep loneliness. He believed primarily it was deep loneliness.",d18035453f674f60ba4fa3fda80f6998,,,4
ledger,love,"Ledger said that the lack of words for Ennis to express himself, his inability to love, made the role enjoyable because this is about two people desperately looking for love.",d18035453f674f60ba4fa3fda80f6998,,,4
gyllenhaal,love,"Gyllenhaal later said that what ties these two characters together is not just a love, but deep loneliness. He believed primarily it was deep loneliness.",d18035453f674f60ba4fa3fda80f6998,,,4
ledger,intimacy,"Hopefully it can create an equality of an idea: that is, it's possible that you can find love anywhere. That intimacy exists in so many places that convention and society won't always allow us to see. And we won't allow ourselves to see, because of what criticism—and danger, really—it might.",d18035453f674f60ba4fa3fda80f6998,,,4
gyllenhaal,intimacy,"Gyllenhaal later said:That what ties these two characters together is not just a love, but a loneliness. I think primarily it was deep loneliness.",d18035453f674f60ba4fa3fda80f6998,,,4
criticism,convention and society,"relationship: impact of criticism on convention and society, limits to what can be seen due to societal norms",9901931661364a0dadfc3f092a2aef29,,,4
we,criticism,relationship: individuals' reluctance to engage in criticism due to potential danger or provocation,9901931661364a0dadfc3f092a2aef29,,,4
alma,lee interviewed between 20 and 30 actresses for the roles of alma and lureen.,relationship: Lee's selection process for the role of Alma,9901931661364a0dadfc3f092a2aef29,,,4
alma,michelle williams,relationship: Michelle Williams was one of the first to audition for the role of Alma,9901931661364a0dadfc3f092a2aef29,,,4
lureen,anne hathaway,relationship: Anne Hathaway was cast as Lureen,9901931661364a0dadfc3f092a2aef29,,,4
lureen,anne hathaway lied to lee about her knowledge of horse riding in order to be cast.,relationship: why Anne Hathaway was cast as Lureen despite not initially seeming like an obvious choice,9901931661364a0dadfc3f092a2aef29,,,4
lureen,anne hathaway took lessons for two months to prepare.,relationship: Anne Hathaway's preparation for the role of Lureen,9901931661364a0dadfc3f092a2aef29,,,4
lee,brokeback mountain,directed the movie Brokeback Mountain,82123815fd8b4554a8fa649bcd91b465,,,4
lee,ledger,was happy with Ledger portraying Ennis in Brokeback Mountain,82123815fd8b4554a8fa649bcd91b465,,,4
lee,gyllenhaal,was happy with Gyllenhaal portraying Jack in Brokeback Mountain,82123815fd8b4554a8fa649bcd91b465,,,4
ledger,ennis,portrayed Ennis in Brokeback Mountain,82123815fd8b4554a8fa649bcd91b465,,,4
gyllenhaal,jack,portrayed Jack in Brokeback Mountain,82123815fd8b4554a8fa649bcd91b465,,,4
lee,proulx,was given a tour of the locations from the story in Wyoming by Proulx,82123815fd8b4554a8fa649bcd91b465,,,4
brokeback mountain,proulx,is based on the short story Brokeback Mountain by Annie Proulx,82123815fd8b4554a8fa649bcd91b465,,,4
brokeback mountain,wyoming,is set in Wyoming,82123815fd8b4554a8fa649bcd91b465,,,4
brokeback mountain,canadian rockies,was filmed almost entirely in the Canadian Rockies,82123815fd8b4554a8fa649bcd91b465,,,4
mount lougheed,brokeback mountain,the mountain featured in the film is a composite of Mount Lougheed,82123815fd8b4554a8fa649bcd91b465,,,4
fortress,brokeback mountain, Fortress and Moose Mountain in Kananaskis Country were used to create the mountain in Brokeback Mountain,82123815fd8b4554a8fa649bcd91b465,,,4
lee,mature actors,was impressed with their maturity despite their young age,82123815fd8b4554a8fa649bcd91b465,,,4
ledger,gyllenhaal,"were among the best in their age group, according to Lee",82123815fd8b4554a8fa649bcd91b465,,,4
lee,financial reasons,chose to shoot Brokeback Mountain in Alberta due to financial reasons,82123815fd8b4554a8fa649bcd91b465,,,4
alberta's environmental department,risk of disease harming local wildlife,"Initially, Alberta's environmental department prohibited the crew from bringing domestic sheep into the Rockies due to a risk of disease harming the local wildlife.",be0111ad4cb24522a1bba7bc94c6eff1,,,4
domestic sheep,local wildlife,"Initially, Alberta's environmental department prohibited the crew from bringing domestic sheep into the Rockies due to a risk of disease harming the local wildlife.",be0111ad4cb24522a1bba7bc94c6eff1,,,4
authorities,one mountain,"The authorities eventually gave permission for them to shoot on one mountain, as long as they transported the domestic sheep in and out, every day.",be0111ad4cb24522a1bba7bc94c6eff1,,,4
cinematographers,story and content,"Lee prefers working with cinematographers who are open minded, eager to learn, and able to show an interest in the story and content before talking about the visuals.",be0111ad4cb24522a1bba7bc94c6eff1,,,4
rodrigo prieto,brokeback,"Therefore, he selected Rodrigo Prieto for the job; saying, ""I think he's versatile, and I wanted somebody who could shoot quickly [...] he was able to give me the tranquil, almost passive look I wanted for Brokeback. I believe a talent's a talent""",be0111ad4cb24522a1bba7bc94c6eff1,,,4
ledger,gyllenhaal,friends before Brokeback Mountain,3fce31f777664b279e3949e7f25d813a,,,4
ennis and jack,ledger,intimate scenes in Brokeback Mountain,3fce31f777664b279e3949e7f25d813a,,,4
ennis and jack,gyllenhaal,intimate scenes in Brokeback Mountain,3fce31f777664b279e3949e7f25d813a,,,4
lee,ledger,observant of Lee's directing style,3fce31f777664b279e3949e7f25d813a,,,4
lee,gyllenhaal,allowed Ledger to see his performance on the camera monitor so that he could improve,3fce31f777664b279e3949e7f25d813a,,,4
ledger,gyllenhaal,sometimes disrupted by Gyllenhaal's acting style; Gyllenhaal tended to improvise whereas Ledger preferred to be highly prepared,3fce31f777664b279e3949e7f25d813a,,,4
lee,gyllenhaal,disconnects from actors while shooting,3fce31f777664b279e3949e7f25d813a,,,4
lee,ledger,just doesn't say anything at all [during takes],3fce31f777664b279e3949e7f25d813a,,,4
gyllenhaal,hausman's on-set atmosphere,"Hausman rented Airstream trailers for the cast and crew to sleep in and created an on-set atmosphere that mimicked a summer camp, which allowed people to bond and feel close during filming.",e0dda9de56c64a0fbce5ed8710d49446,,,4
williams,altered character movements,"Williams sprained her knee in the early days of filming, so her character's movements were altered to be either sitting or standing most of the time.",e0dda9de56c64a0fbce5ed8710d49446,,,4
ledger,injured hand during filming,Ledger injured his hand when he punched a wall for a scene during filming.,e0dda9de56c64a0fbce5ed8710d49446,,,4
gyllenhaal,almost broke nose during kissing scene,"During a kissing scene, Ledger almost broke Gyllenhaal's nose.",e0dda9de56c64a0fbce5ed8710d49446,,,4
american humane,improperly treated animals during filming,"The American Humane raised concerns that animals were treated improperly during filming, alleging that sheep were handled roughly and that an elk appeared to have been 'shot on cue.'",e0dda9de56c64a0fbce5ed8710d49446,,,4
limited release,expansion into more domestic theaters,"the film received a limited release in the united states on december 9, 2005, and expanded into more domestic theaters over the christmas weekend and beginning of january 2006.",b8187aeee8f44dbf897ffd1e908bf821,,,4
gustavo santaolalla,story and one conversation with the director,"based on the story and one conversation with the director, santaolalla was able to score the music before filming began.",b8187aeee8f44dbf897ffd1e908bf821,,,4
gustavo santaolalla,real orchestra,he used a real orchestra for scoring the music.,b8187aeee8f44dbf897ffd1e908bf821,,,4
james cameron's titanic,schamus,"for the film's theatrical poster, schamus took inspiration from james cameron's titanic.",b8187aeee8f44dbf897ffd1e908bf821,,,4
geraldine peroni,dylan tichenor,"during post-production, geraldine peroni and dylan tichenor served as film editors, but peroni died in august 2004 and tichenor took over.",b8187aeee8f44dbf897ffd1e908bf821,,,4
buzz image group,computer-generated clouds,"they created 75 visual effect shots, including computer-generated clouds.",b8187aeee8f44dbf897ffd1e908bf821,,,4
media composer,geraldine peroni and dylan tichenor,geraldine peroni and dylan tichenor served as film editors and relied on media composer for editing.,b8187aeee8f44dbf897ffd1e908bf821,,,4
eugene gearty,pro tools,sound engineer eugene gearty used pro tools for the creation of sound effects.,b8187aeee8f44dbf897ffd1e908bf821,,,4
brokeback mountain,london,The film was released in one theater in London on December 30.,b2ac1373cdd34c7b9bf868ea15047d0c,,,4
brokeback mountain,united kingdom,"The film received a wider release in the United Kingdom on January 6, 2006.",b2ac1373cdd34c7b9bf868ea15047d0c,,,4
france,brokeback mountain,"The film was released in France on January 18, to 155 theaters.",b2ac1373cdd34c7b9bf868ea15047d0c,,,4
italy,brokeback mountain,"The film grossed more than €890,000 in three days and was the fourth highest-grossing film in its first week.",b2ac1373cdd34c7b9bf868ea15047d0c,,,4
australia,brokeback mountain,"The film was released in Australia on January 26, where it ranked fourth place at the weekend box office.",b2ac1373cdd34c7b9bf868ea15047d0c,,,4
hong kong,brokeback mountain,"During its first week of release in Hong Kong, Brokeback Mountain was ranked first place at the box office, earning more than US$473,868 ($22,565 per theater).",b2ac1373cdd34c7b9bf868ea15047d0c,,,4
taiwan,brokeback mountain,The film opened in Lee's native Taiwan on January 20.,b2ac1373cdd34c7b9bf868ea15047d0c,,,4
brokeback mountain,le secret de brokeback mountain,"The French title of the film, Le Secret de Brokeback Mountain, is a translation of the original English title.",a483b9f4db9d4b8db4a451298988c7c5,,,4
brokeback mountain,i segreti di brokeback mountain,"The Italian title of the film, I segreti di Brokeback Mountain, is a translation of the original English title.",a483b9f4db9d4b8db4a451298988c7c5,,,4
brokeback mountain,souvenirs de brokeback mountain,"The Canadian French title of the film, Souvenirs de Brokeback Mountain, is a translation of the original English title.",a483b9f4db9d4b8db4a451298988c7c5,,,4
brokeback mountain: en terreno vedado,brokeback mountain,"The Spanish title for the film's release in Spain, Brokeback Mountain: En terreno vedado, is a translation and addition to the original English title.",a483b9f4db9d4b8db4a451298988c7c5,,,4
secreto en la montaña,brokeback mountain,"The Spanish title for the film's release in Latin America, Secreto en la Montaña, is a translation and addition to the original English title.",a483b9f4db9d4b8db4a451298988c7c5,,,4
túl a barátságon,brokeback mountain,"The Hungarian title of the film, Túl a barátságon, is a translation and addition to the original English title.",a483b9f4db9d4b8db4a451298988c7c5,,,4
i think they are genuinely happy to see a chinese director win an academy award with good artistic value.,pride,The speaker expresses genuine pride for a Chinese director winning an Academy Award with good artistic value.,a483b9f4db9d4b8db4a451298988c7c5,,,4
homosexuality,the gay cowboy movie,"In the Middle East, distribution of the film became a political issue due to homosexuality being considered a crime in most Islamic nations and being taboo in the few countries where it is legal. The film, titled 'Brokeback Mountain', was dubbed 'the gay cowboy movie' by the press, propelled into the American vernacular.",d663d5ec7375436588070de0b5dd0985,,,4
brokeback mountain,censorship,"The film was not shown in theaters in China, though it was freely available in bootleg DVD and VHS. The Chinese government accused censorship as the audience would have been too small.",d663d5ec7375436588070de0b5dd0985,,,4
brokeback mountain,homosexuality,"The film, titled 'Brokeback Mountain', has also entered the Chinese lexicon as a slang for homosexuality due to its portrayal of same-sex relationships.",d663d5ec7375436588070de0b5dd0985,,,4
ang lee,celebration,"In response to being celebrated in China for winning the Best Director Academy Award, Ang Lee stated that the film was not released there due to mixed responses in some regions, particularly China and Islamic nations of western Asia.",d663d5ec7375436588070de0b5dd0985,,,4
brokeback mountain,simultaneous release on both dvd and digital download via the internet,Brokeback Mountain was the first major film to be released simultaneously on both DVD and digital download via the Internet.,3145200fbc4f4d9ca51398b392b1a520,,,4
brokeback mountain,top-selling dvd on amazon.com for several days running,"By late March and early April 2006, Brokeback Mountain had been the top-selling DVD on Amazon.com for several days running.",3145200fbc4f4d9ca51398b392b1a520,,,4
brokeback mountain,three million copies of the dvd were sold in the first week in the united states,"More than 1 million copies of the DVD were sold in the first week, and it was the third-biggest seller of the week, behind Disney's The Chronicles of Narnia: The Lion, the Witch and the Wardrobe and King Kong.",3145200fbc4f4d9ca51398b392b1a520,,,4
brokeback mountain,censored version of the film,"On December 8, 2008, the Italian state-owned television channel Rai Due aired a censored version of the film, removing all the scenes with homoerotic references.",3145200fbc4f4d9ca51398b392b1a520,,,4
brokeback mountain,uncensored version of the film,"RAI showed an uncensored version of the film on March 17, 2009.",3145200fbc4f4d9ca51398b392b1a520,,,4
brokeback mountain,viewers protested,"Viewers protested, saying the deletions made the plot hard to follow.",3145200fbc4f4d9ca51398b392b1a520,,,4
brokeback mountain,homophobic censorship,The Arcigay organisation accused the channel of homophobic censorship.,3145200fbc4f4d9ca51398b392b1a520,,,4
brokeback mountain,uk,"The DVD in Europe was released in the UK on April 24, 2006.",d4d38fc721234d2f8edf1c0810e98e2f,,,4
brokeback mountain,france,Brokeback Mountain was released in France in July.,d4d38fc721234d2f8edf1c0810e98e2f,,,4
brokeback mountain,poland,"Brokeback Mountain was released in Poland in September, a considerable time after the theater release in both countries.",d4d38fc721234d2f8edf1c0810e98e2f,,,4
brokeback mountain (blu-ray),uk,"The Blu-ray containing special features including interviews with the screenwriters, director and a short documentary about composer Gustavo Santaolalla was released in the UK on August 13, 2007.",d4d38fc721234d2f8edf1c0810e98e2f,,,4
brokeback mountain (blu-ray),u.s.,"The Blu-ray containing special features including interviews with the screenwriters, director and a short documentary about composer Gustavo Santaolalla was released on March 10, 2009, in the U.S.",d4d38fc721234d2f8edf1c0810e98e2f,,,4
brokeback mountain (blu-ray),hd dvd format,"On the same day, it was also released in HD DVD format.",d4d38fc721234d2f8edf1c0810e98e2f,,,4
david ansen,brokeback mountain,"gave the film a positive review, praising the faithful screenplay",89fc352cb6f040bab8ffffcca409a069,,,4
he,"desolation of frustrated, repressed passion",Captured so acutely in Brokeback Mountain,89fc352cb6f040bab8ffffcca409a069,,,4
he,compassionate observation,Present in Brokeback Mountain,89fc352cb6f040bab8ffffcca409a069,,,4
brokeback mountain,deeply committed performances,Part of the film's qualities praised by David Ansen,89fc352cb6f040bab8ffffcca409a069,,,4
peter bradshaw,ledger and gyllenhaal,Praised for complementary performances in Brokeback Mountain,89fc352cb6f040bab8ffffcca409a069,,,4
brokeback mountain,"extremely moving, tragic even, and sensitive towards the feelings of the simple wives who attempt to understand their troubled husbands",Peter Bradshaw's opinion,89fc352cb6f040bab8ffffcca409a069,,,4
ann hornaday,ledger,Impressed with his performance as a reserved and emotionally affected Ennis in Brokeback Mountain,89fc352cb6f040bab8ffffcca409a069,,,4
ennis,emotionally affected,Part of Ledger's portrayal in Brokeback Mountain,89fc352cb6f040bab8ffffcca409a069,,,4
alma's sad little apartment over a laundromat,designed to death,Ann Hornaday's opinion,89fc352cb6f040bab8ffffcca409a069,,,4
roger ebert,brokeback mountain,gave Brokeback Mountain a rating of four out of four stars in his review,28e3f5d98d6e49e5bbff0bec8ba82d3e,,,4
roger ebert,level of attention to the characters,"was impressed with the level of attention to the characters, and thought that the film was as observant as the work by Swedish filmmaker Ingmar Bergman.",28e3f5d98d6e49e5bbff0bec8ba82d3e,,,4
brokeback mountain,roger ebert,was given a rating of four out of four stars in his review,28e3f5d98d6e49e5bbff0bec8ba82d3e,,,4
sandra hall,brokeback mountain,praised the screenplay and called Ledger and Gyllenhaal 'finely tuned',28e3f5d98d6e49e5bbff0bec8ba82d3e,,,4
the sydney morning herald,brokeback mountain,Sandra Hall wrote about Brokeback Mountain in her review for The Sydney Morning Herald,28e3f5d98d6e49e5bbff0bec8ba82d3e,,,4
brokeback mountain,slant magazine,"Ed Gonzalez of Slant magazine thought the film was too long,",28e3f5d98d6e49e5bbff0bec8ba82d3e,,,4
brokeback mountain,time magazine,the critic from Time magazine felt that the story became less intense towards the end.,28e3f5d98d6e49e5bbff0bec8ba82d3e,,,4
michael medved,brokeback mountain,"described it as 'extremely well done' and that as a film, it was 'better than the agenda'",28e3f5d98d6e49e5bbff0bec8ba82d3e,,,4
jack twist,sexual predator,"Gene Shalit, a film critic from The Today Show, described Jack Twist as a 'sexual predator' in his review of Brokeback Mountain. GLAAD compared this characterization to calling Jack in Titanic a sexual predator due to his romantic pursuit of Rose.",ad6da762f412465aaf32ecf20f7d2e1f,,,4
ennis del mar,sporadic trysts,Gene Shalit described how Jack Twist 'tracks Ennis down' and coaxes him into sporadic trysts in his review of Brokeback Mountain.,ad6da762f412465aaf32ecf20f7d2e1f,,,4
gene shalit,homophobe,"The LGBTQ media group GLAAD accused Gene Shalit of having an 'unpopular opinion' in his review of Brokeback Mountain, and questioned whether he was a homophobe. However, Peter Shalit, Gene's openly gay son, defended him against this accusation.",ad6da762f412465aaf32ecf20f7d2e1f,,,4
gene shalit,apologized for his review,"Gene Shalit later apologized for his review of Brokeback Mountain, stating that he did not intend to use a word that many in the gay community consider incendiary and that he had no intention of casting aspersions on anyone in the gay community or on the community itself. He regretted any emotional hurt that may have resulted from his review.",ad6da762f412465aaf32ecf20f7d2e1f,,,4
ennis,jack,"The film portrays a same-sex relationship between Ennis and Jack, with some commentators accusing the filmmakers of hiding their relationship in advertising and public events. The significance of the film's portrayal of a same-sex relationship has been attributed to its focus solely on the characters and lack of reference to broader LGBT social movements.",4971995b18de429aa868eefb0a0fdd05,,,4
ennis,star-crossed lovers,"Many critics have compared Ennis' drama with classic and modern romances such as Romeo and Juliet or Titanic, using the term star-crossed lovers.",4971995b18de429aa868eefb0a0fdd05,,,4
jack,star-crossed lovers,"Many critics have compared Jack's drama with classic and modern romances such as Romeo and Juliet or Titanic, using the term star-crossed lovers.",4971995b18de429aa868eefb0a0fdd05,,,4
ennis,homosexuality,"Some commentators accused the filmmakers for hiding content about homosexuality in advertising and public events, such as press conferences and award ceremonies. The director, cast, and publicists avoided using the word gay to describe the story.",4971995b18de429aa868eefb0a0fdd05,,,4
