node_1,node_2,edge,chunk_id,edge1,edge2,count
jack,heart attack,suffers due to no leaves remaining,f1a4d7bc3d4b49aebb5788948f520fa2,,,4
aaron,tree's leaves,reappear when Jack can talk freely again,f1a4d7bc3d4b49aebb5788948f520fa2,,,4
a thousand words,release date,"The film was initially scheduled for a January 2012 release, but was repeatedly delayed due to production issues and changes in host for the Oscar ceremony. It was finally released on March 9, 2012.",713fd1ac84114e909b899d020725d726,,,4
a thousand words,gross earnings,"In North America, the film grossed $18,450,127, and in other countries it earned $3,594,150, for a worldwide total of $22,044,277.",713fd1ac84114e909b899d020725d726,,,4
a thousand words,production budget,The film was reportedly produced on an estimated budget of $40 million.,713fd1ac84114e909b899d020725d726,,,4
aaron,prank,"In the context, Aaron is seen playing a prank by implying that leaves are falling off during conversation. This can be interpreted as a relational aspect between Aaron and the word 'prank'.",713fd1ac84114e909b899d020725d726,,,4
jack,getting back together with caroline,"As per the context, Jack and Caroline reunite and purchase a house that Caroline had asked for. This can be interpreted as a relational aspect between Jack and the phrase 'getting back together' or 'reunion', and between Caroline and the phrase 'buying the family-friendly house'.",713fd1ac84114e909b899d020725d726,,,4
caroline,asked for a family-friendly house with a bodhi tree in the front yard,"As per the context, Caroline had specifically requested for a house with a bodhi tree in the front yard. This can be interpreted as a relational aspect between Caroline and the phrase 'family-friendly house' and 'bodhi tree'.",713fd1ac84114e909b899d020725d726,,,4
paramount pictures,separation from dreamworks pictures,"The film, A Thousand Words, was caught up in the separation of DreamWorks Pictures from Paramount Pictures and Viacom during its delay in release.",713fd1ac84114e909b899d020725d726,,,4
murphy,announced as host for the 2012 oscar ceremony and later stepped down,"In the context, Murphy was announced as the host for the 2012 Oscar ceremony. Later, he withdrew from the position.",713fd1ac84114e909b899d020725d726,,,4
dreamworks pictures,production house of a thousand words,"A Thousand Words was produced by DreamWorks Pictures, which can be interpreted as a relational aspect between the film and DreamWorks Pictures.",713fd1ac84114e909b899d020725d726,,,4
oscar ceremony,murphy's withdrawal as host affected the release date of a thousand words,"In the context, Murphy's announcement and later withdrawal from hosting the 2012 Oscar ceremony affected the release date of A Thousand Words.",713fd1ac84114e909b899d020725d726,,,4
british release date,cancellation due to poor performance in north america,The planned British release date for A Thousand Words was cancelled due to its poor performance in North America.,713fd1ac84114e909b899d020725d726,,,4
eddie murphy,a thousand words,"Eddie Murphy stars in and is associated with the movie A Thousand Words, which received critical backlash for its poor quality and mediocre box office performance.",51c9cc74e052455a8848014b7590be9d,,,4
john carter,a thousand words,"Both John Carter and A Thousand Words were expected to gross $5 million on their opening weekends, but John Carter outperformed A Thousand Words by a significant margin.",51c9cc74e052455a8848014b7590be9d,,,4
silent house,a thousand words,"All three movies mentioned in the context were released around the same time, with Silent House and A Thousand Words both underperforming at the box office compared to John Carter.",51c9cc74e052455a8848014b7590be9d,,,4
rotten tomatoes,a thousand words,"A Thousand Words received a 0% approval rating on Rotten Tomatoes, which is the site's lowest possible rating, and was awarded their 'Moldy Tomato' award for being the worst-reviewed movie of 2012.",51c9cc74e052455a8848014b7590be9d,,,4
metacritic,a thousand words,"A Thousand Words received a score of 26 out of 100 on Metacritic, indicating 'generally unfavorable reviews'.",51c9cc74e052455a8848014b7590be9d,,,4
cinemascore,a thousand words,Audience polled by CinemaScore gave A Thousand Words an average grade of 'B-' on an A+ to F scale.,51c9cc74e052455a8848014b7590be9d,,,4
frank scheck,a thousand words,Frank Scheck of The Hollywood Reporter criticized the poor quality of the film and how Eddie Murphy's efforts were undercut by the formulaic script.,51c9cc74e052455a8848014b7590be9d,,,4
roger ebert,a thousand words,Roger Ebert of the Chicago Sun-Times gave A Thousand Words one and a half out of four stars and criticized its poor quality.,51c9cc74e052455a8848014b7590be9d,,,4
a thousand words,awfulness,"Everyone, it seems, is united by A Thousand Words' awfulness.",569b024da5fd4bffb2f974cb773ad776,,,4
eddie murphy,duct tape over his mouth,"shows Eddie Murphy with duct tape over his mouth,",569b024da5fd4bffb2f974cb773ad776,,,4
a thousand words' plot,never explains the rules,Ebert was also critical of the plot because it 'never explains the rules',569b024da5fd4bffb2f974cb773ad776,,,4
