node_1,node_2,edge,chunk_id,direction,count
eugene,horsedick dot mpeg,"Eugene is handed over to Horsedick dot MPEG, who promised to 'rip Eugene's face off.'",f8614db265264448a10347958de61488,,4
cindi,everyone outside,Cindi reveals to everyone outside that Horsedick was born without genitals.,f8614db265264448a10347958de61488,,4
horsedick's right-hand man,horsedick,"After Cindi reveals to everyone outside that Horsedick was born without genitals, his right-hand man realizes that he's never seen MPEG in action with a woman.",f8614db265264448a10347958de61488,,4
miss march,poorly received by nearly all critics,"The film Miss March received negative reviews from almost all critics, according to Rotten Tomatoes.",14f28b8a098241fd817f626c2d7ad8d3,,4
rotten tomatoes,reported that only 5% of reviewers gave the film positive reviews,"According to Rotten Tomatoes, only 5% of reviewers gave the film Miss March positive feedback.",14f28b8a098241fd817f626c2d7ad8d3,,4
miss march,poorly received by nearly all critics,The poorly received by nearly all critics status of the film Miss March is cited as a factor contributing to its negative critical reception.,14f28b8a098241fd817f626c2d7ad8d3,,4
miss march,crass and poorly-made,"The film Miss March was criticized for being both crass and poorly made, according to reviewers.",14f28b8a098241fd817f626c2d7ad8d3,,4
sara jean underwood,cameo in the film,"Playboy model Sara Jean Underwood appeared as a cameo in the film Miss March, at the invitation of Hugh Hefner.",14f28b8a098241fd817f626c2d7ad8d3,,4
hugh hefner,agreed to take part,"Hugh Hefner agreed to participate in the film Miss March after seeing an early version, which he liked.",14f28b8a098241fd817f626c2d7ad8d3,,4
robert wagner,originally cast as hugh hefner,"Actor Robert Wagner was initially chosen to portray Hugh Hefner in the film Miss March, according to Moore and Cregger.",14f28b8a098241fd817f626c2d7ad8d3,,4
miss march,worst movie of 2009,"According to Tom O'Neil, a critic for the Los Angeles Times, there is a possibility that Miss March could be the worst movie of 2009.",34a4371784b3463d8ad32231ec3898fd,,4
miss march,overwhelming dislike,"On Metacritic, Miss March received a weighted average score of 7 out of 100 based upon 15 reviews, indicating 'overwhelming dislike'.",34a4371784b3463d8ad32231ec3898fd,,4
miss march,hugh hefner,Playboy founder Hugh Hefner was nominated for a Razzie Award for 'worst supporting actor' in the movie Miss March.,34a4371784b3463d8ad32231ec3898fd,,4
miss march,low box office earnings,"On its opening weekend, Miss March grossed $2.4 million, putting it in 10th place of all movies that weekend.",34a4371784b3463d8ad32231ec3898fd,,4
miss march,most disliked movie of the year,Tom Charity declared Miss March the worst movie of the year.,34a4371784b3463d8ad32231ec3898fd,,4
the film,$4.54 million,grossed at the box office in the United States and Canada.,d30efe72a2f54d6f8111b77a6a484033,,4
the film,"july 28, 2009",released on both Blu-ray and DVD,d30efe72a2f54d6f8111b77a6a484033,,4
moore and cregger,the film,talked about the film several times on their weekly Twitch livestreams (before Moore's death),d30efe72a2f54d6f8111b77a6a484033,,4
cregger,the film,"believes they did the best they could with the idea, and although some scenes work, the film was their first attempt at making a movie.",d30efe72a2f54d6f8111b77a6a484033,,4
cregger,the directors,still had a sense of humor about the poor response as they would read the poor reviews and sarcastically remark about the film's quality on livestream.,d30efe72a2f54d6f8111b77a6a484033,,4
moore,the film,"compared it to their sketch group The Whitest Kids U' Know TV series ""some parts are funny, some parts aren""",d30efe72a2f54d6f8111b77a6a484033,,4
