node_1,node_2,edge,chunk_id,node_3,node_4,node_5,node_6,count
katie,historic clifton cemetery,"During a class field trip, Katie becomes haunted by a paranormal presence in the trees at the historic Clifton Cemetery.",3532019b9f1e4f1fac3c2e4067469a12,,,,,4
allison riley (alleykat93),slender man,"Allison explains to Katie that Slender Man infects people's minds similar to a virus, eventually either driving them completely insane or kidnapping them.",3532019b9f1e4f1fac3c2e4067469a12,,,,,4
wren,handmade pottery,"Wren brings a piece of handmade pottery that she created when she was five years old to retrieve Katie from Slender Man's clutches by 'unveiling themselves', interpreting this as surrendering an item that is very special to each of them.",3532019b9f1e4f1fac3c2e4067469a12,,,,,4
chloe,picture of her and her father,"Chloe offers a picture of her and her father taken prior to his passing a few months afterwards to retrieve Katie from Slender Man's clutches by 'unveiling themselves', interpreting this as surrendering an item that is very special to each of them.",3532019b9f1e4f1fac3c2e4067469a12,,,,,4
hallie,lizzie’s blanket,"Hallie relinquishes her younger sister Lizzie’s blanket, woven by their grandmother to retrieve Katie from Slender Man's clutches by 'unveiling themselves', interpreting this as surrendering an item that is very special to each of them.",3532019b9f1e4f1fac3c2e4067469a12,,,,,4
slender man mythology,hallie,"instructs Hallie and Chloe to don blindfolds and warns the pair against removing them or opening their eyes to look directly at his face while contacting him, even if they hear something, for fear of death or madness.",2fcb5c0e20ca4be6af268572bb4dd06c,,,,,4
slender man,chloe,meets the Slender Man up close,2fcb5c0e20ca4be6af268572bb4dd06c,,,,,4
slender man,wren,"aided by Lizzie, had attempted to contact the Slender Man",2fcb5c0e20ca4be6af268572bb4dd06c,,,,,4
allison riley,slender man,"one of whom was Allison Riley, a psychiatric patient who claimed that the malevolent entity absconded with nine of her peers",2fcb5c0e20ca4be6af268572bb4dd06c,,,,,4
lizzie,wren,"suffered a major panic attack and was hospitalized and sedated. Scouring her computer, Hallie discovers that Wren, aided by Lizzie, had attempted to contact the Slender Man.",2fcb5c0e20ca4be6af268572bb4dd06c,,,,,4
wren,hallie,"feeling guilty for causing the recent chain of events, breaks down and confesses that Lizzie approached her with interest in the Slender Man",2fcb5c0e20ca4be6af268572bb4dd06c,,,,,4
slender man,lizzie,"Slender Man shatters the glass window and kidnaps her, pulling her outside with his tentacles appearing in the shape of branches.",796c2335f87a475582406f1f5339e097,,,,,4
slender man,hallie,"Encountering the monster, she pleads for him to take her instead. He obliges, and moves to grab her as she tries to escape.",796c2335f87a475582406f1f5339e097,,,,,4
slender man,tree,"Using his enormous appendages to traverse the forest like a spider, he grabs and ensnares her, both of them fusing together as a tree.",796c2335f87a475582406f1f5339e097,,,,,4
slender man,may 2016,"News outlets reported that Sony Pictures had started developing Slender Man, a film based on the supernatural mythical character created by Eric Knudsen,",796c2335f87a475582406f1f5339e097,,,,,4
slender man,sony's screen gems,"was in talks with Mythology Entertainment, Madhouse Entertainment, and It Is No Dream Entertainment to produce and distribute the project.",796c2335f87a475582406f1f5339e097,,,,,4
slender man,sylvain white,"In January 2017, Sylvain White was announced as the director of the film based on the supernatural mythical character.",796c2335f87a475582406f1f5339e097,,,,,4
slender man,eric knudsen,Slender Man is a supernatural mythical character created by Eric Knudsen.,796c2335f87a475582406f1f5339e097,,,,,4
entertainment,it is no dream entertainment,produce and distribute the project,7afb7173217c46188bc43211bf38e05b,,,,,4
sylvain white,the first purge,director of the film in January 2017,7afb7173217c46188bc43211bf38e05b,,,,,4
james vanderbilt,william sherak,producers of the film,7afb7173217c46188bc43211bf38e05b,Madhouse's Robyn Meisinger,Sarah Snow,,,4
ramin djawadi,brandon campbell,composed the score for the film,7afb7173217c46188bc43211bf38e05b,,,,,4
lea van acken,julia goldani telles,joined the cast in May 2017,7afb7173217c46188bc43211bf38e05b,Jaz Sinclair,Annalise Basso,Talitha Bateman,Alex Fitzalan,4
the first purge,screen gems,"required the producers to meet a PG-13 MPAA rating and that several scenes had been cut over fears of public backlash (including several scenes that had appeared in trailers), resulting in narrative and continuity issues in the final film",7afb7173217c46188bc43211bf38e05b,,,,,4
bloody disgusting,the first purge,"reported that Screen Gems had required the producers to meet a PG-13 MPAA rating and that several scenes had been cut over fears of public backlash (including several scenes that had appeared in trailers), resulting in narrative and continuity issues in the final film",7afb7173217c46188bc43211bf38e05b,,,,,4
the first purge,"january 2, 2018",the first teaser poster was revealed,7afb7173217c46188bc43211bf38e05b,,,,,4
the first purge,"january 3, 2018",a teaser trailer was released,7afb7173217c46188bc43211bf38e05b,,,,,4
slender man,"traditional, low-budget horror route","describing the trailer as taking a ""traditional, low-budget horror route""",ddae1a31c8d34d7387638cc85fcc93df,,,,,4
slender man,"release coming four years after the slender man stabbing in waukesha county, wisconsin in 2014",Noted by other publications due to the real-life event,ddae1a31c8d34d7387638cc85fcc93df,,,,,4
slender man,impact of the real-life event in the area,Marcus Theatres did not show the film at their locations in Milwaukee and Waukesha counties in Wisconsin,ddae1a31c8d34d7387638cc85fcc93df,,,,,4
slender man,extremely distasteful,"Bill Weier, the father of one of the children convicted in the stabbing, protested the film's production and release",ddae1a31c8d34d7387638cc85fcc93df,,,,,4
slender man trailer,"august 10, 2018","Slender Man was released on August 10, 2018",ddae1a31c8d34d7387638cc85fcc93df,,,,,4
slender man trailer,"may 18, 2018",Slender Man was previously slated for May 18,ddae1a31c8d34d7387638cc85fcc93df,,,,,4
slender man trailer,"august 24, 2018","Slender Man was then scheduled for August 24, 2018",ddae1a31c8d34d7387638cc85fcc93df,,,,,4
slender man trailer,online debut,"The second trailer was released on July 26, 2018",ddae1a31c8d34d7387638cc85fcc93df,,,,,4
slender man,poor critical reception,"The film Slender Man received poor critical reception, with an approval rating of 8% on Rotten Tomatoes and a weighted average score of 30 out of 100 on Metacritic. Critics have called it 'flimsy' and 'terrible', and social media monitoring has found that audiences gave it an 'awful' 38% positive score.",9c4aa35bb46c4efaac361c285831a844,,,,,4
slender man,mediocre box office performance,"In its debut weekend, Slender Man earned $11.3 million and finished fourth at the box office. However, it fell 56% to $5 million in its second weekend and finished eighth.",9c4aa35bb46c4efaac361c285831a844,,,,,4
slender man,negative audience feedback,"Audiences gave Slender Man an average grade of 'D-' on CinemaScore, while PostTrak reported a 'awful' 38% positive score.",9c4aa35bb46c4efaac361c285831a844,,,,,4
slender man,nomination for razzie award,Jaz Sinclair was nominated for the Golden Raspberry Award as Worst Supporting Actress for her performance in Slender Man.,9c4aa35bb46c4efaac361c285831a844,,,,,4
