node_1,node_2,edge,chunk_id,relationship,count
bloodrayne,june 2006,"The film BloodRayne, which grossed $3,591,980 against a production budget of $25 million and has a 4% approval rating on Rotten Tomatoes, ended up grossing this amount in June 2006.",84c65fbacdd249d9a99bc994d02f07cb,,4
bloodrayne,$25 million,"The film BloodRayne, which grossed $3,591,980 against this production budget and has a 4% approval rating on Rotten Tomatoes, is associated with this amount.",84c65fbacdd249d9a99bc994d02f07cb,,4
bloodrayne,distinguished cast,"The film BloodRayne, which grossed $3,591,980 against a production budget of $25 million and has a 4% approval rating on Rotten Tomatoes, features a distinguished cast.",84c65fbacdd249d9a99bc994d02f07cb,,4
bloodrayne,overwhelming dislike,"The film BloodRayne, which grossed $3,591,980 against a production budget of $25 million and has a 4% approval rating on Rotten Tomatoes, received overwhelming dislike according to Metacritic.",84c65fbacdd249d9a99bc994d02f07cb,,4
bloodrayne,joe leydon,"The film BloodRayne, which grossed $3,591,980 against a production budget of $25 million and has a 4% approval rating on Rotten Tomatoes, is associated with Variety critic Joe Leydon.",84c65fbacdd249d9a99bc994d02f07cb,,4
bloodrayne,tv guide,"The film BloodRayne, which grossed $3,591,980 against a production budget of $25 million and has a 4% approval rating on Rotten Tomatoes, is mentioned in an article by TV Guide critic Maitland McDonagh.",84c65fbacdd249d9a99bc994d02f07cb,,4
boll,critics,Ridiculed by Critics for hiring actual prostitutes instead of actors for a scene featuring Meat Loaf in order to save on production costs.,9e39283721bf479b9560c097a1b637d9,,4
meat loaf,prostitutes,Featured in a scene where Boll hired actual prostitutes instead of actors for cost-saving reasons.,9e39283721bf479b9560c097a1b637d9,,4
boll,low-budget vampire film,"Adequate, bloody video game adaptation featuring surprisingly fun and bloody action sequences according to Berge Garabedian of JoBlo's movie reviews.",9e39283721bf479b9560c097a1b637d9,,4
kristanna loken,hot lead actress,Featured in the film as described by Berge Garabedian of JoBlo's movie reviews.,9e39283721bf479b9560c097a1b637d9,,4
berge garabedian,joblo's movie reviews,Provided description of the film as 'actually pretty decent...for what it is' and 'not as bad as you'd suspect.',9e39283721bf479b9560c097a1b637d9,,4
bloodrayne,steve chupnick,Chupnick gave the film a B rating and mentioned it as something in favor.,df285687f9704a3dae2a95505500ce4f,,4
bloodrayne,kristanna loken nude scene,Mentioned by Chupnick as something in favor of the film.,df285687f9704a3dae2a95505500ce4f,,4
bloodrayne,a horrifying and preposterous movie,"Called it by Michael Madsen, who also enjoyed working with Boll.",df285687f9704a3dae2a95505500ce4f,,4
laura bailey,bloodrayne games,Voiced Rayne in the games.,df285687f9704a3dae2a95505500ce4f,,4
bloodrayne,laura bailey's thoughts on the film adaptation,She found the movie sucked and couldn't get through 20 minutes of it.,df285687f9704a3dae2a95505500ce4f,,4
guinevere turner,bloodrayne,Wrote the draft screenplay for the film.,df285687f9704a3dae2a95505500ce4f,,4
bloodrayne,camp value of the film,Guinevere Turner found it laughable and suggested that it was so camp it might ripen with age.,df285687f9704a3dae2a95505500ce4f,,4
bloodrayne,worst picture nomination,Received this award at the Stinkers Bad Movie Awards.,df285687f9704a3dae2a95505500ce4f,,4
uwe boll,bloodrayne,Directed the film.,df285687f9704a3dae2a95505500ce4f,,4
bloodrayne,worst picture nomination,Received this award for Uwe Boll at the Stinkers Bad Movie Awards.,df285687f9704a3dae2a95505500ce4f,,4
time magazine,bloodrayne,Listed it as #6 on their list of top ten worst video game movies in 2009.,df285687f9704a3dae2a95505500ce4f,,4
bloodrayne,alone in the dark,Both movies are based on video games and were released by Uwe Boll's studio.,916dce450d184b9698d77f0e8224d8d6,,4
bloodrayne,bloodrayne: the third reich,All three BloodRayne movies feature Michael Paré in different roles.,916dce450d184b9698d77f0e8224d8d6,,4
alone in the dark,bloodrayne: the third reich,Both movies were directed by Uwe Boll and involve supernatural elements.,916dce450d184b9698d77f0e8224d8d6,,4
bloodrayne,bloodrayne 2: deliverance,Natassia Malthe played the lead role in both BloodRayne movies.,916dce450d184b9698d77f0e8224d8d6,,4
alone in the dark,bloodrayne 2: deliverance,Both movies received negative critical reception and were distributed by Romar.,916dce450d184b9698d77f0e8224d8d6,,4
bloodrayne: the third reich,bloodrayne 2: deliverance,The sequels to both BloodRayne movies were directed by Uwe Boll and went straight-to-video due to poor box office performance of the first films.,916dce450d184b9698d77f0e8224d8d6,,4
bloodrayne,romar,"Both BloodRayne movies were distributed by Romar, but this relationship ended due to negative critical reception.",916dce450d184b9698d77f0e8224d8d6,,4
