node_1,node_2,edge,chunk_id,node_3,node_4,node_5,node_6,node_7,node_8,node_9,node_10,count
nostalgia,the grand budapest hotel,explores themes of,49d4260f86224a30aebe7f170af30771,,,,,,,,,4
friendship,the grand budapest hotel,explores themes of,49d4260f86224a30aebe7f170af30771,,,,,,,,,4
loyalty,the grand budapest hotel,explores themes of,49d4260f86224a30aebe7f170af30771,,,,,,,,,4
color,the grand budapest hotel,important storytelling device in studying the function of color.,49d4260f86224a30aebe7f170af30771,,,,,,,,,4
the grand budapest hotel,berlin international film festival,"premiered in competition at the 64th Berlin International Film Festival on February 6, 2014.",e569129b9588440e80a6ba95d75e9aed,,,,,,,,,4
the grand budapest hotel,global rollout,"followed by releases in Germany, North America, and the United Kingdom on March 6–7.",e569129b9588440e80a6ba95d75e9aed,,,,,,,,,4
the grand budapest hotel,box office revenue,"drew highly positive reviews for its craftsmanship and acting, though occasional criticism centered on the film's approach to subject matter, fragmented storytelling, and characterization. It earned $174 million in box office revenue worldwide, Anderson's highest-grossing feature to date.",e569129b9588440e80a6ba95d75e9aed,,,,,,,,,4
the grand budapest hotel,academy awards,"was nominated for nine awards at the 87th Academy Awards including Best Picture, winning four,",e569129b9588440e80a6ba95d75e9aed,,,,,,,,,4
the grand budapest hotel,greater films of the 21st century,"Since its release, The Grand Budapest Hotel has been assessed as one of the greatest films of the 21st century.",e569129b9588440e80a6ba95d75e9aed,,,,,,,,,4
the grand budapest hotel,zubrowka,"In a cemetery in the former nation of Zubrowka,",e569129b9588440e80a6ba95d75e9aed,,,,,,,,,4
the grand budapest hotel,renowned writer,"a woman visits the shrine of a renowned writer, known simply as 'Author', reading his most-cherished book: The Grand Budapest Hotel.",e569129b9588440e80a6ba95d75e9aed,,,,,,,,,4
the grand budapest hotel,1968 vacation,"there, he meets its owner, Zero Moustafa, who tells his rags to riches story at dinner.",e569129b9588440e80a6ba95d75e9aed,,,,,,,,,4
zero,refugee,"Zero is an illegal refugee escaping a war waged by a fascist regime, which killed his entire family.",d36427e0398a41a2a05317d35c567dd4,,,,,,,,,4
war,fascist regime,The war waged by the fascist regime killed Zero's entire family.,d36427e0398a41a2a05317d35c567dd4,,,,,,,,,4
zero,gustave h.,Zero is hired as a lobby boy supervised by Monsieur Gustave H.,d36427e0398a41a2a05317d35c567dd4,,,,,,,,,4
gustave h.,concierge,"Gustave strikes up affairs with old, wealthy clients, including dowager Madame Céline Villeneuve Desgoffe-und-Taxis (known as Madame D.), with whom he's had a nearly two-decade affair.",d36427e0398a41a2a05317d35c567dd4,,,,,,,,,4
madame céline villeneuve desgoffe-und-taxis,dowager,Dowager Madame Céline Villeneuve Desgoffe-und-Taxis (known as Madame D.).,d36427e0398a41a2a05317d35c567dd4,,,,,,,,,4
madame céline villeneuve desgoffe-und-taxis,estate,"Gustave and Zero visit her estate,",d36427e0398a41a2a05317d35c567dd4,,,,,,,,,4
madame céline villeneuve desgoffe-und-taxis,died,Madame D. Mysteriously dies a month after her last hotel visit.,d36427e0398a41a2a05317d35c567dd4,,,,,,,,,4
dmitri,madame d.'s son,"Madame D.'s son and an agent of the regime, Dmitri,",d36427e0398a41a2a05317d35c567dd4,,,,,,,,,4
boy with apple,gustave,Gustave's recent codicil which bequeaths the famous Renaissance painting Boy with Apple to Gustave.,d36427e0398a41a2a05317d35c567dd4,,,,,,,,,4
boy with apple,reading of her will,Deputy Vilmos Kovacs announces a recent codicil which bequeaths the famous Renaissance painting Boy with Apple to Gustave at the reading of her will.,d36427e0398a41a2a05317d35c567dd4,,,,,,,,,4
boy with apple,dmitri,Dmitri refuses to let it happen.,d36427e0398a41a2a05317d35c567dd4,,,,,,,,,4
gustave,prison,Gustave is imprisoned in the Prison.,f049c5b748c741568685d7f06170d649,,,,,,,,,4
gustave,inspector alfred j. henckels,Inspector Alfred J. Henckels arrests Gustave for Madame D.'s murder.,f049c5b748c741568685d7f06170d649,,,,,,,,,4
serge x,prison,Serge X goes into hiding in the Prison after testifying in Madame D.'s case.,f049c5b748c741568685d7f06170d649,,,,,,,,,4
gustave,gang,Gustave befriends a Gang during his imprisonment and provides them with pastries from Mendl's.,f049c5b748c741568685d7f06170d649,,,,,,,,,4
mendl's,pastries,Mendl's is a well-known bakery that sells Pastries.,f049c5b748c741568685d7f06170d649,,,,,,,,,4
gustave,"zero place hammers, chisels, and sawblades","Gustave has Zero place hammers, chisels, and sawblades inside Pastries made by Agatha.",f049c5b748c741568685d7f06170d649,,,,,,,,,4
guard,mendl's pastries,The Guard responsible for checking contraband cannot bring himself to break open the Mendl's pastries since Mendl's pastries are works of art.,f049c5b748c741568685d7f06170d649,,,,,,,,,4
gustave,storm-drain sewage system,Ludwig tells the Gang that they can escape via a Storm-drain sewage system during the prison break.,f049c5b748c741568685d7f06170d649,,,,,,,,,4
guards,gamble,"During the prison break, the group of convicts runs into Guards who secretly gamble at night.",f049c5b748c741568685d7f06170d649,,,,,,,,,4
gunther,guards,Convict Gunther is forced to sacrifice himself to dispatch the Guards during the prison break.,f049c5b748c741568685d7f06170d649,,,,,,,,,4
dmitri,hitman j. g. jopling,"Dmitri sends his hitman, J. G. Jopling, to kill Kovacs after questioning his loyalty.",f049c5b748c741568685d7f06170d649,,,,,,,,,4
dmitri,serge's sister,Dmitri also sends his hitman to kill Serge's sister for hiding his whereabouts.,f049c5b748c741568685d7f06170d649,,,,,,,,,4
zero,gustave,"When Zero and Gustave are reunited, they...",16f8784b312c4521b0291baf94466cd1,,,,,,,,,4
gustave,society of the crossed keys,...set out to prove Gustave's innocence with the assistance of a fraternity of concierges known as the Society of the Crossed Keys...,16f8784b312c4521b0291baf94466cd1,,,,,,,,,4
serge,gustave,"Serge reveals that he was pressured to implicate Gustave by the real killer, Dmitri...",16f8784b312c4521b0291baf94466cd1,,,,,,,,,4
dmitri,gustave,"...and that Madame D. had a missing second will, which would only take effect should she be murdered.",16f8784b312c4521b0291baf94466cd1,,,,,,,,,4
madame d.,gustave,"Jopling arrives and kills Serge, leaving Gustave and Zero without a witness...",16f8784b312c4521b0291baf94466cd1,,,,,,,,,4
zero,gustave,"After a chase through the snow, Gustave is left dangling off a cliff at the mercy of Jopling.",16f8784b312c4521b0291baf94466cd1,,,,,,,,,4
jopling,gustave,"Before it is too late, Zero rescues Gustave by pushing Jopling off the cliff...",16f8784b312c4521b0291baf94466cd1,,,,,,,,,4
zero,gustave,...and the two men continue their escape from swarming Zubrowkan troops led by Henckels.,16f8784b312c4521b0291baf94466cd1,,,,,,,,,4
grand budapest,dmitri,Dmitri converts the Grand Budapest into a fascist headquarters.,3619a3877eef454fb7ed9209a7e84032,,,,,,,,,4
grand budapest,madame d.,Madame D. Owns the Grand Budapest and bequeaths it to Gustave in her second will.,3619a3877eef454fb7ed9209a7e84032,,,,,,,,,4
gustave,grand budapest,Gustave works at and cares deeply for the Grand Budapest.,3619a3877eef454fb7ed9209a7e84032,,,,,,,,,4
zero,grand budapest,Zero is a worker at the Grand Budapest.,3619a3877eef454fb7ed9209a7e84032,,,,,,,,,4
agatha,grand budapest,Agatha visits and appreciates the Grand Budapest.,3619a3877eef454fb7ed9209a7e84032,,,,,,,,,4
dmitri,madame d.,Dmitri becomes a main suspect after stealing from Madame D.'s will.,3619a3877eef454fb7ed9209a7e84032,,,,,,,,,4
zero,agatha,Zero and Agatha get married.,3619a3877eef454fb7ed9209a7e84032,,,,,,,,,4
gustave,wealthy zubrowkan,"As a result of Madame D.'s will, Gustave becomes one of the wealthiest Zubrowkans.",3619a3877eef454fb7ed9209a7e84032,,,,,,,,,4
soldiers,zero's refugee documents,The soldiers destroy Zero's refugee documents.,3619a3877eef454fb7ed9209a7e84032,,,,,,,,,4
gustave,killed,Gustave is killed while trying to fend off soldiers who destroyed Zero's refugee documents.,3619a3877eef454fb7ed9209a7e84032,,,,,,,,,4
wes anderson,hugo guinness,"collaborated on a fragmented tale inspired by a mutual friend in modern France and the United Kingdom, produced an 18-page script together in 2006 but collaboration stalled due to their inability to coalesce a uniform sequence of events to advance their story",b6d7ecb610a44b039b39a894e7d355ff,,,,,,,,,4
wes anderson,stefan zweig,"became fascinated with Stefan Zweig's work, specifically Beware of Pity (1939), The World of Yesterday (1942), and The Post Office Girl (1982) for their fatalist mythos and Zweig's portrait of early twentieth-century Vienna, used Zweig's work as references",b6d7ecb610a44b039b39a894e7d355ff,,,,,,,,,4
wes anderson,historical pastiche with an alternate timeline,"pursued a historical pastiche with an alternate timeline, disillusioned with popular media's romanticism of pre-World War II European history",b6d7ecb610a44b039b39a894e7d355ff,,,,,,,,,4
jay clarke,the grand budapest hotel,supervised production of the film's animatics with voiceovers by Anderson,b6d7ecb610a44b039b39a894e7d355ff,,,,,,,,,4
the grand budapest hotel,european sightseeing,Anderson's sightseeing in Europe was another source of inspiration for The Grand Budapest Hotel's visual motifs.,d8fa641676ba473cbe0908543ffcbc39,,,,,,,,,4
budapest,the grand budapest hotel,"Major locations for the movie were scouted during location scouting, including Budapest.",d8fa641676ba473cbe0908543ffcbc39,,,,,,,,,4
small italian spa towns,the grand budapest hotel,"Major locations for the movie were scouted during location scouting, including small Italian spa towns.",d8fa641676ba473cbe0908543ffcbc39,,,,,,,,,4
karlovy vary,the grand budapest hotel,"Major locations for the movie were scouted during location scouting, including Karlovy Vary.",d8fa641676ba473cbe0908543ffcbc39,,,,,,,,,4
germany,the grand budapest hotel,Location scouting ended with a final stop in Germany.,d8fa641676ba473cbe0908543ffcbc39,,,,,,,,,4
hotel staff,an accurate idea of a real-life concierge's work,The writers and producers consulted hotel staff to develop an accurate idea of a real-life concierge's work.,d8fa641676ba473cbe0908543ffcbc39,,,,,,,,,4
a seventeen-actor ensemble,the grand budapest hotel,received star billing in The Grand Budapest Hotel,6371282de9294725ab8e4fe4181294ea,,,,,,,,,4
anderson,bill murray,"[{'source': 'Anderson', 'target': 'Bill Murray'}, {'source': 'Anderson', 'target': 'Adrien Brody'}, {'source': 'Anderson', 'target': 'Edward Norton'}, {'source': 'Anderson', 'target': 'Owen Wilson'}, {'source': 'Anderson', 'target': 'Tilda Swinton'}, {'source': 'Anderson', 'target': 'Harvey Keitel'}, {'source': 'Anderson', 'target': 'Willem Dafoe'}, {'source': 'Anderson', 'target': 'Jeff Goldblum'}, {'source': 'Anderson', 'target': 'Jason Schwartzman'}]",6371282de9294725ab8e4fe4181294ea,Adrien Brody,Edward Norton,Owen Wilson,Tilda Swinton,Harvey Keitel,Willem Dafoe,Jeff Goldblum,Jason Schwartzman,4
the grand budapest hotel ensemble,bit cameos,comprised mostly,6371282de9294725ab8e4fe4181294ea,,,,,,,,,4
adrien brody,most significant challenge,balancing the film's comedy with the otherwise solemn subject matter,6371282de9294725ab8e4fe4181294ea,,,,,,,,,4
anderson,fiennes,Desired and actor sought to work with for several years.,1d499965f40b470fb151384ea3939f15,,,,,,,,,4
fiennes,gustave,"Played by Fiennes, Gustave is a key concept from the context.",1d499965f40b470fb151384ea3939f15,,,,,,,,,4
gustave,villainous roles,Fiennes found Gustave's panache compelling as he wanted to depart from his famously villainous roles.,1d499965f40b470fb151384ea3939f15,,,,,,,,,4
anderson,oversight,"Meant that actors could not improvise on set, inhibiting Fiennes' usually spontaneous performing style.",1d499965f40b470fb151384ea3939f15,,,,,,,,,4
fiennes,approach,Was initially unsure how to approach his character because of Anderson's oversight.,1d499965f40b470fb151384ea3939f15,,,,,,,,,4
gustave,tone,"Another question of tone, whether the portrayal be hyper-camp or understated.",1d499965f40b470fb151384ea3939f15,,,,,,,,,4
fiennes,sources,Drew on several sources to shape his character's persona.,1d499965f40b470fb151384ea3939f15,,,,,,,,,4
fiennes,experience,Reading The World of Yesterday influenced Fiennes' portrayal of Gustave.,1d499965f40b470fb151384ea3939f15,,,,,,,,,4
douglas aibel,young zero,Aibel was responsible for hiring a suitable actor to play young Zero. The months-long search for prospective actors proved troublesome as he was unable to fulfill the specifications for an unknown teenage actor of Arabic descent.,aeb481e3f57a46198ad97025ba368daf,,,,,,,,,4
tony revolori,young zero,"Tony landed the part after one taped audition. Filmmakers held auditions in Egypt, Lebanon, Israel, France, England, and the United States before revising the role's ethnic criterion.",aeb481e3f57a46198ad97025ba368daf,,,,,,,,,4
mario revolori,young zero,"Novices of Guatemalan descent, the filmmakers narrowed their search to Tony Revolori and his older brother Mario.",aeb481e3f57a46198ad97025ba368daf,,,,,,,,,4
saoirse ronan,agatha,"Ronan joined The Grand Budapest Hotel in November 2012. The decision to have Ronan play Agatha in her native Irish accent was Anderson's idea, after experimenting with German, English, and American accents; they felt an Irish accent projected a warm, feisty spirit into Agatha.",aeb481e3f57a46198ad97025ba368daf,,,,,,,,,4
anderson,agatha,"Anderson guided Ronan extremely well. They felt an Irish accent projected a warm, feisty spirit into Agatha.",aeb481e3f57a46198ad97025ba368daf,,,,,,,,,4
babelsberg studio,berlin,Principal photography took place at the Babelsberg Studio in suburban Berlin.,e56876b2f95d4de39e01c9f141369e59,,,,,,,,,4
görlitz,border town on germany's eastern frontier,"Principal photography also took place in Görlitz, a mid-sized border town on the Lusatian Neisse on Germany's eastern frontier.",e56876b2f95d4de39e01c9f141369e59,,,,,,,,,4
görlitzer warenhaus,grand budapest hotel lobby,"The filmmakers staged their largest interior sets at the vacant twentieth-century Görlitzer Warenhaus, whose atrium doubled for the Grand Budapest Hotel lobby.",e56876b2f95d4de39e01c9f141369e59,,,,,,,,,4
hainewalde manor,schloss lutz estate,Exterior shots of the eighteenth-century estate Hainewalde Manor and interior shots of Schloss Waldenburg stood in for the Schloss Lutz estate.,e56876b2f95d4de39e01c9f141369e59,,,,,,,,,4
osterstein castle,zwickau,Production moved to Zwickau—shooting at the Osterstein Castle—,e56876b2f95d4de39e01c9f141369e59,,,,,,,,,4
warenhaus,görlitzer warenhaus,Anderson at one point considered buying the Warenhaus to save it from demolition.,e56876b2f95d4de39e01c9f141369e59,,,,,,,,,4
yeoman,the grand budapest hotel,Yeoman shot The Grand Budapest Hotel on 35 mm film using Kodak Vision3 200T 5213 film stock from a single Arricam Studio camera provided by Arri's Berlin office.,8aa8f6860cf24e3a84fad9dda58d7a17,,,,,,,,,4
arricam studio camera,the grand budapest hotel,Yeoman shot The Grand Budapest Hotel using a single Arricam Studio camera provided by Arri's Berlin office.,8aa8f6860cf24e3a84fad9dda58d7a17,,,,,,,,,4
kodak vision3 200t 5213 film stock,the grand budapest hotel,Yeoman shot The Grand Budapest Hotel using Kodak Vision3 200T 5213 film stock.,8aa8f6860cf24e3a84fad9dda58d7a17,,,,,,,,,4
chapman-leonard hybrid iii camera dolly,tracking shots,Anderson's approach entailed the use of a Chapman-Leonard Hybrid III camera dolly for tracking shots.,8aa8f6860cf24e3a84fad9dda58d7a17,,,,,,,,,4
gear head,achieving rapid whip pans,"Anderson requested Yeoman and project key grip Sanjay Sami focus on new methods for shooting the scenes. For achieving most of the film's rapid whip pans, they used a geared head.",8aa8f6860cf24e3a84fad9dda58d7a17,,,,,,,,,4
mad about technology towercam twin peek,traversing between floors,"The filmmakers used the Mad About Technology Towercam Twin Peek, a telescoping camera platform, to traverse between floors sometimes in lieu of a camera crane.",8aa8f6860cf24e3a84fad9dda58d7a17,,,,,,,,,4
lantern,checkpoint nineteen jailbreak scene,"When a lantern drops to the basement from a hole in the cell floor during the Checkpoint Nineteen jailbreak scene, the filmmakers suspended the towercam upside-down, a setup which allowed the camera to descend to the ground.",8aa8f6860cf24e3a84fad9dda58d7a17,,,,,,,,,4
the grand budapest hotel,three aspect ratios,Streamline the film's story and evoke the aesthetic of corresponding periods.,eaf226cd0caa43079aa3ea7c64b41407,,,,,,,,,4
the grand budapest hotel,academy ratio,"Used for scenes set in 1932, providing greater-than-routine headroom due to its aspect ratio of 1.37:1.",eaf226cd0caa43079aa3ea7c64b41407,,,,,,,,,4
the grand budapest hotel,standard 1.85:1 ratio,Formatted modern scenes in this aspect ratio.,eaf226cd0caa43079aa3ea7c64b41407,,,,,,,,,4
the grand budapest hotel,widescreen 2.40:1 ratio,"Used for the 1968 scenes, captured with Technovision Cooke anamorphic lenses.",eaf226cd0caa43079aa3ea7c64b41407,,,,,,,,,4
the grand budapest hotel,panavision's primo anamorphic lenses,Produced a certain texture that lacked the sharpness seen in scenes captured with Technovision Cooke anamorphic lenses.,eaf226cd0caa43079aa3ea7c64b41407,,,,,,,,,4
the grand budapest hotel,ernst lubitsch,Referred to by filmmakers and producers for acclimation to the compositions produced from Academy ratio's aspect ratio of 1.37:1.,eaf226cd0caa43079aa3ea7c64b41407,,,,,,,,,4
the grand budapest hotel,stuttgart-based luxx studios and look effects' german branch,"LUXX Studios and Look Effects' German branch, both based in Stuttgart, managed most of The Grand Budapest Hotel's visual effects under the supervision of Gabriel Sanchez.",2912de82f55a4b6597ed5b2bb1cc8459,,,,,,,,,4
the grand budapest hotel,gabriel sanchez,"Gabriel Sanchez, who did not work on set with Anderson as Look Effects opened their Stuttgart headquarters after The Grand Budapest Hotel filming wrapped, supervised most of The Grand Budapest Hotel's visual effects which were managed by LUXX Studios and Look Effects' German branch in Stuttgart.",2912de82f55a4b6597ed5b2bb1cc8459,,,,,,,,,4
stuttgart-based luxx studios and look effects' german branch,gabriel sanchez,Gabriel Sanchez supervised most of The Grand Budapest Hotel's visual effects which were managed by Stuttgart-based LUXX Studios and Look Effects' German branch.,2912de82f55a4b6597ed5b2bb1cc8459,,,,,,,,,4
the grand budapest hotel,4 artists from the newly assembled team had experience working on a multi-million dollar studio set.,"Only 4 artists from the newly assembled team that worked on The Grand Budapest Hotel's visual effects, which were managed by Stuttgart-based LUXX Studios and Look Effects' German branch, had experience working on a multi-million dollar studio set.",2912de82f55a4b6597ed5b2bb1cc8459,,,,,,,,,4
the grand budapest hotel,davinci resolve,Hollywood based Modern Videofilm used DaVinci Resolve to give The Grand Budapest Hotel its final colors.,2912de82f55a4b6597ed5b2bb1cc8459,,,,,,,,,4
stop-motion and matte effects,intensity,The filmmakers camouflaged some of the stop-motion and matte effects in the forest-set chase scene to convey the desired intensity.,78a54b603d71459a92b5adfae4b66d5c,,,,,,,,,4
stop-motion and matte effects,forest-set chase scene,The filmmakers camouflaged some of the stop-motion and matte effects in the forest-set chase scene to convey the desired intensity.,78a54b603d71459a92b5adfae4b66d5c,,,,,,,,,4
particle effects,enhancing the snowscape,Enhancing the snowscape with particle effects posed another challenge.,78a54b603d71459a92b5adfae4b66d5c,,,,,,,,,4
observatory,"computer models supplemented with detailed lighting, matte effects and shadowy expanses.","To achieve the aging brutalist design of the 1968 Grand Budapest, they generated computer models supplemented with detailed lighting, matte effects and shadowy expanses.",78a54b603d71459a92b5adfae4b66d5c,,,,,,,,,4
observatory,digital shots,"The crew used a similar technique in developing digital shots of the observatory; unlike the hotel, the observatory's base miniature was presented in pieces.",78a54b603d71459a92b5adfae4b66d5c,,,,,,,,,4
observatory,20 different elements,"They rendered the observatory with 20 different elements, data furthermore enhanced at Anderson's request.",78a54b603d71459a92b5adfae4b66d5c,,,,,,,,,4
observatory,about one hour per shot to complete the final digital rendering.,It took about one hour per shot to complete the final digital rendering.,78a54b603d71459a92b5adfae4b66d5c,,,,,,,,,4
adam stockhausen,"anderson, wes",Adam Stockhausen has collaborated with Anderson previously on The Darjeeling Limited (2007) and Moonrise Kingdom.,74c2d5d88f344fe3bb6b005f23cae18e,,,,,,,,,4
the grand budapest hotel's production design,stockhausen,Adam Stockhausen was responsible for The Grand Budapest Hotel's production design.,74c2d5d88f344fe3bb6b005f23cae18e,,,,,,,,,4
the grand budapest hotel's visual palette,stockhausen,Adam Stockhausen sourced ideas for the film's visual palette by researching the United States Library of Congress's photochrom print collection of alpine resorts.,74c2d5d88f344fe3bb6b005f23cae18e,,,,,,,,,4
obscure historical landmarks,the grand budapest hotel's visual palette,"The United States Library of Congress's photochrom print collection of alpine resorts showcased little of recognizable Europe, instead cataloging obscure historical landmarks unknown to the general public.",74c2d5d88f344fe3bb6b005f23cae18e,,,,,,,,,4
soft pastel tonalities,the grand budapest hotel's visual palette,"The resulting stylistic choice is a warm, bright visual palette pronounced by soft pastel tonalities.",74c2d5d88f344fe3bb6b005f23cae18e,,,,,,,,,4
schloss lutz,interior sets,"Some of The Grand Budapest Hotel interior sets contrast this look in interior shots, primarily Schloss Lutz.",74c2d5d88f344fe3bb6b005f23cae18e,,,,,,,,,4
oppressive wealth,schloss lutz,The imposing hardwoods and intense greens and golds of the Schloss Lutz evoke oppressive wealth.,74c2d5d88f344fe3bb6b005f23cae18e,,,,,,,,,4
derelict checkpoint nineteen,interior sets,The derelict Checkpoint Nineteen decays in a cool bluish-gray tint.,74c2d5d88f344fe3bb6b005f23cae18e,,,,,,,,,4
grand budapest hotel set,hotel building,"The Grand Budapest Hotel set comprised the hotel building atop a wooded ledge with a funicular, bound by a Friedrichian landscape painting superimposed with green-screen technology.",36877af67b804e208173bc9d61a5c78f,,,,,,,,,4
grand budapest hotel set,funicular's 35-degree slope,"The funicular's 35-degree slope required a separate, lateral model.",36877af67b804e208173bc9d61a5c78f,,,,,,,,,4
grand budapest hotel set,friedrichian landscape painting,Bound by a Friedrichian landscape painting superimposed with green-screen technology.,36877af67b804e208173bc9d61a5c78f,,,,,,,,,4
weisse,propmakers,Weisse and his propmakers,36877af67b804e208173bc9d61a5c78f,,,,,,,,,4
carl sprague,conceptual renderings,Based on art director Carl Sprague's conceptual renderings.,36877af67b804e208173bc9d61a5c78f,,,,,,,,,4
boy with apple,renaissance portraiture,"The creation of Boy with Apple was a four-month-long process by English painter Michael Taylor, who was inspired by Renaissance portraiture.",ca50a8df34d34f3697f60fcc0232911e,,,,,,,,,4
boy with apple,gabrielle d'estrées et une de ses sœurs,"Taylor had been approached by one of the producers before receiving the script and source material, and the film's artistic direction piqued his interest. Taylor found the initial process difficult, struggling to be true to Boy with Apple's eclectic sources.",ca50a8df34d34f3697f60fcc0232911e,,,,,,,,,4
boy with apple,english painter michael taylor,The painting sessions for Boy with Apple were staged at a Jacobean boarding school near Taylor's home in Dorset.,ca50a8df34d34f3697f60fcc0232911e,,,,,,,,,4
ed munro,boy with apple,"The producers' casting choice for Boy with Apple's subject was contingent on the character description of a blond-haired boy with the slender, athletic frame of a ballet dancer.",ca50a8df34d34f3697f60fcc0232911e,,,,,,,,,4
two lesbians masturbating,wes anderson,"The filmmakers staged the painting sessions for Boy with Apple at a Jacobean boarding school near Taylor's home in Dorset, then empty for summer holiday.",ca50a8df34d34f3697f60fcc0232911e,,,,,,,,,4
two lesbians masturbating,jacobean boarding school,"The filmmakers dressed Munro in about 50 ornate costumes with velvet cloaks, codpieces and furs for the painting sessions of Boy with Apple.",ca50a8df34d34f3697f60fcc0232911e,,,,,,,,,4
two lesbians masturbating,english painter michael taylor,Filmmakers submitted Munro's costumed photos to Anderson for approval during the painting sessions of Boy with Apple.,ca50a8df34d34f3697f60fcc0232911e,,,,,,,,,4
two lesbians masturbating,expressionist artist egon schiele,draws from the work of,19856d2eea2c4bca879b52f83885a090,,,,,,,,,4
ann atkins,the grand budapest hotel's lead graphic designer,Ann Atkins was The Grand Budapest Hotel's lead graphic designer.,73befb3c56294685b7880629958f7eb6,,,,,,,,,4
zubrowkan objects,ann atkins,Ann Atkins devised Zubrowkan objects for The Grand Budapest Hotel.,73befb3c56294685b7880629958f7eb6,,,,,,,,,4
reference material,ann atkins,Ann Atkins gathered reference material from location scouting for The Grand Budapest Hotel.,73befb3c56294685b7880629958f7eb6,,,,,,,,,4
valueable expertise in advertising design,ann atkins,Ann Atkins had valuable expertise in advertising design to reference for The Grand Budapest Hotel.,73befb3c56294685b7880629958f7eb6,,,,,,,,,4
"weathered, worn props",ann atkins,"Among Ann Atkins' early tasks for The Grand Budapest Hotel was the creation of weathered, worn props for fidelity to the film's timeline.",73befb3c56294685b7880629958f7eb6,,,,,,,,,4
tea,ann atkins,"To achieve the appearance of prolonged exposure to air, Ann Atkins blow dried paper dipped in tea for The Grand Budapest Hotel.",73befb3c56294685b7880629958f7eb6,,,,,,,,,4
mendl's,pastries are an important motif in the grand budapest hotel story.,The signature courtesan au chocolat from Mendl's mirrors the French dessert religieuse for The Grand Budapest Hotel.,73befb3c56294685b7880629958f7eb6,,,,,,,,,4
görlitz pastry chef,mendl's,A Görlitz pastry chef crafted the courtesan before working with Anderson on the final design for Mendl's in The Grand Budapest Hotel.,73befb3c56294685b7880629958f7eb6,,,,,,,,,4
