node_1,node_2,edge,chunk_id,edge1,count
arthur,robert,is subjected to the inception by Ariadne and wakes up with a kick,5aa01f942fd648e798345e51ed5862e5,,4
cobb,dying father,"planted idea in Cobb's mind, revealed as his father telling him to create something for himself before dying",f38495c3b6324bc2a0a561f82327e874,,4
cobb,saito,agreement between Cobb and Saito in Limbo,f38495c3b6324bc2a0a561f82327e874,,4
dreamers,synced kicks,ride back to reality on synced kicks,f38495c3b6324bc2a0a561f82327e874,,4
mal's 'totem',cobb,uses Mal's 'totem' to test if he is in the real world,f38495c3b6324bc2a0a561f82327e874,,4
mal's 'totem',observation,Cobb chooses not to observe the result of Mal's 'totem',f38495c3b6324bc2a0a561f82327e874,,4
father-in-law,cobb,accompanies Cobb to his home after he passes immigration checkpoint,f38495c3b6324bc2a0a561f82327e874,,4
inception,the matrix (1999),"When Nolan first started thinking about making the film, he was influenced by 'that era of movies where you had The Matrix...', implying a similarity between the themes and style of Inception and The Matrix.",9db99caabb644679a2cfbf2f4f3b4bef,,4
inception,dark city (1998),"Nolan was influenced by 'that era of movies where you had The Matrix (1999), you had Dark City...', suggesting a correlation between the genres and visuals of Inception and Dark City.",9db99caabb644679a2cfbf2f4f3b4bef,,4
inception,the thirteenth floor (1999),"Nolan's initial inspiration for Inception came from 'that era of movies where you had The Matrix (1999), you had Dark City...', which also included The Thirteenth Floor.",9db99caabb644679a2cfbf2f4f3b4bef,,4
inception,memento (2000),"Nolan's reference to 'that era of movies where you had The Matrix (1999), you had Dark City...', which also encompassed Memento.",9db99caabb644679a2cfbf2f4f3b4bef,,4
inception,large-scale film,"Nolan realized that a movie like Inception required a vast budget as 'as soon as you're talking about dreams, the potential of the human mind is infinite.'",9db99caabb644679a2cfbf2f4f3b4bef,,4
inception,batman begins,"After pitching Inception to Warner Bros. In 2001, Nolan felt that he needed more experience making large-scale movies and began working on Batman Begins.",9db99caabb644679a2cfbf2f4f3b4bef,,4
inception,the dark knight,"Nolan worked on Batman Begins before embarking on The Dark Knight, which he completed after making The Dark Knight and spent six months completing the script.",9db99caabb644679a2cfbf2f4f3b4bef,,4
inception,nolan,"Nolan had been trying to work with Leonardo DiCaprio for years and met him several times, but was unable to recruit him for any of his films until Inception.",cc27baec1d2b4a44b59c7b477a2f136b,,4
nolan,dicaprio,DiCaprio finally agreed because he was 'intrigued by this concept—this dream-heist notion and how this character's going to unlock his dreamworld and ultimately affect his real life.',cc27baec1d2b4a44b59c7b477a2f136b,,4
script,nolan,Nolan took a long time re-writing the script in order 'to make sure that the emotional journey of his [DiCaprio's] character was the driving force of the movie.',cc27baec1d2b4a44b59c7b477a2f136b,,4
studio,inception,"Warner Bros. Purchased Inception, a spec script written by Nolan.",cc27baec1d2b4a44b59c7b477a2f136b,,4
location,tokyo,"Principal photography began in Tokyo on June 19, 2009,",cc27baec1d2b4a44b59c7b477a2f136b,,4
joseph gordon-levitt,corridor that spun like 'a giant hamster wheel',"Joseph Gordon-Levitt spent several weeks learning to fight in the corridor that spun like 'a giant hamster wheel'. Nolan described the device as 'like some incredible torture device' and admitted that they 'thrashed Joseph for weeks', but the unique rhythm of the footage made it look unlike anything any of them had seen before. Gordon-Levitt remembered that filming in the corridor was a six-day week affair, during which time he came home battered every night. The light fixtures on the ceiling came around on the floor and choosing the right time to cross through them was crucial because falling would have happened otherwise.",5dea37d6323a4780a08bd55fa889d2f7,,4
paris college of architecture,university college london,"Filming for the sequences occurring inside a Paris college of architecture in the story took place at University College London, specifically at the library, Flaxman Gallery and Gustav Tuck Theatre.",5dea37d6323a4780a08bd55fa889d2f7,,4
musée galliera,cobb entering the college of architecture,Filming moved to France and the place used for the entrance was the Musée Galliera.,07264533cb5c41fd95e82f542a2341cd,,4
rue césar franck,bistro in a fictional one set up at the corner of rue césar franck and rue bouchut,Filming moved to France and the bistro scene was shot at the corner of Rue César Franck and Rue Bouchut.,07264533cb5c41fd95e82f542a2341cd,,4
bir-hakeim bridge,pivotal scenes between ariadne and cobb,"Filming moved to France, where they shot the pivotal scenes between Ariadne and Cobb, on the Bir-Hakeim bridge.",07264533cb5c41fd95e82f542a2341cd,,4
mombasa,tangier,"Tangier, Morocco, doubled as Mombasa,",07264533cb5c41fd95e82f542a2341cd,,4
eames and yusuf,tangier,"Cobb hired Eames and Yusuf in Tangier,",07264533cb5c41fd95e82f542a2341cd,,4
medina quarter,tangier,"A foot chase was shot in the streets and alleyways of the historic medina quarter in Tangier,",07264533cb5c41fd95e82f542a2341cd,,4
morocco,important riot scene during the initial foray into saito's mind,Tangier was also used as the setting for filming an important riot scene during the initial forray into Saito's mind.,07264533cb5c41fd95e82f542a2341cd,,4
downtown los angeles,multi-vehicle car chase,The production staged a multi-vehicle car chase on the streets of downtown Los Angeles.,68c576c37df3498eb52ce49a14586dd5,,4
l.a. weather,car chase,"The L.A. weather stayed typically sunny during the car chase, but the filmmakers set up elaborate effects to give the audience the impression that the weather was overcast and soggy.",68c576c37df3498eb52ce49a14586dd5,,4
schuyler heim bridge,ford econoline van,"This sequence was filmed on and off for months, with the van being shot out of a cannon, according to actor Dileep Rao. The scene where a Ford Econoline van runs off the Schuyler Heim Bridge in slow motion is climactic.",68c576c37df3498eb52ce49a14586dd5,,4
warner bros.,sets,"Filming moved to the Los Angeles area, where some sets were built on a Warner Bros. sound stage, including the interior rooms of Saito's Japanese castle.",68c576c37df3498eb52ce49a14586dd5,,4
malibu beach,small set,The exterior of Saito's Japanese castle was done on a small set built in Malibu Beach.,68c576c37df3498eb52ce49a14586dd5,,4
nijō castle,dining room,"The dining room was inspired by the historic Nijō Castle, built around 1603.",68c576c37df3498eb52ce49a14586dd5,,4
anamorphic format,35 mm film,The film was shot primarily in the anamorphic format on 35 mm film.,6de818ca73de45a8a3ff43650f72242a,,4
anamorphic format,65 mm,"Key sequences were filmed on 65 mm, and aerial sequences in VistaVision.",6de818ca73de45a8a3ff43650f72242a,,4
size of the cameras,realistic area,"Nolan did not shoot any footage with IMAX cameras as he had with The Dark Knight because given that it deals with a potentially surreal area, the nature of dreams and so forth, I wanted it to be as realistic as possible. Not be bound by the scale of those IMAX cameras, even though I love the format dearly",6de818ca73de45a8a3ff43650f72242a,,4
showscan,super dimension 70,"Nolan and Pfister tested using Showscan and Super Dimension 70 as potential large-format, high-frame-rate camera systems to use for the film, but ultimately decided against either format.",6de818ca73de45a8a3ff43650f72242a,,4
photo-sonics 35 mm camera,slow motion sequences,"Sequences in slow motion were filmed on a Photo-Sonics 35 mm camera at speeds of up to 1,000 frames per second.",6de818ca73de45a8a3ff43650f72242a,,4
digital format,photo-sonics camera and 35 mm running through it,"Out of six times that we shot on the digital format, we only had one usable piece and it didn't end up in the film. Out of the six times we shot with the Photo-Sonics camera and 35 mm running through it, every single shot was in the movie.",6de818ca73de45a8a3ff43650f72242a,,4
projection,dim image,Nolan has also criticized the dim image that 3D projection causes,6de818ca73de45a8a3ff43650f72242a,,4
shooting on film,prime lenses,"Nolan's preference for shooting on film and using prime lenses in his movies, as it allows for a shallower depth of field and greater control over the focus and perspective compared to digital cameras with zoom lenses or 3D cameras.",fbfd5af51f63448fbd21c98b60c57a84,,4
3d cameras,shooting on film,"Nolan's argument that shooting on film allows for realistic depth perception in traditional films, as opposed to the dim image produced by 3D projection.",fbfd5af51f63448fbd21c98b60c57a84,,4
traditional film,3d movies,"Nolan's distinction between traditional films and 3D movies, and his belief that the latter's title is misleading because both are three-dimensional.",fbfd5af51f63448fbd21c98b60c57a84,,4
inception,3d conversion,"Nolan's decision to test converting Inception into 3D in post-production, but ultimately deciding against it due to a lack of time to complete the conversion to his satisfaction.",fbfd5af51f63448fbd21c98b60c57a84,,4
warner bros.,blu-ray release,Liebesman's suggestion that Warner Bros. Were attempting a 3D conversion for Blu-ray release of Nolan's movie.,fbfd5af51f63448fbd21c98b60c57a84,,4
limbo city level,glacial architecture,"Franklin had artists build concepts while Nolan expressed his ideal vision of 'Something glacial, with clear modernist architecture, but with chunks of it breaking off into the sea like icebergs'. The result was a cityscape that looked like an iceberg version of Gotham City with water running through it.",7981fad33b7840d7bd950c46b25e9f0b,,4
limbo city level,cityscape,"The continually developing 'Limbo' city level during production resulted in a complex, yet organic-looking, cityscape created by Franklin and his team.",7981fad33b7840d7bd950c46b25e9f0b,,4
paris-folding sequence,concept sketches,Franklin had artists producing concept sketches for the Paris-folding sequence.,7981fad33b7840d7bd950c46b25e9f0b,,4
paris-folding sequence,rough computer animations,"Later during principal photography, Nolan was able to direct DiCaprio and Page based on the rough computer animation that Franklin had created.",7981fad33b7840d7bd950c46b25e9f0b,,4
inception,visual effects shots,"Inception had nearly 500 visual effects shots, which is relatively few in comparison to contemporary effects-heavy films, which can have as many as 2,000 visual effects shots.",7981fad33b7840d7bd950c46b25e9f0b,,4
inception,hans zimmer,"Hans Zimmer wrote the score for Inception, which he described as 'a very electronic, dense score' filled with 'nostalgia and sadness' to match Cobb's feelings throughout the film.",5e4d31971c2e415583dffec2f5223204,,4
inception,"édith piaf's ""non, je ne regrette rien""","Édith Piaf's ""Non, je ne regrette rien"" appears throughout the film and Zimmer reworked pieces of the song into cues of the score.",5e4d31971c2e415583dffec2f5223204,,4
"édith piaf's ""non, je ne regrette rien""",inception,"Édith Piaf's ""Non, je ne regrette rien"" appears throughout the film and accurately times the dreams.",5e4d31971c2e415583dffec2f5223204,,4
hans zimmer,ennio morricone,"The music for Inception features a guitar sound reminiscent of Ennio Morricone, played by Johnny Marr.",5e4d31971c2e415583dffec2f5223204,,4
reprise records,inception,"A soundtrack album was released on July 11, 2010, for Inception by Reprise Records.",5e4d31971c2e415583dffec2f5223204,,4
blu-ray release,hans zimmer's music,The majority of the score was also included in high resolution 5.1 surround sound on the second disc of the two-disc Blu-ray release.,5e4d31971c2e415583dffec2f5223204,,4
inception,dream space,Nolan wanted to explore 'the idea of people sharing a dream space... That gives you the ability to access somebody’s unconscious mind. What would that be used and abused for?' The majority of the film's plot takes place in these interconnected dream worlds.,d3cba9d238b54627b2d01018e349e194,,4
dream worlds,actions in real or dream worlds ripple across others,This structure creates a framework where actions in the real or dream worlds ripple across others.,d3cba9d238b54627b2d01018e349e194,,4
the matrix,computer-controlled world,Alluding to theories of social control developed by thinkers Michel Foucault and Jean Baudrillard.,d3cba9d238b54627b2d01018e349e194,,4
gilles deleuze,nolan's world,According to one interpretation Nolan's world has more in common with the works of Gilles Deleuze and Félix Guattari.,d3cba9d238b54627b2d01018e349e194,,4
dreams,belle de jour and the discreet charm of the bourgeoisie,David Denby in The New Yorker compared Nolan's cinematic treatment of dreams to Luis Buñuel's in Belle de Jour (1967) and The Discreet Charm of the Bourgeoisie (1972).,d3cba9d238b54627b2d01018e349e194,,4
dreams,literal-minded action level sequencing compared to buñuel,"Denby criticized Nolan's 'literal-minded' action level sequencing compared to Buñuel, who 'silently pushed us into reveries and left us alone to enjoy our wonderment, but Nolan is working on so many levels of representation at once that he has to lay in pages of dialogue just to explain what’s going on.'",d3cba9d238b54627b2d01018e349e194,,4
dreams,captures 'the peculiar malign intensity of actual dreams',Denby: 'The latter captures “the peculiar malign intensity of actual dreams.”',d3cba9d238b54627b2d01018e349e194,,4
science fiction,film genres,"Nolan combined elements from several different film genres into the film, notably science fiction, heist film, and film noir.",de93b4a8986241c9973b416c1fe100e8,,4
dom cobb,mal,"Marion Cotillard plays 'Mal' Cobb, Dom Cobb's projection of his guilt over his deceased wife’s suicide. As the film's main antagonist, she is a frequent, malevolent presence in his dreams. Dom is unable to control these projections of her, challenging his abilities as an extractor.",de93b4a8986241c9973b416c1fe100e8,,4
mal,classic femme fatale,"Nolan described Mal as 'the essence of the femme fatale', the key noir reference in the film.",de93b4a8986241c9973b416c1fe100e8,,4
cobb's relationship with mal,cobb's own neurosis and fear of how little he knows about the woman he loves.,"DiCaprio praised Cotillard’s performance saying that 'she can be strong and vulnerable and hopeful and heartbreaking all in the same moment, which was perfect for all the contradictions of her character'.",de93b4a8986241c9973b416c1fe100e8,,4
heist movie structure,greater emotional narrative suited to the world of dreams and subconscious,"Nolan began with the structure of a heist movie, since exposition is an essential element of that genre, though adapted it to have a greater emotional narrative suited to the world of dreams and subconscious.",a1d9bd6365164dd688a79d0bac5d72c6,,4
exposition,traditional heist movie,"In a traditional heist movie, there is a heavy dose of exposition at the beginning as the team assembles and the leader explains the plan.",a1d9bd6365164dd688a79d0bac5d72c6,,4
exposition,dreaming,Exposition becomes nearly continuous as the group progresses through the various levels of dreaming in Inception,a1d9bd6365164dd688a79d0bac5d72c6,,4
structure,heist movie,The outer shell of the story is an elaborate caper,a1d9bd6365164dd688a79d0bac5d72c6,,4
plot,three quarters of the film,"Until the van begins to fall from the bridge, three quarters of the film are devoted to explaining its plot.",a1d9bd6365164dd688a79d0bac5d72c6,,4
exposition,characterization,Exposition takes precedence over characterization in Inception,a1d9bd6365164dd688a79d0bac5d72c6,,4
arialde,ancient namesake,"Ariadne, like her ancient namesake, creates the maze and guides the others through it,",a1d9bd6365164dd688a79d0bac5d72c6,,4
arialde,cobb,"And as the sole student of dream sharing, helps the audience understand the concept of the plot.",a1d9bd6365164dd688a79d0bac5d72c6,,4
inspiration,jorge luis borges,"Nolan drew inspiration from the works of Jorge Luis Borges,",a1d9bd6365164dd688a79d0bac5d72c6,,4
inspiration,blade runner,"And from the films Blade Runner (1982) and The Matrix (1999),",a1d9bd6365164dd688a79d0bac5d72c6,,4
suggestion,paprika,"While Nolan has not confirmed this, it has also been suggested by many observers that the movie draws heavy inspiration from the 2006 animated film Paprika.",a1d9bd6365164dd688a79d0bac5d72c6,,4
ending ambiguity,deliberate decision by nolan,"confirmed in interview, invites speculation in film's closing credits",848634d18b394fdb8642c4e7e963878f,,4
spinning top,still spinning,shown in final sequence of the film's script,848634d18b394fdb8642c4e7e963878f,,4
cobb,looking at his kids,"emotional significance of the top, highlighted by Nolan in an interview",848634d18b394fdb8642c4e7e963878f,,4
viral marketing campaign,film,A viral marketing campaign was employed for the film.,df18079046084bc7904f9bec2b3966d8,,4
first teaser trailer,film,"After the revelation of the first teaser trailer, in August 2009,",df18079046084bc7904f9bec2b3966d8,,4
official website,film's official website,the film's official website featured only an animation of Cobb's spinning top.,df18079046084bc7904f9bec2b3966d8,,4
spinning top,cobb,An animation of Cobb's spinning top was featured on the film's official website in December.,df18079046084bc7904f9bec2b3966d8,,4
mind crime,film's official website,"In December, the top toppled over and the website opened the online game Mind Crime,",df18079046084bc7904f9bec2b3966d8,,4
wondercon,warner,"Warner gave away promotional T-shirts featuring the PASIV briefcase used to create the dream space, and had a QR code linking to an online manual of the device at WonderCon in April 2010.",df18079046084bc7904f9bec2b3966d8,,4
pasiv briefcase,dream space,"Warner gave away promotional T-shirts featuring the PASIV briefcase used to create the dream space,",df18079046084bc7904f9bec2b3966d8,,4
mind crime,stage 2,"Mind Crime also received a stage 2 with more resources, including a hidden trailer for the movie.",df18079046084bc7904f9bec2b3966d8,,4
manual filled with bizarre images and text,wired magazine,"A manual filled with bizarre images and text sent to Wired magazine,",df18079046084bc7904f9bec2b3966d8,,4
online publication,"posters, ads, phone applications, and strange websites all related to the film.","The online publication of posters, ads, phone applications, and strange websites all related to the film.",df18079046084bc7904f9bec2b3966d8,,4
inception: the cobol job,online prequel comic,"Warner also released an online prequel comic, Inception: The Cobol Job.",df18079046084bc7904f9bec2b3966d8,,4
inception,mind game,"The official trailer for Inception, released on May 10, 2010, was extremely well received and featured an original piece of music called 'Mind Heist' by recording artist Zack Hemsey. Mind Game also released a trailer around the same time, which is where the term originated from.",6ede007e9c084901ba18b67ee51c5cca,,4
inception,blockbuster movie trailers,"The trend of 'braam' sounds in blockbuster movie trailers can be traced back to Inception, as its trailers were widely credited for launching this trend throughout the 2010s.",6ede007e9c084901ba18b67ee51c5cca,,4
blockbuster movie trailers,"bassy, brassy, thunderous notes","Blockbuster movie trailers repeatedly hit audiences with so-called 'braam' sounds: bassy, brassy, thunderous notes meant to impart a sense of apocalyptic momentousness.",6ede007e9c084901ba18b67ee51c5cca,,4
composers,"teaser trailer, first trailer, second trailer, and film score","Different composers worked on the teaser trailer, first trailer, second trailer, and film score of Inception, making it a complicated task to identify the composer(s) responsible for launching the trend of 'braam' sounds in blockbuster movie trailers.",6ede007e9c084901ba18b67ee51c5cca,,4
inception,dvd,"Inception was released on DVD on December 3, 2010, in France.",99bff602a5724ca8a30ff4b9efa4aeee,,4
inception,blu-ray,"Inception was released on Blu-ray on December 3, 2010, in France.",99bff602a5724ca8a30ff4b9efa4aeee,,4
dvd,uk,"The film was released on DVD in the UK and USA (December 7, 2010).",99bff602a5724ca8a30ff4b9efa4aeee,,4
blu-ray,usa,"The film was released on Blu-ray in the UK and USA (December 7, 2010).",99bff602a5724ca8a30ff4b9efa4aeee,,4
inception,vhs,Inception was released on VHS in South Korea.,99bff602a5724ca8a30ff4b9efa4aeee,,4
blu-ray,limited edition,"Warner Bros. Also made available in the United States a limited Blu-ray edition packaged in a metal replica of the PASIV briefcase, which included extras such as a metal replica of the spinning top totem.",99bff602a5724ca8a30ff4b9efa4aeee,,4
inception,christopher nolan films,"Inception was released on 4K Blu-ray and digital copy along with other Christopher Nolan films on December 19, 2017.",99bff602a5724ca8a30ff4b9efa4aeee,,4
inception,re-release,Inception was re-released in theaters for its tenth anniversary.,bfdb740fc542465c8d4197c5f930d4df,,4
international markets,inception,"Inception was re-released in international markets for its tenth anniversary, starting on August 12, 2020.",bfdb740fc542465c8d4197c5f930d4df,,4
u.s.,inception,"Inception was also re-released in the U.S. On August 21, 2020, for its tenth anniversary.",bfdb740fc542465c8d4197c5f930d4df,,4
nolan's upcoming film tenet,inception,"Initially, the re-release of Inception was scheduled for July 17, 2020, after the original release date for Nolan's upcoming film Tenet.",bfdb740fc542465c8d4197c5f930d4df,,4
covid-19 pandemic,inception,"However, the re-release was delayed due to the impact of the COVID-19 pandemic on movie theaters.",bfdb740fc542465c8d4197c5f930d4df,,4
inception,leicester square,"Inception had its world premiere at Leicester Square in London on July 8, 2010.",f6a6689f863f45939fdf5a2feb4c818c,,4
inception,conventional theaters,"Inception was released in both conventional and IMAX theaters on July 16, 2010.",f6a6689f863f45939fdf5a2feb4c818c,,4
inception,imax theaters,"Inception was released in both conventional and IMAX theaters on July 16, 2010.",f6a6689f863f45939fdf5a2feb4c818c,,4
united states and canada,inception,"Inception was released theatrically in 3,792 conventional theaters and 195 IMAX theaters in the United States and Canada on July 16, 2010.",f6a6689f863f45939fdf5a2feb4c818c,,4
inception,"july 16, 2010","Inception was released in both conventional and IMAX theaters on July 16, 2010.",f6a6689f863f45939fdf5a2feb4c818c,,4
midnight screenings,inception,"Inception grossed US$21.8 million during its opening day on July 16, 2010, with midnight screenings in 1,500 locations.",f6a6689f863f45939fdf5a2feb4c818c,,4
inception,united states,Initially grossed US$292 million in the United States and Canada.,fe4012efdc8e432db65034cf07bb5ca7,,4
inception,china,Grossed US$68 million in China.,fe4012efdc8e432db65034cf07bb5ca7,,4
inception,"united kingdom, ireland and malta","Grossed US$56 million in the United Kingdom, Ireland and Malta.",fe4012efdc8e432db65034cf07bb5ca7,,4
inception,france and the maghreb region,Grossed US$43 million in France and the Maghreb region.,fe4012efdc8e432db65034cf07bb5ca7,,4
inception,japan,Grossed US$40 million in Japan.,fe4012efdc8e432db65034cf07bb5ca7,,4
inception,south korea,Grossed US$38 million in South Korea.,fe4012efdc8e432db65034cf07bb5ca7,,4
inception,approval rating,"On Rotten Tomatoes, Inception holds an approval rating of 87% based on 370 reviews",e191fc5361fb467a875fa441eb258dbd,,4
inception,average rating,with an average rating of 8.20/10.,e191fc5361fb467a875fa441eb258dbd,,4
website's critical consensus,inception,"the website's critical consensus reads: 'Smart, innovative, and thrilling, Inception is that rare summer blockbuster that succeeds viscerally as well as intellectually.'",e191fc5361fb467a875fa441eb258dbd,,4
peter travers,inception,"called Inception a 'wildly ingenious chess game,' and concluded 'the result is a knockout.'",e191fc5361fb467a875fa441eb258dbd,,4
justin chang,inception,praised the film as 'a conceptual tour de force',e191fc5361fb467a875fa441eb258dbd,,4
jim vejvoda,inception,"rated the film as perfect, deeming it 'a singular accomplishment from a filmmaker who has only gotten better with each film.'",e191fc5361fb467a875fa441eb258dbd,,4
david roark,inception,called it Nolan's 'greatest accomplishment',e191fc5361fb467a875fa441eb258dbd,"saying, 'Visually, intellectually and emotionally, Inception is a masterpiece.'",4
inception,weirder,Michael Phillips from Chicago Tribune mentioned that he found himself wishing Inception were weirder in the context provided. This suggests a relation of potentiality between Inception and the concept of being weirder.,7efa7fc9137542c3bfb85b0aeac1c2b6,,4
inception,larger visual ambitions,Richard Corliss from Time mentioned that Inception has large visual ambitions in the context provided. This suggests a relation of synonymy between Inception and having larger visual ambitions.,7efa7fc9137542c3bfb85b0aeac1c2b6,,4
inception,state-of-the-art update,Richard Corliss from Time mentioned that viewers have a chance to see that notion get a state-of-the-art update with Inception in the context provided. This suggests a relation of association between Inception and being a state-of-the-art update.,7efa7fc9137542c3bfb85b0aeac1c2b6,,4
inception,dreaming,Time's Richard Corliss mentioned that the notion of moviegoing as communal dreaming is a century old and Inception provides a chance to see that notion get a state-of-the-art update in the context provided. This suggests a relation of synonymy between Inception and being related to communal dreaming.,7efa7fc9137542c3bfb85b0aeac1c2b6,,4
inception,smart and nervy popular entertainment,Kenneth Turan from Los Angeles Times mentioned that Nolan was able to blend smart and nervy popular entertainment with traditional and modern filmmaking in the context provided. This suggests a relation of synonymy between Inception and being smart and nervy popular entertainment.,7efa7fc9137542c3bfb85b0aeac1c2b6,,4
