node_1,node_2,edge,chunk_id,node_3,node_4,node_5,node_6,count
suraj,rani,Suraj is Rani's uncle who now knows that Sameer loves her.,1ba0eb7abaf84b1fb7628e8b79467845,,,,,4
pushpa,rani's mother,Pushpa mistakes Rani's mother for Rani and tries to persuade her to marry Sameer.,1ba0eb7abaf84b1fb7628e8b79467845,,,,,4
sunny,sameer,Sunny gets close to Rani through Sameer's mistakes.,1ba0eb7abaf84b1fb7628e8b79467845,,,,,4
sunny,rani,Sunny taunts Sameer and tells him that he got close to Rani through Sameer's mistakes.,1ba0eb7abaf84b1fb7628e8b79467845,,,,,4
sameer,india and pakistan cricket teams,"Sameer breaks through security, takes the microphone from the guest of honour Kapil Dev, and apologises to Rani and her parents at a cricket stadium where India and Pakistan are playing a friendly match.",1ba0eb7abaf84b1fb7628e8b79467845,,,,,4
arun,sameer,"Arun decides to help Sameer by posing as his enemy, telling Rani and her parents earlier.",1ba0eb7abaf84b1fb7628e8b79467845,,,,,4
pushpa,arun,"When Arun came to Goa to cure Sameer's anger-management issues, he met Pushpa, who told him about Sameer's heartbreak and departure for Goa.",1ba0eb7abaf84b1fb7628e8b79467845,,,,,4
rani's parents,sameer,Rani's mother tells her daughter to carefully consider whom she loves more: Sameer or Sunny.,1ba0eb7abaf84b1fb7628e8b79467845,,,,,4
kapil dev,sameer,Sameer takes the microphone from the guest of honour Kapil Dev at a cricket stadium where India and Pakistan are playing a friendly match.,1ba0eb7abaf84b1fb7628e8b79467845,,,,,4
"film city, mumbai",goa,set of Goa created by art director Sharmishta Roy for the movie was detailed and became a talk of the industry for its fine detailing.,385e9973a11e4b2fbb5c3c0a232d117e,,,,,4
mumbai,mauritius,"principal photography for outdoor scenes, songs, and other scenes were filmed in Mauritius for a month-long schedule with 300 people making up the unit.",385e9973a11e4b2fbb5c3c0a232d117e,,,,,4
indian cricket team,bangalore stadium,the climax of the movie featuring several cricketers from the Indian team was filmed at a Bangalore stadium in June 2004.,385e9973a11e4b2fbb5c3c0a232d117e,,,,,4
sajid-wajid,anu malik,the soundtrack album contains seven original songs composed by Sajid-Wajid and one remix composed by Anu Malik.,385e9973a11e4b2fbb5c3c0a232d117e,,,,,4
jalees sherwani,sameer,"lyrics for five songs were written by Jalees Sherwani, one song each by Sameer and Arun Bhairav.",385e9973a11e4b2fbb5c3c0a232d117e,Arun Bhairav,,,,4
udit narayan,alka yagnik,"vocals for eight songs in the soundtrack album were performed by Udit Narayan, Alka Yagnik, Sonu Nigam, Sunidhi Chauhan, Sukhwinder Singh, and Shabab Sabri.",385e9973a11e4b2fbb5c3c0a232d117e,Sonu Nigam,Sunidhi Chauhan,Sukhwinder Singh,Shabab Sabri,4
mujhse shaadi karogi,commercial success,"Mujhse Shaadi Karogi was a major commercial success, earning ₹ 565 million at the box office and thus becoming the fourth-highest-grossing Bollywood film of the year.",ea59dcdbc34f408b87312c88f25100d6,,,,,4
mujhse shaadi karogi,overseas market,"The film also opened well in the overseas market, ranking eighth at the UK box office over its first weekend.",ea59dcdbc34f408b87312c88f25100d6,,,,,4
mujhse shaadi karogi,theatrical run,"Mujhse Shaadi Karogi opened well throughout India, despite poor weather,",ea59dcdbc34f408b87312c88f25100d6,,,,,4
mujhse shaadi karogi,fourth-highest-grossing bollywood film of the year,"Mujhse Shaadi Karogi was a major commercial success, earning ₹ 565 million at the box office and thus becoming the fourth-highest-grossing Bollywood film of the year.",ea59dcdbc34f408b87312c88f25100d6,,,,,4
mujhse shaadi karogi,release date,The DVD of Mujhse Shaadi Karogi was released on 27 September 2004 in all regions on a single NTSC-format disc.,ea59dcdbc34f408b87312c88f25100d6,,,,,4
mujhse shaadi karogi,box office earnings,Mujhse Shaadi Karogi earned ₹ 565 million at the box office.,ea59dcdbc34f408b87312c88f25100d6,,,,,4
mujhse shaadi karogi,video format,"The DVD of Mujhse Shaadi Karogi was distributed by T-Series and included deleted scenes, extra songs, a theatrical trailer and TV advertisements.",ea59dcdbc34f408b87312c88f25100d6,,,,,4
mujhse shaadi karogi,critical reception,"Mujhse Shaadi Karogi was well received by critics, who praised the film's direction, cinematography, choreography, costumes, styling and performances.",ea59dcdbc34f408b87312c88f25100d6,,,,,4
mujhse shaadi karogi,uk box office ranking,"The film also opened well in the overseas market, ranking eighth at the UK box office over its first weekend.",ea59dcdbc34f408b87312c88f25100d6,,,,,4
mujhse shaadi karogi,theatrical run (india),"Mujhse Shaadi Karogi opened well throughout India, despite poor weather,",ea59dcdbc34f408b87312c88f25100d6,,,,,4
mujhse shaadi karogi,pure entertainment,The review from The Hindu describes Mujhse Shaadi Karogi as 'pure entertainment'.,671875a99e6544a2b06264ed1b39956b,,,,,4
david dhawan,smartest comedy to date,Subhash K. Jha called David Dhawan's Mujhse Shaadi Karogi 'smartest comedy to date' in his review for Indo-Asian News Service.,671875a99e6544a2b06264ed1b39956b,,,,,4
taran adarsh,four stars out of five,Taran Adarsh gave Mujhse Shaadi Karogi four stars out of five in his review for Bollywood Hungama.,671875a99e6544a2b06264ed1b39956b,,,,,4
salman khan,brawn,"In the review from The Hindu, Salman Khan's performance in Mujhse Shaadi Karogi was described as showing 'more brawn than histrionics'.",671875a99e6544a2b06264ed1b39956b,,,,,4
akshay kumar,comedy,"In the review from The Hindu, Akshay Kumar's performance in Mujhse Shaadi Karogi was praised as displaying a 'real flair for comedy'.",671875a99e6544a2b06264ed1b39956b,,,,,4
mauritius,panoramic locales,Taran Adarsh described the locations in Mujhse Shaadi Karogi as 'stylishly shot at some panoramic locales of Mauritius'.,671875a99e6544a2b06264ed1b39956b,,,,,4
sukanya verma,real flair for comedy,Sukanya Verma praised Akshay Kumar's performance in Mujhse Shaadi Karogi as displaying a 'real flair for comedy' in her review for Rediff.com.,671875a99e6544a2b06264ed1b39956b,,,,,4
clean humour,the hindu,"In their review, The Hindu praised Mujhse Shaadi Karogi for its 'clean humour'.",671875a99e6544a2b06264ed1b39956b,,,,,4
mujhse shaadi karogi,pure entertainment,"Planet Bollywood gave 7.5 out of 10, calling it a 'pure entertainment that is high on production value' and a 'good escapist cinema' for both masses and classes.",d001ca0043934c7db6065310a80a602b,,,,,4
mujhse shaadi karogi,high on production value,"Planet Bollywood gave 7.5 out of 10, calling it a 'pure entertainment that is high on production value' and a 'good escapist cinema' for both masses and classes.",d001ca0043934c7db6065310a80a602b,,,,,4
mujhse shaadi karogi,escapist cinema,"Planet Bollywood gave 7.5 out of 10, calling it a 'pure entertainment that is high on production value' and a 'good escapist cinema' for both masses and classes.",d001ca0043934c7db6065310a80a602b,,,,,4
mujhse shaadi karogi,unique climax,The unexpected and unique climax follows and the audience is pleasantly surprised at the turn of events and revelations with a fitting finale is another version of the title song that brings the house down.,d001ca0043934c7db6065310a80a602b,,,,,4
mujhse shaadi karogi,fitting finale,The unexpected and unique climax follows and the audience is pleasantly surprised at the turn of events and revelations with a fitting finale is another version of the title song that brings the house down.,d001ca0043934c7db6065310a80a602b,,,,,4
mujhse shaadi karogi,surprising ending,The unexpected and unique climax follows and the audience is pleasantly surprised at the turn of events and revelations with a fitting finale is another version of the title song that brings the house down.,d001ca0043934c7db6065310a80a602b,,,,,4
mujhse shaadi karogi,entertaining film,"Outlook, Namrata Joshi rated the film two stars, and noted its similarities to the 2003 American film Anger Management.",d001ca0043934c7db6065310a80a602b,,,,,4
mujhse shaadi karogi,similarities with anger management,"Outlook, Namrata Joshi rated the film two stars, and noted its similarities to the 2003 American film Anger Management.",d001ca0043934c7db6065310a80a602b,,,,,4
mujhse shaadi karogi,sequinned indian outfits,There are clothes of all designs imaginable – from gorgeous embroidered and sequinned Indian outfits to sleek and hip western attire.,d001ca0043934c7db6065310a80a602b,,,,,4
mujhse shaadi karogi,sequinned western outfits,There are clothes of all designs imaginable – from gorgeous embroidered and sequinned Indian outfits to sleek and hip western attire.,d001ca0043934c7db6065310a80a602b,,,,,4
mujhse shaadi karogi,aquamarine seas,There are locations of breathtaking beauty from aquamarine seas to quaint churches.,d001ca0043934c7db6065310a80a602b,,,,,4
mujhse shaadi karogi,quaint churches,There are locations of breathtaking beauty from aquamarine seas to quaint churches.,d001ca0043934c7db6065310a80a602b,,,,,4
mujhse shaadi karogi,exhausting film,Anupama Chopra found the film 'partly fun but mostly exhausting'.,d001ca0043934c7db6065310a80a602b,,,,,4
