node_1,node_2,node_3,edge_1,edge_2
yusuf,cobb,top,Yusuf is part of Cobb's team for the new job.,"In the given context, Cobb uses Mal's spinning top as a test to determine if he is in the real world. However, he chooses not to observe the result and instead joins his children."
yusuf,cobb,father-in-law,Yusuf is part of Cobb's team for the new job.,"In the given context, Cobb's father-in-law accompanies him to his home after waking from the dream."
ariadne,cobb,saito,Ariadne is assigned to design the dream's architecture because Cobb cannot do it himself due to his past with Mal.,Cobb is hired by Saito for a new job.
ariadne,cobb,arthur,Ariadne is assigned to design the dream's architecture because Cobb cannot do it himself due to his past with Mal.,Cobb and Arthur are extractors who perform corporate espionage together.
ariadne,cobb,mal,Ariadne is assigned to design the dream's architecture because Cobb cannot do it himself due to his past with Mal.,"Cobb's late wife, Mal, appears in his mind's projection and poses a risk during the new job."
ariadne,cobb,mal,Ariadne is assigned to design the dream's architecture because Cobb cannot do it himself due to his past with Mal.,"Mal still believed she was dreaming after waking up, as Cobb fled the U.S., leaving his children behind and framing him for her murder to force him to do the same."
ariadne,cobb,robert,Ariadne is assigned to design the dream's architecture because Cobb cannot do it himself due to his past with Mal.,"Cobb persuades Robert that Browning has kidnapped him to stop the dissolution and that Cobb is a defensive projection, leading Robert to another third level deeper as part of a ruse to enter Robert's subconscious."
ariadne,cobb,top,Ariadne is assigned to design the dream's architecture because Cobb cannot do it himself due to his past with Mal.,"In the given context, Cobb uses Mal's spinning top as a test to determine if he is in the real world. However, he chooses not to observe the result and instead joins his children."
ariadne,cobb,father-in-law,Ariadne is assigned to design the dream's architecture because Cobb cannot do it himself due to his past with Mal.,"In the given context, Cobb's father-in-law accompanies him to his home after waking from the dream."
robert fischer,maurice fischer,saito,Robert Fischer is the son of Maurice Fischer.,Maurice Fischer is a competitor of Saito's.
maurice fischer,saito,cobb,Maurice Fischer is a competitor of Saito's.,"In the given context, there is an agreement between Cobb and Saito that is fulfilled in Limbo. Cobb finds an aged Saito in Limbo and reminds him of their agreement."
maurice fischer,saito,phone,Maurice Fischer is a competitor of Saito's.,"In the given context, Saito makes a phone call after waking up from the dream."
cobb,mal,limbo,"Cobb's late wife, Mal, appears in his mind's projection and poses a risk during the new job.","Cobb tells Ariadne that he and Mal entered Limbo while experimenting with dream-sharing, experiencing fifty years in one night due to the time dilation with reality. Attempting to 'wake up', she committed suicide and framed Cobb for her murder to force him to do the same."
cobb,mal,cobb,"Cobb's late wife, Mal, appears in his mind's projection and poses a risk during the new job.","Relationship between Mal and Cobb in the given context involves Mal refusing to return to reality in Limbo, which led to her death. Cobb makes peace with his part in Mal's death."
eames,ariadne,cobb,Eames and Ariadne are both part of Cobb's team for the new job.,Ariadne is assigned to design the dream's architecture because Cobb cannot do it himself due to his past with Mal.
eames,ariadne,mal's projection,Eames and Ariadne are both part of Cobb's team for the new job.,"In the given context, Ariadne kills Mal's projection to rescue Robert and Eames from Limbo."
yusuf,ariadne,cobb,Yusuf and Ariadne are both part of Cobb's team for the new job.,Ariadne is assigned to design the dream's architecture because Cobb cannot do it himself due to his past with Mal.
yusuf,ariadne,mal's projection,Yusuf and Ariadne are both part of Cobb's team for the new job.,"In the given context, Ariadne kills Mal's projection to rescue Robert and Eames from Limbo."
cobb,mal,limbo,"Mal still believed she was dreaming after waking up, as Cobb fled the U.S., leaving his children behind and framing him for her murder to force him to do the same.","Cobb tells Ariadne that he and Mal entered Limbo while experimenting with dream-sharing, experiencing fifty years in one night due to the time dilation with reality. Attempting to 'wake up', she committed suicide and framed Cobb for her murder to force him to do the same."
cobb,mal,cobb,"Mal still believed she was dreaming after waking up, as Cobb fled the U.S., leaving his children behind and framing him for her murder to force him to do the same.","Relationship between Mal and Cobb in the given context involves Mal refusing to return to reality in Limbo, which led to her death. Cobb makes peace with his part in Mal's death."
cobb,robert,mal,"Cobb persuades Robert that Browning has kidnapped him to stop the dissolution and that Cobb is a defensive projection, leading Robert to another third level deeper as part of a ruse to enter Robert's subconscious.","In the given context, Robert is subjected to an inception by Mal, but she kills him before he can be fully incepted. This leads to Cobb and Ariadne rescuing them both in time for Robert's inception."
cobb,robert,father,"Cobb persuades Robert that Browning has kidnapped him to stop the dissolution and that Cobb is a defensive projection, leading Robert to another third level deeper as part of a ruse to enter Robert's subconscious.","In the given context, Cobb's father-in-law reveals to Robert that his dying father told him to create something for himself in a dream. This planted idea is awakened in Robert upon waking from his inception."
mal,cobb,saito,"Relationship between Mal and Cobb in the given context involves Mal refusing to return to reality in Limbo, which led to her death. Cobb makes peace with his part in Mal's death.",Cobb is hired by Saito for a new job.
mal,cobb,arthur,"Relationship between Mal and Cobb in the given context involves Mal refusing to return to reality in Limbo, which led to her death. Cobb makes peace with his part in Mal's death.",Cobb and Arthur are extractors who perform corporate espionage together.
mal,cobb,mal,"Relationship between Mal and Cobb in the given context involves Mal refusing to return to reality in Limbo, which led to her death. Cobb makes peace with his part in Mal's death.","Cobb's late wife, Mal, appears in his mind's projection and poses a risk during the new job."
mal,cobb,mal,"Relationship between Mal and Cobb in the given context involves Mal refusing to return to reality in Limbo, which led to her death. Cobb makes peace with his part in Mal's death.","Mal still believed she was dreaming after waking up, as Cobb fled the U.S., leaving his children behind and framing him for her murder to force him to do the same."
mal,cobb,robert,"Relationship between Mal and Cobb in the given context involves Mal refusing to return to reality in Limbo, which led to her death. Cobb makes peace with his part in Mal's death.","Cobb persuades Robert that Browning has kidnapped him to stop the dissolution and that Cobb is a defensive projection, leading Robert to another third level deeper as part of a ruse to enter Robert's subconscious."
mal,cobb,top,"Relationship between Mal and Cobb in the given context involves Mal refusing to return to reality in Limbo, which led to her death. Cobb makes peace with his part in Mal's death.","In the given context, Cobb uses Mal's spinning top as a test to determine if he is in the real world. However, he chooses not to observe the result and instead joins his children."
mal,cobb,father-in-law,"Relationship between Mal and Cobb in the given context involves Mal refusing to return to reality in Limbo, which led to her death. Cobb makes peace with his part in Mal's death.","In the given context, Cobb's father-in-law accompanies him to his home after waking from the dream."
robert,mal,limbo,"In the given context, Robert is subjected to an inception by Mal, but she kills him before he can be fully incepted. This leads to Cobb and Ariadne rescuing them both in time for Robert's inception.","Cobb tells Ariadne that he and Mal entered Limbo while experimenting with dream-sharing, experiencing fifty years in one night due to the time dilation with reality. Attempting to 'wake up', she committed suicide and framed Cobb for her murder to force him to do the same."
robert,mal,cobb,"In the given context, Robert is subjected to an inception by Mal, but she kills him before he can be fully incepted. This leads to Cobb and Ariadne rescuing them both in time for Robert's inception.","Relationship between Mal and Cobb in the given context involves Mal refusing to return to reality in Limbo, which led to her death. Cobb makes peace with his part in Mal's death."
saito,cobb,saito,"In the given context, there is an agreement between Cobb and Saito that is fulfilled in Limbo. Cobb finds an aged Saito in Limbo and reminds him of their agreement.",Cobb is hired by Saito for a new job.
saito,cobb,arthur,"In the given context, there is an agreement between Cobb and Saito that is fulfilled in Limbo. Cobb finds an aged Saito in Limbo and reminds him of their agreement.",Cobb and Arthur are extractors who perform corporate espionage together.
saito,cobb,mal,"In the given context, there is an agreement between Cobb and Saito that is fulfilled in Limbo. Cobb finds an aged Saito in Limbo and reminds him of their agreement.","Cobb's late wife, Mal, appears in his mind's projection and poses a risk during the new job."
saito,cobb,mal,"In the given context, there is an agreement between Cobb and Saito that is fulfilled in Limbo. Cobb finds an aged Saito in Limbo and reminds him of their agreement.","Mal still believed she was dreaming after waking up, as Cobb fled the U.S., leaving his children behind and framing him for her murder to force him to do the same."
saito,cobb,robert,"In the given context, there is an agreement between Cobb and Saito that is fulfilled in Limbo. Cobb finds an aged Saito in Limbo and reminds him of their agreement.","Cobb persuades Robert that Browning has kidnapped him to stop the dissolution and that Cobb is a defensive projection, leading Robert to another third level deeper as part of a ruse to enter Robert's subconscious."
saito,cobb,top,"In the given context, there is an agreement between Cobb and Saito that is fulfilled in Limbo. Cobb finds an aged Saito in Limbo and reminds him of their agreement.","In the given context, Cobb uses Mal's spinning top as a test to determine if he is in the real world. However, he chooses not to observe the result and instead joins his children."
saito,cobb,father-in-law,"In the given context, there is an agreement between Cobb and Saito that is fulfilled in Limbo. Cobb finds an aged Saito in Limbo and reminds him of their agreement.","In the given context, Cobb's father-in-law accompanies him to his home after waking from the dream."
