node_1|node_2|edge|chunk_id|node_3
barbie|mattel|The concept of a live-action Barbie film was in development at Cannon Films in the mid-1980s. In September 2009, Mattel announced a partnership with Universal Pictures and producer Laurence Mark to develop a live-action Barbie film.|83c1bac7aba046f6bba33ae4f4b67c16|
barbie|sony pictures|In April 2014, Mattel teamed with Sony Pictures to produce the Barbie film. Amy Pascal joined the producing team in March 2015.|83c1bac7aba046f6bba33ae4f4b67c16|
live-action barbie film|sony pictures|In April 2014, Mattel teamed with Sony Pictures to produce the live-action Barbie film. Filming was anticipated to begin by the end of that year.|83c1bac7aba046f6bba33ae4f4b67c16|
barbie|jenny bicks|In April 2014, Mattel teamed with Sony Pictures and producer Laurence Mark to develop a live-action Barbie film. Jenny Bicks was initially chosen to write the screenplay.|83c1bac7aba046f6bba33ae4f4b67c16|
live-action barbie film|diablo cody|In March 2015, Diablo Cody replaced Jenny Bicks as the writer for the live-action Barbie film.|83c1bac7aba046f6bba33ae4f4b67c16|
live-action barbie film|lindsey beer|In March 2015, Diablo Cody's work on the live-action Barbie film was further improved by Lindsey Beer.|83c1bac7aba046f6bba33ae4f4b67c16|
live-action barbie film|bert v. royal|In March 2015, Diablo Cody's work on the live-action Barbie film was further improved by Bert V. Royal.|83c1bac7aba046f6bba33ae4f4b67c16|
live-action barbie film|hillary winston|In March 2015, Diablo Cody's work on the live-action Barbie film was further improved by Hillary Winston.|83c1bac7aba046f6bba33ae4f4b67c16|
mattel|mattel films|In August 2018, Mattel CEO Ynon Kreiz hired film executive Robbie Brenner, who was later appointed head of Mattel Films.|9013b3a4f75442a1a903c4a628c8d5b3|
robbie brenner|mattel|In August 2018, Mattel CEO Ynon Kreiz hired film executive Robbie Brenner, who was later appointed head of Mattel Films.|9013b3a4f75442a1a903c4a628c8d5b3|
robbie brenner|mattel films|In August 2018, Mattel CEO Ynon Kreiz hired film executive Robbie Brenner, who was later appointed head of Mattel Films.|9013b3a4f75442a1a903c4a628c8d5b3|
sony pictures|barbie movie rights|Sony's option on the project expired in October 2018, and film rights were transferred to Warner Bros. Pictures.|9013b3a4f75442a1a903c4a628c8d5b3|
margot robbie|barbie movie role|Initial meetings occurred at the Polo Lounge located in The Beverly Hills Hotel. Both Ynon Kreiz and Robbie Brenner were determined to cast Margot Robbie after meeting with her; both he and Brenner felt that Robbie's appearance resembled that of a conventional Barbie doll and were impressed by her ideas.|9013b3a4f75442a1a903c4a628c8d5b3|
patty jenkins|barbie movie director role|Patty Jenkins was briefly considered as director.|9013b3a4f75442a1a903c4a628c8d5b3|
luckychap entertainment|margot robbie|Robbie's production company, LuckyChap Entertainment, partnered with Robbie for the Barbie movie.|9013b3a4f75442a1a903c4a628c8d5b3|
tom ackerley|josey mcnamara|Robbie's husband Tom Ackerley and Josey McNamara were enlisted as producers for the Barbie movie.|9013b3a4f75442a1a903c4a628c8d5b3|Margot Robbie
barbie|margot robbie|Both Ynon Kreiz and Robbie Brenner felt that Margot Robbie's appearance resembled that of a conventional Barbie doll.|9013b3a4f75442a1a903c4a628c8d5b3|
robbie|producer|In her capacity as a producer, Robbie pitched Barbie to Warner Bros. herself.|7637f97d01934b02b4315cde85e93dd3|
barbie|warner bros.|Robbie compared the film to Steven Spielberg's Jurassic Park (1993) during the green-light meeting, implying a potential high profit expectation.|7637f97d01934b02b4315cde85e93dd3|
greta gerwig|barbie|Robbie approached Greta Gerwig to screenwrite for Barbie, leading to her directing and scriptwriting in collaboration with Noah Baumbach.|7637f97d01934b02b4315cde85e93dd3|
robbie|greta gerwig|Robbie mentioned enjoying Gerwig's previous films, particularly Little Women (2019), leading to their collaboration on Barbie.|7637f97d01934b02b4315cde85e93dd3|
gerwig|barbie|Gerwig was in post-production for another film and took the assignment on the condition that her partner, Noah Baumbach, also write the script.|7637f97d01934b02b4315cde85e93dd3|
robbie|audience|Robbie said the film aimed at subverting expectations and giving audiences 'the thing you didn't know you wanted', indicating an intended impact on viewers.|7637f97d01934b02b4315cde85e93dd3|
barbie|audience|Robbie's statement that the film would gross over $1 billion during the green-light meeting also suggests a potential high audience engagement and revenue.|7637f97d01934b02b4315cde85e93dd3|
robbie|salary and box office bonuses|Variety revealed that Robbie would earn 'roughly $50 million in salary and box office bonuses' as star and producer, highlighting her significant contribution to the film's production.|7637f97d01934b02b4315cde85e93dd3|
gerwig|baumbach|collaborators on the screenplay during the pandemic lockdowns at their house in Long Island|9dccadddf42c4ae0847264be75d8a8b0|
mortality|embracing|relationship between mortality and embracing, as identified by Baumbach once Gerwig showed him the first scene|9dccadddf42c4ae0847264be75d8a8b0|
humanity|understanding of film's purpose|relationship between humanity and understanding, as identified by Baumbach after being shown the first scene by Gerwig|9dccadddf42c4ae0847264be75d8a8b0|
gerwig|barbie influenced abstract poem on barbie|inspiration for Gerwig's film treatment|9dccadddf42c4ae0847264be75d8a8b0|
barbie creator ruth handler|inspiration|relationship between Handler and inspiration, as noted by Gerwig|9dccadddf42c4ae0847264be75d8a8b0|
reviving ophelia|narrative arc inspiration|relationship between Reviving Ophelia and inspiration, as partially noted by Gerwig|9dccadddf42c4ae0847264be75d8a8b0|
classic technicolor musicals such as the red shoes and the umbrellas of cherbourg|inspiration|relationship between the musicals and inspiration, as noted by Gerwig|9dccadddf42c4ae0847264be75d8a8b0|
mattel|candid criticism|relationship between Mattel and candid criticism, as noted by Brenner|9dccadddf42c4ae0847264be75d8a8b0|
barbie|bold and trailblazer figure|relationship between Barbie and figurative interpretation, as interpreted by Brenner|9dccadddf42c4ae0847264be75d8a8b0|
barbie|feminist|In the context of 'Little Women' adaptation by Greta Gerwig, Barbie is interpreted as a 'bold' and 'trailblazer' figure by Brenner. This portrayal of Barbie as a role model for young girls challenges traditional gender norms and can be seen as a feminist statement. The film 'Barbie' explores the controversies and problematic parts of Barbie, while also paying tribute to the product. Gerwig and Robbie informed the studio that they would explore these aspects, but also convinced them that they would respect the product.|db62a2f3675742bdb08cb933c91ace31|
barbie|corporate america|In 'Barbie', Will Ferrell's portrayal of Mattel CEO is meant to be an allegory for corporate America. Brenner noted that 'being safe in this world doesn't work' for Barbie as a figure, which can be interpreted as a critique of the capitalist system and the pressure on women to conform to societal norms.|db62a2f3675742bdb08cb933c91ace31|
barbie doll|controversial beauty standards|The Barbie doll represents the controversial beauty standards associated with it in society, leading to a debate about its impact on women's self-image and body image issues. Gerwig acknowledged this aspect of Barbie while celebrating its feminism in her movie.|5bfa9b832151465abf774591e7a768cb|
barbie doll|plastic products|The movie juxtaposed contradictory messaging by critiquing consumerism yet glamorizing plastic products through the portrayal of Barbie as a plastic doll.|5bfa9b832151465abf774591e7a768cb|
barbie doll|women's worth|Gerwig made the movie as an earnest attempt to make amends between affirming women's worth and conveying the impossibility of perfection.|5bfa9b832151465abf774591e7a768cb|
barbie doll|barbie|In the film's ending, Barbie desires to be more than just a plastic doll, highlighting Gerwig's intention to subvert and celebrate the concept of Barbie simultaneously.|5bfa9b832151465abf774591e7a768cb|
gerwig|childhood experiences with barbie|Gerwig's childhood experiences with Barbie influenced her decision to create a movie around it, acknowledging the contradictory nature of its influence on women and their self-image.|5bfa9b832151465abf774591e7a768cb|
mother|barbie doll purchase|Gerwig's mother initially discouraged her from purchasing Barbie dolls but eventually allowed it, highlighting the significance of parental influence on children's preferences.|5bfa9b832151465abf774591e7a768cb|
humans|dolls|Gerwig found fascination in the idea that humans created dolls, which in turn imitate humans, conveying an affirmative message to the audience about being true to oneself.|5bfa9b832151465abf774591e7a768cb|
barbie|maximalism|Gerwig compared the maximalism of Barbie to a similar ontology that she perceived in Shakespeare's works. She grounded the film in a heightened theatricality that allows for dealing with big ideas amidst anarchic play.|6ab98550c03c469daf91d64c84f325d6|
barbie|anarchic|Barbie's nature as being anarchic is exemplified by her saying, 'Do you guys ever think about dying?'|6ab98550c03c469daf91d64c84f325d6|
barbie|constrained in multitudes|All of these women are Barbie and Barbie is all of these women. Gerwig found this idea to be 'trippy.'|6ab98550c03c469daf91d64c84f325d6|
barbie|humanist|Gerwig described the film as being humanist.|6ab98550c03c469daf91d64c84f325d6|
barbie|isolation of the pandemic|Gerwig opined that Barbie's line, 'Do you guys ever think about dying?' exemplifies the film's anarchic nature and originated from the 'deep isolation of the pandemic.'|6ab98550c03c469daf91d64c84f325d6|
barbie|journey from childhood to adolescence|Gerwig described the story as mirroring a girl's journey from childhood to adolescence.|6ab98550c03c469daf91d64c84f325d6|
barbie|coming of age film|Gerwig did not deem the film to be a coming of age film.|6ab98550c03c469daf91d64c84f325d6|
shakespeare's works|maximalism|Gerwig compared the maximalism of Barbie to what she perceived as Shakespeare's maximalism.|6ab98550c03c469daf91d64c84f325d6|
barbie|reality|She began her writing by interpreting Barbie as living in a utopia and eventually experiencing reality.|bf41ce49a62b45e09ddc28bca8733924|
barbieland|real world|Barbie faces the real world, where she has to confront all the things that were shielded from her in Barbieland.|bf41ce49a62b45e09ddc28bca8733924|
adam and eve|barbie|She drew parallels between Barbie's journey and the story of Adam and Eve.|bf41ce49a62b45e09ddc28bca8733924|
paradise lost|barbie|She was inspired by the concept that there is 'no poetry without pain,' which she found in John Milton's Paradise Lost, particularly.|bf41ce49a62b45e09ddc28bca8733924|
dissonance|barbie and ken facing the real world|She focused on elements of dissonance when depicting Barbie and Ken facing the real world.|bf41ce49a62b45e09ddc28bca8733924|
older woman|robbie's barbie|She chose to keep a scene featuring Robbie's Barbie telling an older woman that she is beautiful after being requested to remove it, as she felt that the scene epitomized 'the heart of the movie.'|bf41ce49a62b45e09ddc28bca8733924|
women|barbie|She featured a scene in which Barbie learns that some women do not like her, and felt it gave the film 'real intellectual and emotional power.'|bf41ce49a62b45e09ddc28bca8733924|
venice beach|barbie|She featured a scene in which Barbie is being stared at inappropriately on Venice Beach, as she felt it was a universal experience, being especially relevant for actors.|bf41ce49a62b45e09ddc28bca8733924|
barbie|gynecologist|Barbie says she is there to see her gynecologist in the ending of the film, and Gerwig describes this line as a 'mic drop kind of joke' because she wanted to instill confidence in younger girls and combat the embarrassment she felt about her body when she was younger.|7df2fd5a436746248ecbe7a6838ddf44|
barbie|ken|Gerwig extrapolated that 'Barbies rule and Kens are an underclass' due to the negative consequences of hierarchical power structures depicted in the film. She also identified Ken's low self-esteem and need for Barbie's approval as a good source for a story.|7df2fd5a436746248ecbe7a6838ddf44|
ken|power ballad|Gerwig identified Ken's only power ballad in the film as the moment in which she felt the film transcended what a Barbie film traditionally should have been.|7df2fd5a436746248ecbe7a6838ddf44|
barbie land|interior soundstage world|With cinematographer Rodrigo Prieto, Greenwood, and costume designer Jacqueline Durran a year in advance of filming, the idea of creating Barbie Land as an 'interior soundstage world' was called for by director Peter Weir for inspiration.|e2d06268b17749b5b7238475818a1406|
barbie|ken|The protagonists of the movie, Barbie and Ken face the difficulties of the real world, highlighting the tragic nature of their situation through the dramatic acting directed by Gerwig.|ee42f699773a46a7b2e8268f93da90c4|
filming techniques from the 1950s|period-accurate look|Gerwig's use of filming techniques from the 1950s created a period-accurate look in accordance with Barbie having been a popular toy since 1959.|ee42f699773a46a7b2e8268f93da90c4|
sleepover|positive relationships|Gerwig organized a sleepover for the female cast members to establish positive relationships and kick off filming.|ee42f699773a46a7b2e8268f93da90c4|
venice beach skatepark|notable location|Among the notable locations was the Venice Beach Skatepark in Los Angeles, California.|ee42f699773a46a7b2e8268f93da90c4|
cinematographer|rodrigo prieto|Rodrigo Prieto served as cinematographer for the movie.|ee42f699773a46a7b2e8268f93da90c4|
barbie land|technobarbie|The palette chosen for the scenes in Barbie Land was inspired by the classic three-strip Technicolor look and named technoBarbie.|08b88e868eee43929486578f1eb369a3|
alexandre desplat|mark ronson, andrew wyatt|Initially set to score Barbie in early September 2022, Alexandre Desplat later left the project, and Mark Ronson and Andrew Wyatt assumed scoring duties.|08b88e868eee43929486578f1eb369a3|
barbie land|practical miniatures|Practical miniatures were built, scanned and captured with photogrammetry inspiring the creation of hundreds of digital miniatures to populate Barbie Land vistas, set extensions, backdrops and full CG shots.|08b88e868eee43929486578f1eb369a3|
barbie land|barbie land scenes|Framestore worked on the Barbie Land scenes for the visual effects.|08b88e868eee43929486578f1eb369a3|
barbie land|upp|UPP worked on the invisible effects deployed in the real world and a car chase sequence.|08b88e868eee43929486578f1eb369a3|
barbie the album|ronson was also tasked with curating a compilation soundtrack that matched gerwig's vision for barbie.|Barbie the Album is the compilation soundtrack curated by Ronson to match Gerwig's vision for Barbie.|574d4d19da4a4477bdc6e0bd5b86ded0|
ronson|gerwig's vision for barbie|Ronson was tasked with curating a compilation soundtrack to match Gerwig's vision for Barbie.|574d4d19da4a4477bdc6e0bd5b86ded0|
barbie the album|featuring music by ava max, charli xcx, dominic fike, fifty fifty, gayle, haim, ice spice, kali, karol g, khalid, sam smith, lizzo, nicki minaj, billie eilish, pink pantheress, tame impala, the kid laroi, and cast members ryan gosling and dua lipa.|Barbie the Album is a compilation soundtrack that features music by various artists.|574d4d19da4a4477bdc6e0bd5b86ded0|
dance the night|released as the album's lead single on may 26, 2023.|Dance the Night is a song released as the lead single from Barbie the Album.|574d4d19da4a4477bdc6e0bd5b86ded0|
watati|karol g|Watati is a song by Karol G released as part of Barbie the Album.|574d4d19da4a4477bdc6e0bd5b86ded0|Released on June 2, 2023.
angel|pink pantheress|Angel is a song by Pink Pantheress released as the first promotional single from Barbie the Album.|574d4d19da4a4477bdc6e0bd5b86ded0|Released on June 9, 2023, as the first promotional single.
barbie world|nicki minaj|Barbie World is a song by Nicki Minaj and Ice Spice released as part of Barbie the Album.|574d4d19da4a4477bdc6e0bd5b86ded0|Ice Spice
speed drive|charli xcx|Speed Drive is a song by Charli XCX released as part of Barbie the Album.|574d4d19da4a4477bdc6e0bd5b86ded0|
barbie dreams|fifty fifty|Barbie Dreams is a song by Fifty Fifty and Kaliii released as part of Barbie the Album.|574d4d19da4a4477bdc6e0bd5b86ded0|Kalii
what was i made for?|billie eilish|What Was I Made For? is a song by Billie Eilish released as part of Barbie the Album.|574d4d19da4a4477bdc6e0bd5b86ded0|
ryan gosling|i'm just ken|Ryan Gosling sang 'I'm Just Ken' in Barbie.|574d4d19da4a4477bdc6e0bd5b86ded0|
barbie world|barbie girl|Barbie World, a rework of the song, was instead used in the film due to bad relations between Mattel and MCA Records, the American publisher of 'Barbie Girl' from 1997 to 2002.|7c0389d255f043528819521db0cf3580|
closer to fine|barbieland|In the fictional Barbieland, 'Closer to Fine' by the Indigo Girls becomes 'a tongue-in-cheek anthem of patriarchal dominance.'|7c0389d255f043528819521db0cf3580|
push|ken|After visiting the real world, Ken adopts 'Push' by Matchbox Twenty as his favorite song.|7c0389d255f043528819521db0cf3580|
spice up your life|weird barbie|In a flashback scene, 'Spice Up Your Life' by Spice Girls plays while showing a little girl's rough play creating 'Weird Barbie.'|7c0389d255f043528819521db0cf3580|
barbie|airbnb|In the months leading up to its release, Mattel entered into a Barbie-themed promotional partnership with Airbnb.|8367c416e282414bbbeee308aba38184|
barbie|aldo group|Mattel also entered into a Barbie-themed promotional partnership with Aldo Group in the months leading up to its release.|8367c416e282414bbbeee308aba38184|
barbie|bloomingdale's|Mattel also entered into a Barbie-themed promotional partnership with Bloomingdale's in the months leading up to its release.|8367c416e282414bbbeee308aba38184|
barbie|burger king brazil|Mattel also entered into a Barbie-themed promotional partnership with Burger King Brazil in the months leading up to its release.|8367c416e282414bbbeee308aba38184|
barbie|chi haircare|Mattel also entered into a Barbie-themed promotional partnership with Chi Haircare in the months leading up to its release.|8367c416e282414bbbeee308aba38184|
barbie|forever 21|Mattel also entered into a Barbie-themed promotional partnership with Forever 21 in the months leading up to its release.|8367c416e282414bbbeee308aba38184|
barbie|gap inc.|Mattel also entered into a Barbie-themed promotional partnership with Gap Inc. In the months leading up to its release.|8367c416e282414bbbeee308aba38184|
barbie|hot topic|Mattel also entered into a Barbie-themed promotional partnership with Hot Topic in the months leading up to its release.|8367c416e282414bbbeee308aba38184|
barbie|krispy kreme philippines|Mattel also entered into a Barbie-themed promotional partnership with Krispy Kreme Philippines in the months leading up to its release.|8367c416e282414bbbeee308aba38184|
barbie|primark|Mattel also entered into a Barbie-themed promotional partnership with Primark in the months leading up to its release.|8367c416e282414bbbeee308aba38184|
barbie|progressive insurance|Mattel also entered into a Barbie-themed promotional partnership with Progressive Insurance in the months leading up to its release.|8367c416e282414bbbeee308aba38184|
barbie|spirit halloween|Mattel also entered into a Barbie-themed promotional partnership with Spirit Halloween in the months leading up to its release.|8367c416e282414bbbeee308aba38184|
barbie|ulta|Mattel also entered into a Barbie-themed promotional partnership with Ulta in the months leading up to its release.|8367c416e282414bbbeee308aba38184|
barbie|xbox|Mattel also entered into a Barbie-themed promotional partnership with Xbox in the months leading up to its release.|8367c416e282414bbbeee308aba38184|
warner bros.|hgtv|Warner Bros. Discovery also engaged in cross-promotion through its TV channels with HGTV's renovation reality competition series, Barbie Dreamhouse Challenge.|8367c416e282414bbbeee308aba38184|
barbie (margot robbie)|pink 1956 chevrolet corvette|Barbie is often associated with her iconic pink Chevrolet Corvette, as seen in the first-look image revealed at CinemaCon.|c0afb8f4b1fe4307bda9c1e957401a9e|
margot robbie|barbie doll come to life|The Collider notes that Margot Robbie's appearance in the first-look image is almost uncanny and seems to resemble a Barbie doll brought to life.|c0afb8f4b1fe4307bda9c1e957401a9e|
ryan gosling|ken|The second still featuring Ryan Gosling as Ken released on June 15, 2022, bears resemblance to his previous roles but is still expected to define him.|c0afb8f4b1fe4307bda9c1e957401a9e|
barbie booth|2022 ccxp event in são paulo, brazil|A Barbie booth was opened at the 2022 CCXP event in São Paulo.|c0afb8f4b1fe4307bda9c1e957401a9e|
stanley kubrick's 1968 film 2001: a space odyssey|barbie (margot robbie)|The first teaser trailer for the film, which debuted during preview screenings of Avatar: The Way of Water in December 2022, features a parody of the opening 'Dawn of Man' sequence from Stanley Kubrick's 1968 film 2001: A Space Odyssey, where Margot Robbie (clad in Barbie's original 1959 outfit) imitates an alien monolith whose influence on the history of dolls is narrated by Helen Mirren.|c0afb8f4b1fe4307bda9c1e957401a9e|
robbie|academy awards|Robbie attended and participated in the Academy Awards in 2023.|09f287690aea4c408814163ea70bcc32|
robbie|morgan freeman|At the 2023 Academy Awards, Robbie co-presented a tribute to Warner Bros with Morgan Freeman.|09f287690aea4c408814163ea70bcc32|
warner bros|robbie|Robbie has had roles and projects associated with Warner Bros in the past.|09f287690aea4c408814163ea70bcc32|
morgan freeman|warner bros|Morgan Freeman has had roles and projects associated with Warner Bros in the past.|09f287690aea4c408814163ea70bcc32|
academy awards|barbie|During the montage at the 2023 Academy Awards, Morgan Freeman referred to Robbie as 'Barbie'.|09f287690aea4c408814163ea70bcc32|
barbie|multiverse fever|Greta Gerwig's Barbie movie will also be flooding the screen with variants, this time of plastic dolls Barbie and Ken. Therefore, it seems Multiverse fever would not be constrained generally to comic book films and never-would-have-called-it Oscar winners.|8d1aed7a619942f5a165feb786b3c161|
barbie|plastic dolls barbie and ken|These terms are related as the film 'Barbie' will feature variants of plastic dolls Barbie and Ken.|8d1aed7a619942f5a165feb786b3c161|
multiverse fever|comic book films|Multiverse fever would be constrained generally to comic book films, but it seems Greta Gerwig's Barbie movie will also be flooding the screen with variants.|8d1aed7a619942f5a165feb786b3c161|
barbie|cross-generational appeal|The Barbie doll has a cross-generational appeal, which is one of the reasons for the teaser's captivation of multiple demographics.|8d1aed7a619942f5a165feb786b3c161|
barbie|existential tone|The 'visually striking' and 'polysemic' teaser trailer set an existential tone against upbeat music, as noted by critics.|8d1aed7a619942f5a165feb786b3c161|
barbie|ken|In June 2023, a French Barbie poster went viral for including the tagline 'Elle peut tout faire. Lui, c'est juste Ken'. The slang term 'Ken' in this context can also be interpreted as 'he just knows how to fuck', highlighting a potential sexual connotation between Barbie and Ken. This suggests a relationship between the two characters, possibly romantic or intimate.|7206341bb83947f387dbf025217261bc|
barbie|pink billboards|In the lead-up to the release of Barbie, pink billboards with only the film's release date appeared worldwide. This suggests a close association between Barbie and these billboards, potentially indicating that they were used as part of the film's marketing campaign.|7206341bb83947f387dbf025217261bc|
barbie|airbnb|A real-world 'Barbie Dreamhouse' in Malibu, California became available to rent through Airbnb. This highlights a relationship between Barbie and the short-term rental platform, possibly indicating that they collaborated on this promotion.|7206341bb83947f387dbf025217261bc|
barbie|sag-aftra|Leading up to the release of Barbie, SAG-AFTRA declared a strike action, effectively halting any promotional event that involved the guild's members. Robbie showed her support for the action, suggesting a possible connection between Barbie and this union.|7206341bb83947f387dbf025217261bc|
barbie|teenage mutant ninja turtles: mutant mayhem|To coincide with the release of Barbie, a stop motion crossover trailer with the animated film Teenage Mutant Ninja Turtles: Mutant Mayhem from Paramount Pictures was released on July 20, 2023. This highlights a potential collaboration between Barbie and this movie, potentially indicating that they were marketed together.|7206341bb83947f387dbf025217261bc|
barbie|coyote vs. acme|Previous iterations of the Barbie project were scheduled for release on the same dates as Coyote vs. Acme, which was ultimately not released.|915d27d7696742a785dfc9942a382806|
barbie|shrine auditorium|Barbie had its world premiere at the Shrine Auditorium in Los Angeles.|915d27d7696742a785dfc9942a382806|
barbie|cineworld leicester square|Barbie also had a European premiere at Cineworld Leicester Square in London.|915d27d7696742a785dfc9942a382806|
barbie|may 12, 2017|An earlier iteration of the Barbie project was scheduled for release on May 12, 2017.|915d27d7696742a785dfc9942a382806|
barbie|june 2, 2017|Another earlier iteration of the Barbie project was scheduled for release on June 2, 2017.|915d27d7696742a785dfc9942a382806|
barbie|june 29, 2018|The release date for the Barbie project was moved from June 29, 2018.|915d27d7696742a785dfc9942a382806|
barbie|august 8, 2018|The release date for the Barbie project was moved again to August 8, 2018, but was later postponed.|915d27d7696742a785dfc9942a382806|
barbie|may 8, 2020|The release date for the Barbie project was moved yet again to May 8, 2020.|915d27d7696742a785dfc9942a382806|
barbie|july 9, 2023|Barbie had its world premiere on July 9, 2023.|915d27d7696742a785dfc9942a382806|
barbie|margot robbie|Margot Robbie portrays the character of Barbie in the film.|915d27d7696742a785dfc9942a382806|
barbie|ryan gosling|Ryan Gosling plays the role of Ken in the movie.|915d27d7696742a785dfc9942a382806|
