node_1,node_2,edge,chunk_id,node_3,node_4,intermediate,count
bajirao mastani,success,"Bajirao Mastani was praised and received numerous accolades, including 7 National Film Awards and 14 nominations at the 61st Filmfare Awards.",319a1188bf6d4f5192ca1edc9c4b2eb6,,,,4
bajirao mastani,box office success,"Bajirao Mastani grossed over ₹356.2 crore at the box office, making it one of the highest grossing Hindi films of 2015.",319a1188bf6d4f5192ca1edc9c4b2eb6,,,,4
bajirao mastani,bhansali's direction,"Bajirao Mastani was praised for Bhansali's direction, indicating his significant contribution to the film.",319a1188bf6d4f5192ca1edc9c4b2eb6,,,,4
bajirao mastani,attention to detail,"Bajirao Mastani was noted for its attention to detail, indicating a focus on intricate aspects of the film.",319a1188bf6d4f5192ca1edc9c4b2eb6,,,,4
bajirao,mastani,"While travelling to Sironja, an emissary from Bundelkhand requests Bajirao's help to fight invaders. She reveals herself to be Mastani, the daughter of the Hindu Rajput king Chhatrasal and his Persian Shia concubine Ruhani Begum. Impressed by her skills as a warrior, Bajirao assists her with his army and defeats the invaders.",2d6f36c5ecbf48938a1f6057d548b3f7,,,,4
chhatrasal,mastani,"She reveals herself to be Mastani, the daughter of the Hindu Rajput king Chhatrasal and his Persian Shia concubine Ruhani Begum.",2d6f36c5ecbf48938a1f6057d548b3f7,,,,4
bajirao,mastani,"Back home in Pune, Kashibai greets Bajirao with a tour of their newly built Shaniwar Wada and the Aaina Mahal (Hall of Mirrors), which allows her to see him from her room. Mastani arrives in Pune but is treated harshly by Bajirao's mother Radhabai and accommodated in the palace for dancers, as Radhabai refuses to accept her as a daughter-in-law.",2d6f36c5ecbf48938a1f6057d548b3f7,,,,4
radhabai,mastani,Radhabai refuses to accept her as a daughter-in-law.,2d6f36c5ecbf48938a1f6057d548b3f7,,,,4
bajirao,mastani,"Determined to pursue her love, Mastani arrives in Pune but is treated harshly by Bajirao's mother Radhabai and accommodated in the palace for dancers, as Radhabai refuses to accept her as a daughter-in-law. Mastani tolerates this and adamantly expresses her desire to be with Bajirao; Bajirao chides in her persistence, reminding her he is already married and will never fully be hers; his court will also never respect her. Mastani agrees to these conditions so Bajirao declares her his second wife.",2d6f36c5ecbf48938a1f6057d548b3f7,,,,4
bajirao,nizam,"Preparation for attacking Delhi required ensuring Nizam's neutrality, which Bajirao achieved through a successful confrontation with the Nizam.",6a98c3ffc60140c5b741366c00671cb1,,,,4
kashibai,mastani,"Kashibai witnessed Bajirao's affection for Mastani, leading to her heartbreak and departure. They later reunited after the birth of their respective sons.",6a98c3ffc60140c5b741366c00671cb1,,,,4
bajirao,raghunath,Raghunath was born to Kashibai and named by her after she left following seeing Bajirao with Mastani.,6a98c3ffc60140c5b741366c00671cb1,,,,4
bajirao,krishna rao,Bajirao renamed his son Shamsher Bahadur after a Brahmin priest refused to conduct the Hindu naming ceremony due to Krishna Rao's illegitimacy.,6a98c3ffc60140c5b741366c00671cb1,,,,4
balaji baji rao,mastani,Nana Saheb expressed his hatred towards Mastani for breaking his mother's marriage due to her relationship with Bajirao.,6a98c3ffc60140c5b741366c00671cb1,,,,4
bajirao,mastani,"plan to murder Mastani and her son during the Ganesh Chaturthi festival, rescue of Mastani by Bajirao, building of a palace for Mastani by Bajirao, imprisonment of Mastani and her son by Bajirao's mother and Nana Saheb",d12a66b068834d7c8ed1dd08056fc6af,,,,4
bajirao,kashibai,"leaving for the battlefield to defeat Nasir Jung, meeting Kashibai in deference to tradition before leaving, breaking Kashibai's heart and taking her pride, compares their love with that of Krishna and Rukmini, asking Bajirao never to enter her chamber again, teary-eyed acceptance by Bajirao",d12a66b068834d7c8ed1dd08056fc6af,,,,4
nana saheb,mastani,imprisonment of Mastani and her son,d12a66b068834d7c8ed1dd08056fc6af,,,,4
bajirao's mother,mastani,imprisonment of Mastani and her son,d12a66b068834d7c8ed1dd08056fc6af,,,,4
kashibai,bajirao's mother,"letter pleading with Bajirao's mother to release Mastani, burning of the letter by Nana Saheb",d12a66b068834d7c8ed1dd08056fc6af,,,,4
bajirao,kashibai,"release of Mastani's son at Bajirao's deathbed, hallucinations and delirium during deathbed illness, dying united in death with Mastani",d12a66b068834d7c8ed1dd08056fc6af,,,,4
bajirao,mastani,"Sanjay Leela Bhansali had conceived a historical romance about Maratha Peshwa Bajirao and his second wife Mastani even before he had directed his first feature Khamoshi: The Musical in 1996. Reports about a possible revival of the film had made headlines ever since, but the project was shelved indefinitely. Bhansali had planned to revive it every other year but the project never came to fruition due to the destiny of every film having its own fate. However, the souls of Bajirao, Mastani, and Kashibai wanted them to make this film only now.",35cb9ae21e214a2bac7829ef0d25f668,,,,4
muzaffar ali,bajirao,Several other directors such as Muzaffar Ali had tried to make a film about the two historical figures but they were never made.,35cb9ae21e214a2bac7829ef0d25f668,,,,4
manmohan desai,bajirao,Several other directors such as Manmohan Desai had tried to make a film about the two historical figures but they were never made.,35cb9ae21e214a2bac7829ef0d25f668,,,,4
kamal amrohi,bajirao,Several other directors such as Kamal Amrohi had tried to make a film about the two historical figures but they were never made.,35cb9ae21e214a2bac7829ef0d25f668,,,,4
devdas,bajirao mastani,"Bhansali had intended to make Bajirao Mastani after finishing every film he made in-between, including Devdas.",35cb9ae21e214a2bac7829ef0d25f668,,,,4
may 2004,bajirao mastani,"Bhansali had officially announced Bajirao Mastani in 2003, with filming scheduled to begin in May 2004.",35cb9ae21e214a2bac7829ef0d25f668,,,,4
bajirao mastani,jinxed,"The project faced numerous setbacks and delays over a period of eleven years, leading some in the film industry to believe it would never be made. This has led to the label 'jinxed' being associated with the film.",28ccd5760c964970a16e52da56c05126,,,,4
bhansali,resilient,"Despite facing setbacks and delays, Bhansali remained steadfast in his determination to make the film. His persistence and focus have been described as resilient.",28ccd5760c964970a16e52da56c05126,,,,4
bhansali,ambition,"Despite considering the project impossible to make, Bhansali clung to his ambition to make Bajirao Mastani. His unwavering commitment to the project is a testament to the power of ambition.",28ccd5760c964970a16e52da56c05126,,,,4
bhansali,focused,"In pursuing Bajirao Mastani, Bhansali displayed remarkable focus and dedication. His single-mindedness has been a defining characteristic of the project.",28ccd5760c964970a16e52da56c05126,,,,4
bhansali,resilient,"In speaking about his desire to make Bajirao Mastani, Bhansali said, 'When you dream very genuinely, then I believe you also get the power to fulfill it.' This highlights the importance of resilience in realizing one's dreams.",28ccd5760c964970a16e52da56c05126,,,,4
bhansali,focused,"Bhansali's statement, 'I want very few things in life...so I know that I am resilient enough to get them all!' demonstrates his focused and determined mindset.",28ccd5760c964970a16e52da56c05126,,,,4
script,powerful,Bhansali's belief that the script for Bajirao Mastani was so powerful he had to make it one day is a testament to the importance of a compelling narrative in realizing a project.,28ccd5760c964970a16e52da56c05126,,,,4
bajirao mastani,adaptation,The film Bajirao Mastani was reportedly an adaptation of the Marathi-language novel Rau (1976) by Nagnath S. Inamdar.,28ccd5760c964970a16e52da56c05126,,,,4
bhansali,belief,"In speaking about his desire to make Bajirao Mastani, Bhansali said, 'Deep down, I kept asking for the universe to let me make this film.' This highlights the importance of belief and faith in realizing one's dreams.",28ccd5760c964970a16e52da56c05126,,,,4
bhansali,focused,"In pursuing Bajirao Mastani, Bhansali sacrificed many things, demonstrating his focused and dedicated mindset.",28ccd5760c964970a16e52da56c05126,,,,4
bajirao,mastani,"Their relationship was rarely depicted in history books and little was known about it due to the fact that they defied everything to be in love with each other, which is a comment on religion and love. This relationship between a Hindu man and a Muslim woman challenged societal norms during those times, as it does today. Bhansali saw this as an opportunity to shed light on the timelessness of these issues.",bc7cb5fb0f7c4cbf83ddf0fac7205082,,,,4
prakash r. kapadia,screenplay,Wrote the screenplay for 'Padmaavat' based on the novel.,0b15961e89884253aef59042cf3d81f7,,,,4
kapadia,historian ninad bedekar,Worked with historian Ninad Bedekar while acquiring the rights of the novel for 'Padmaavat'.,0b15961e89884253aef59042cf3d81f7,,,,4
kapadia and bhansali,consistently worked on the script since its conception,"Consistently worked on the script for 'Padmaavat' since its conception, refining several aspects of the film.",0b15961e89884253aef59042cf3d81f7,,,,4
script,'padmaavat','Padmaavat' is an adaptation of a novel and the screenplay was written for this movie.,0b15961e89884253aef59042cf3d81f7,,,,4
romance between the film's protagonists,history books or archives,The romance between the film's protagonists is not well documented in history books or archives.,0b15961e89884253aef59042cf3d81f7,,,,4
incidents,history books or archives,Many incidents related to the story have not been well documented in history books or archives.,0b15961e89884253aef59042cf3d81f7,,,,4
padmaavat',modern audiences,Several changes were made to the script written twelve years ago to suit modern audiences.,0b15961e89884253aef59042cf3d81f7,,,,4
script,length,The length of the script was decreased for 'Padmaavat'.,0b15961e89884253aef59042cf3d81f7,,,,4
script,pace,The pace of the script was increased for 'Padmaavat' to suit modern audiences.,0b15961e89884253aef59042cf3d81f7,,,,4
bhansali,hum dil de chuke sanam pairing,originally wanted to repeat for Bajirao Mastani,ddc9b7644cd84d4ca6e5e0cd5fe025a8,,,,4
salman khan,aishwarya rai,"Hum Dil De Chuke Sanam pairing, highly publicised break-up prevented their casting in Bajirao Mastani",ddc9b7644cd84d4ca6e5e0cd5fe025a8,,,,4
khan,katrina kaif,tried to suggest for the role of Mastani but things did not materialise in Bajirao Mastani,ddc9b7644cd84d4ca6e5e0cd5fe025a8,,,,4
bhansali,khan and kapoor's pairing,"wanted to showcase for Bajirao Mastani, led to shelving of the film",ddc9b7644cd84d4ca6e5e0cd5fe025a8,,,,4
bhansali,khan and kapoor,"signed other films together, prevented Bhansali from casting them in Bajirao Mastani for titular roles",ddc9b7644cd84d4ca6e5e0cd5fe025a8,,,,4
"chopra, priyanka",bajirao mastani (film character),"Kashibai, the first wife of Bajirao Mastani, played by Chopra in the film.",193bb0a8ced54fc7bb19210020f3cb26,,,,4
"singh, ranveer",bajirao mastani (film character),"Bajirao Mastani, the historical Maratha warrior, played by Singh in the film.",193bb0a8ced54fc7bb19210020f3cb26,,,,4
"padukone, deepika",mastani (historical figure),"Mastani, a second wife of Bajirao Mastani and a historical figure, played by Padukone in the film.",193bb0a8ced54fc7bb19210020f3cb26,,,,4
"devgn, ajay",bajirao mastani (film),Initially approached for the role of Bajirao Mastani but dropped out due to differences in contract terms.,193bb0a8ced54fc7bb19210020f3cb26,,,,4
milind soman,bajirao's cast (2014),Joined the cast in late August 2014.,b3c56e1e81104f428b6b4d8c73c6e3a4,,,,4
tanvi azmi,bajirao's mother radhabai,"Cast for the role of Radhabai in late September 2014. Shabana Azmi, Dimple Kapadia, and Supriya Pathak were also considered for the role.",b3c56e1e81104f428b6b4d8c73c6e3a4,,,,4
aditya pancholi,antagonist in bajirao mastani (2015),Joined the cast as an antagonist in late September 2014.,b3c56e1e81104f428b6b4d8c73c6e3a4,,,,4
sukhada khandkekar,"anubai, bajirao's sister",Finalised for the role of Anubai in November 2014.,b3c56e1e81104f428b6b4d8c73c6e3a4,,,,4
anuja gokhale,"bhiubai, bajirao's sister",Finalised for the role of Bhiubai in November 2014.,b3c56e1e81104f428b6b4d8c73c6e3a4,,,,4
mahesh manjrekar,maratha emperor chhattrapati shahu,Cast to play Maratha Emperor Chhattrapati Shahu in December 2014.,b3c56e1e81104f428b6b4d8c73c6e3a4,,,,4
vaibhav tatwawaadi,bajirao's younger brother chimaji appa,Chosen to play Bajirao's younger brother Chimaji Appa in January 2015.,b3c56e1e81104f428b6b4d8c73c6e3a4,,,,4
irrfan khan,narrator in bajirao mastani (2015),Cast as the film's narrator.,b3c56e1e81104f428b6b4d8c73c6e3a4,,,,4
deepika padukone,"kashibai, bajirao's wife","Had to undergo training before filming began, including learning sword-fighting, horse-riding and the ancient Indian martial art Kalaripayattu, as well as taking Kathak dance lessons.",b3c56e1e81104f428b6b4d8c73c6e3a4,,,,4
priyanka chopra,kashibai's accent (marathi dialect),Had to undergo 15 days of language training in the Peshwai Marathi dialect spoken during the time of the ascension of the Peshwas to perfect the accent.,b3c56e1e81104f428b6b4d8c73c6e3a4,,,,4
tanvi azmi,radhabai's appearance (shaved head),Shaved her head completely for her role.,b3c56e1e81104f428b6b4d8c73c6e3a4,,,,4
mughals,bhansali's vision,Bhansali shared his vision and the scale of the production with the art directors during pre-production work.,53c2c99dd4fe4ba7a61a677d03436a01,,,,4
mughals,pre-production work,The pre-production work for the film lasted nineteen months and continued as the shoot progressed.,53c2c99dd4fe4ba7a61a677d03436a01,,,,4
maratha architecture,"saloni dhatrak, sriram iyengar and sujeet sawant","Iyengar and Sawant had heard about the film while working on another film, when it was first announced. Having never met Bhansali, they started researching on their own by visiting Pune and Satara and learnt about Maratha architecture.",53c2c99dd4fe4ba7a61a677d03436a01,,,,4
maratha architecture,bhansali,"When the film was shelved, they continued to research and formed a portfolio, hoping to approach other filmmakers for work. Several years later, when they heard about the revival, they met Bhansali, who was impressed by their research and presentation.",53c2c99dd4fe4ba7a61a677d03436a01,,,,4
production designers,"saloni dhatrak, sriram iyengar and sujeet sawant","During pre-production work, Saloni Dhatrak, Sriram Iyengar and Sujeet Sawant discussed with Bhansali about how much of the film would be filmed on set and outdoor locations, giving them an idea to how many sets they needed to create.",53c2c99dd4fe4ba7a61a677d03436a01,,,,4
art directors,"considering its scale, the film required detailed and extravagant pre-production work, which required extensive research and planning.","Saloni Dhatrak, Sriram Iyengar and Sujeet Sawant worked as production designers on the film.",53c2c99dd4fe4ba7a61a677d03436a01,,,,4
shaniwar wada,film city,"Shaniwar Wada set, one of the biggest sets constructed in Film City, took forty-five days to build and required 45,000 planks and 600 workers a day.",43c59f1b907a4cfc9536693a8afcf8cd,,,,4
art directors,architects,"along with art directors, nineteen art assistant directors including architects were involved in creating twenty-two sets for the production.",43c59f1b907a4cfc9536693a8afcf8cd,,,,4
shaniwar wada set,kashibai's villa,"architectural research from Pune, Nasik and Satara was done to understand the interior and exterior designs of the ancient period and incorporated those ideas into building Kashibai's villa. Lotus motifs on mud-clad walls and handmade textures were used to give the Shaniwar Wada set a realistic appearance.",43c59f1b907a4cfc9536693a8afcf8cd,,,,4
kashibai's room,shaniwar wada set,Kashibai's room was the first set to be constructed and required navigating through twenty-five designs before being approved.,43c59f1b907a4cfc9536693a8afcf8cd,,,,4
aina mahal,mughal concept,"Aina Mahal, a set in the movie, took inspiration from the Mughal concept of mirror halls. The replica of Aina Mahal constructed for the movie followed the Mughal design of walls, ceiling and floor made out of handmade mud embedded with sparkling mirror designs.",63ef32ac5ab74c73ac5866485195fb00,,,,4
mastani mahal,mughal concept,"The art directors designed Mastani Mahal, the set in the movie, to look like Maratha architecture but retained the Mughal concept of mirror halls. The interiors of Mastani's room in Bundelkhand, crafted using a mix of Persian, Mughal and Rajput motifs and architecture, also followed the Mughal design of walls, ceiling and floor made out of handmade mud embedded with sparkling mirror designs.",63ef32ac5ab74c73ac5866485195fb00,,,,4
aina mahal,mirror halls,"Aina Mahal took 4,500 planks and more than 30,00 square feet of mirrors to construct its mirror halls. The set's lotus-like design with walls, ceiling and floor made out of handmade mud embedded with sparkling mirror designs is a feature of these halls.",63ef32ac5ab74c73ac5866485195fb00,,,,4
mastani mahal,mirror halls,"Mastani Mahal, the set in the movie, also had mirror halls, with a mix of Persian, Mughal and Rajput motifs and architecture. The hall's design was decorated using more than 700 design stencils.",63ef32ac5ab74c73ac5866485195fb00,,,,4
aina mahal,handmade mud,"The walls, ceiling and floor of the Aina Mahal set were made out of handmade mud embedded with sparkling mirror designs. This traditional Mughal design technique was used for both Aina Mahal and Mastani Mahal.",63ef32ac5ab74c73ac5866485195fb00,,,,4
mastani mahal,handmade mud,"The interior of Mastani's room in Bundelkhand, crafted using a mix of Persian, Mughal and Rajput motifs and architecture, also used the traditional Mughal design technique of handmade mud embedded with sparkling mirror designs.",63ef32ac5ab74c73ac5866485195fb00,,,,4
aina mahal,sparkling mirror designs,"The walls, ceiling and floor of the Aina Mahal set were embellished with sparkling mirror designs. This traditional Mughal design technique was used for both Aina Mahal and Mastani Mahal.",63ef32ac5ab74c73ac5866485195fb00,,,,4
mastani mahal,sparkling mirror designs,"The interior of Mastani's room in Bundelkhand, crafted using a mix of Persian, Mughal and Rajput motifs and architecture, also used the traditional Mughal design technique of sparkling mirror designs.",63ef32ac5ab74c73ac5866485195fb00,,,,4
aina mahal,set,"Aina Mahal was a set constructed for the movie. It took 4,500 planks and more than 30,00 square feet of mirrors to construct its mirror halls.",63ef32ac5ab74c73ac5866485195fb00,,,,4
mastani mahal,set,"Mastani Mahal was also a set constructed for the movie. Its interior, including Mastani's room in Bundelkhand, had mirror halls decorated using more than 700 design stencils.",63ef32ac5ab74c73ac5866485195fb00,,,,4
aina mahal,hundred workers per day,The construction of Aina Mahal required a hundred workers per day.,63ef32ac5ab74c73ac5866485195fb00,,,,4
mastani mahal,exterior,Mastani Mahal's exterior was built as a part of Shaniwar Wada. The interiors of Mastani Mahal were constructed on separate sets consisting of a courtyard and bedroom.,63ef32ac5ab74c73ac5866485195fb00,,,,4
opulent objects,sets,were furnished with,1db08bed9e854a29bdfe7a1dd6af62eb,,,,4
earthen diyas and torches,sets,were used to light the,1db08bed9e854a29bdfe7a1dd6af62eb,,,,4
silken saris,interiors,gave the a feel of the ancient Maratha empire,1db08bed9e854a29bdfe7a1dd6af62eb,,,,4
bedsheets,interiors,were added,1db08bed9e854a29bdfe7a1dd6af62eb,,,,4
hand-painted walls with 18th century motifs,interiors,were added,1db08bed9e854a29bdfe7a1dd6af62eb,,,,4
"30,000 oil lamps",film,were made for the,1db08bed9e854a29bdfe7a1dd6af62eb,,,,4
500 suits of armour,war scenes,were designed for the,1db08bed9e854a29bdfe7a1dd6af62eb,,,,4
headgear,period,were worn in that period,1db08bed9e854a29bdfe7a1dd6af62eb,,,,4
boots,period,were worn in that period,1db08bed9e854a29bdfe7a1dd6af62eb,,,,4
props,different types of tents,including,1db08bed9e854a29bdfe7a1dd6af62eb,,,,4
props,lighting props,including,1db08bed9e854a29bdfe7a1dd6af62eb,,,,4
props,elephant and horse decors for the war sequences,including,1db08bed9e854a29bdfe7a1dd6af62eb,,,,4
anju modi,costumes for lead characters,designed by Anju Modi for the three lead characters in the film.,09a9a8090e6844e9a49731fbbffef72b,,,,4
maxima basu,costumes for supporting cast,designed by Maxima Basu for the supporting cast in the film.,09a9a8090e6844e9a49731fbbffef72b,,,,4
ajay and chandrakant,costumes for extras and war extras,responsible for designing the costumes for extras and war extras in the film.,09a9a8090e6844e9a49731fbbffef72b,,,,4
bhansali,designers,"had detailed script-reading sessions with the designers to help them understand the characters, their emotions and personalities, which would mirror the costumes and the grandeur of the 18th century.",09a9a8090e6844e9a49731fbbffef72b,,,,4
basu,ancient maharastrian culture,"started her research by visiting several ancient monuments such as the Chowmahalla Palace, Chhatrapati Shivaji Maharaj Vastu Sangrahalaya, Salar Jung Museum and Ajanta-Ellora caves, which gave her some perspective of ancient Maharastrian culture.",09a9a8090e6844e9a49731fbbffef72b,,,,4
basu,history of clothing and textiles,"also travelled to cities such as Indore, Chanderi, Paithan and Maheshwar to gather more knowledge about the history of clothing and textiles.",09a9a8090e6844e9a49731fbbffef72b,,,,4
about 300 costumes,three leads alone,"The movie required approximately 300 costumes, specifically for the three main characters.",02c0b36cf77c42e6a6b99dec0b2c52c2,,,,4
real zari and gold wires,costumes,"To create authentic costumes, real zari (thin metallic wire used for embroidery) and gold wires were incorporated into the designs.",02c0b36cf77c42e6a6b99dec0b2c52c2,,,,4
no pictures of kashibai existed,references for designing her looks and costumes,"Since no visual reference could be found for Kashibai, the paintings of Raja Ravi Varma were utilized as a basis for creating her appearance and attire.",02c0b36cf77c42e6a6b99dec0b2c52c2,,,,4
eighty nauvari or nine-yard saris,chopra,"For Chopra, Modi created eighty nauvari (nine-yard saris) in vibrant colors like yellow, hot pink, emerald green, and purple that were inspired by the Raja Ravi Varma paintings.",02c0b36cf77c42e6a6b99dec0b2c52c2,,,,4
craftsmen from maheshwar,custom-made nine-yard saris,"The custom-made nauvari (nine-yard saris) worn in that period were crafted by artisans from Maheshwar, Chander, and Varanasi. They were designed to be lighter than usual to prevent Chopra from appearing overweight on screen.",02c0b36cf77c42e6a6b99dec0b2c52c2,,,,4
silk,muslin,"For the saris worn during that period, fabrics like silk, muslin, khadi, and chanderi were employed in their design.",02c0b36cf77c42e6a6b99dec0b2c52c2,khadi,chanderi,,4
six sets of the same sari,one song sequence featuring chopra,"For a particular song sequence featuring Chopra, Modi created six replicas of the same sari.",02c0b36cf77c42e6a6b99dec0b2c52c2,,,,4
expensive and real jewellery,the designers created the jewellery for each character.,"In this film, expensive and real jewellery was used, and it was specifically created for each character by the designers.",7edf5f059b304e3e8cf6373d31b70086,,,,4
expensive and real jewellery,"modi said they did not want to compromise, so the best materials such as real basra pearls, antique stones, and uncut diamonds were used.","The expensive and real jewellery used in this film was made using the best materials, including real Basra pearls, antique stones, and uncut diamonds, to give the royal look needed for the characters.",7edf5f059b304e3e8cf6373d31b70086,,,,4
traditional marathi-style jewellery,kashibai,"In this context, traditional Marathi-style jewellery was used to style Kashibai.",7edf5f059b304e3e8cf6373d31b70086,,,,4
nizami and polki jewellery,mastani,"For Mastani, Nizami and polki jewellery were used.",7edf5f059b304e3e8cf6373d31b70086,,,,4
the costume and production designers,"researched in museums, art galleries, history books, paintings, palaces, temples, and forts to study the textiles, color palettes, and artwork of the ancient maratha empire.","The costume and production designers researched various sources, including museums, art galleries, history books, paintings, palaces, temples, and forts, to learn about the textiles, color palettes, and artwork of the ancient Maratha Empire.",7edf5f059b304e3e8cf6373d31b70086,,,,4
sudeep chatterjee,arri alexa xt lenses,Sudeep Chatterjee shot the film using Arri Alexa XT lenses.,32381e524a084f208195f71b37e2205a,,,,4
sudeep chatterjee,extensive research,Sudeep Chatterjee had done extensive research before starting the film.,32381e524a084f208195f71b37e2205a,,,,4
principal photography,cinematographer sudeep chatterjee,"Principal photography began on 9 October 2014 with Cinematographer Sudeep Chatterjee on the set in Film City, Mumbai.",32381e524a084f208195f71b37e2205a,,,,4
deepika padukone,cinematographer sudeep chatterjee,Deepika Padukone joined the cast for two days during late December 2014 and resumed shooting in April 2015 after completing work for her other projects. Cinematographer Sudeep Chatterjee was involved in the shoot.,32381e524a084f208195f71b37e2205a,,,,4
amer fort,outdoor location filming,Outdoor location filming began in February 2015 at Amer Fort in Jaipur.,32381e524a084f208195f71b37e2205a,,,,4
singh,horse,Singh fell off a horse while filming an action sequence and was rushed to hospital; he was not seriously injured.,32381e524a084f208195f71b37e2205a,,,,4
singh,shoulder,"In May 2015, however, he injured his shoulder and needed surgery; he resumed shooting after break of two months.",32381e524a084f208195f71b37e2205a,,,,4
bajirao mastani,visual effects,"Before starting the film, the team discussed which parts of it had to be filmed and which parts needed to be made using visual effects. They decided that only sequences that were considered difficult or impossible to film would be created using visual effects in post production. In one sequence, it was impossible to control the movements of the 300–400 horses standing at one position in a battle scene; this sequence was filmed with a small number of horses and was later enhanced in post production.",e9dcc7b1e2ed4cb5b2db59d60d1a2768,,,,4
bajirao mastani,battle scene,"One sequence required the movements of 300–400 horses standing at one position to be controlled, which was considered impossible. This sequence was filmed with a small number of horses and was later enhanced in post production.",e9dcc7b1e2ed4cb5b2db59d60d1a2768,,,,4
chopra,quantico,"While working on Bajirao Mastani, Chopra was simultaneously filming the American television series Quantico in Montreal, requiring much back-and-forth travel.",e9dcc7b1e2ed4cb5b2db59d60d1a2768,,,,4
sham kaushal,war scenes,Sham Kaushal co-ordinated the action sequences for the war scenes.,ff5928e257574202a4124d0e5e544c8e,,,,4
action sequences,war scenes,The given context mentions that Sham Kaushal co-ordinated the action sequences for the war scenes.,ff5928e257574202a4124d0e5e544c8e,,,,4
