node_1,node_2,edge,chunk_id,node_3,edge_type,node_4,node_5,node_6,count
anees bazmee,writer/director,'No Entry' is a caper jammed-packed with Bollywood stars. Writer/director Anees Bazmee tries his hand at comedy with 'No Entry.',29103012701d4944ae7e08ad0f4b0ea9,,,,,,4
jasmine (character),"suspicious, nagging wife","'No Entry' is mostly about suspicious, nagging wives, extramarital affairs and lots of semi-clad, sexy bodies cavorting in foreign locations.",29103012701d4944ae7e08ad0f4b0ea9,,,,,,4
men (plural),men sleeping around,"'No Entry' and 'men sleeping around', and laugh about them, why can't we do the same with movies about woman having extramarital affairs?'",29103012701d4944ae7e08ad0f4b0ea9,,,,,,4
india today,source of information,"'No Entry' is mostly about suspicious, nagging wives, extramarital affairs and lots of semi-clad, sexy bodies cavorting in foreign locations,' stated India Today.",29103012701d4944ae7e08ad0f4b0ea9,,,,,,4
taran adarsh,source of information,"'No Entry' is a joyride that is bound to click with the masses in a big way,' stated Taran Adarsh of Bollywood Hungama.",29103012701d4944ae7e08ad0f4b0ea9,,,,,,4
patsy n (critic),source of information,"'If we can watch men sleeping around, and laugh about them, why can't we do the same with movies about woman having extramarital affairs?' stated Patsy N of Rediff.com.",29103012701d4944ae7e08ad0f4b0ea9,,,,,,4
vinayak chakraborty,source of information,"'No Entry' works as thoroughly unapologetic, paisa vasool slapstick - the popular formula that Bollywood’s new-age makers of ‘comedies’ have hit upon, post David Dhawan,' wrote Vinayak Chakraborty of Hindustan Times.",29103012701d4944ae7e08ad0f4b0ea9,,,,,,4
marc savlov,source of information,"'After tackling a romance and thriller, writer/director Anees Bazmee tries his hand at comedy with No Entry,' stated Marc Savlow.",29103012701d4944ae7e08ad0f4b0ea9,,,,,,4
chennai,location,'No Entry' topped the Chennai box office on its opening weekend.,29103012701d4944ae7e08ad0f4b0ea9,,,,,,4
bollywood hungama,source of information,"'No Entry' is a joyride that is bound to click with the masses in a big way,' stated Taran Adarsh of Bollywood Hungama.",29103012701d4944ae7e08ad0f4b0ea9,,,,,,4
rediff.com,source of information,"'If we can watch men sleeping around, and laugh about them, why can't we do the same with movies about woman having extramarital affairs?' stated Patsy N of Rediff.com.",29103012701d4944ae7e08ad0f4b0ea9,,,,,,4
no entry,sequel,The upcoming film 'No Entry Mein Entry' is a sequel to the previous comedy film 'No Entry',644f88a0b7594229b2914438a4406c44,,,,,,4
bazmee,director,Filmmaker Bazmee confirmed in August 2020 that he will be directing the sequel 'No Entry Mein Entry',644f88a0b7594229b2914438a4406c44,,,,,,4
anil kapoor,actor,"Bollywood stars Anil Kapoor, Salman Khan and Fardeen Khan will be reprising their roles in the sequel 'No Entry Mein Entry'",644f88a0b7594229b2914438a4406c44,,,,,,4
salman khan,actor,"Bollywood stars Anil Kapoor, Salman Khan and Fardeen Khan will be reprising their roles in the sequel 'No Entry Mein Entry'",644f88a0b7594229b2914438a4406c44,,,,,,4
fardeen khan,actor,"Bollywood stars Anil Kapoor, Salman Khan and Fardeen Khan will be reprising their roles in the sequel 'No Entry Mein Entry'",644f88a0b7594229b2914438a4406c44,,,,,,4
varun dhawan,actor,"The sequel 'No Entry Mein Entry' will star actors Varun Dhawan, Diljit Dosanjh and producer Boney Kapoor’s son Arjun Kapoor",644f88a0b7594229b2914438a4406c44,,,,,,4
diljit dosanjh,actor,"The sequel 'No Entry Mein Entry' will star actors Varun Dhawan, Diljit Dosanjh and producer Boney Kapoor’s son Arjun Kapoor",644f88a0b7594229b2914438a4406c44,,,,,,4
arjun kapoor,actor,"The sequel 'No Entry Mein Entry' will star actors Varun Dhawan, Diljit Dosanjh and producer Boney Kapoor’s son Arjun Kapoor",644f88a0b7594229b2914438a4406c44,,,,,,4
boney kapoor,producer,"'No Entry Mein Entry' will be produced by Boney Kapoor, Panorama Studios, Salman Khan, T-Series and Murad Khetani",644f88a0b7594229b2914438a4406c44,,,,,,4
panorama studios,producer,"'No Entry Mein Entry' will be produced by Boney Kapoor, Panorama Studios, Salman Khan, T-Series and Murad Khetani",644f88a0b7594229b2914438a4406c44,,,,,,4
salman khan,producer,"'No Entry Mein Entry' will be produced by Boney Kapoor, Panorama Studios, Salman Khan, T-Series and Murad Khetani",644f88a0b7594229b2914438a4406c44,,,,,,4
t-series,producer,"'No Entry Mein Entry' will be produced by Boney Kapoor, Panorama Studios, Salman Khan, T-Series and Murad Khetani",644f88a0b7594229b2914438a4406c44,,,,,,4
murad khetani,producer,"'No Entry Mein Entry' will be produced by Boney Kapoor, Panorama Studios, Salman Khan, T-Series and Murad Khetani",644f88a0b7594229b2914438a4406c44,,,,,,4
december 2023,shooting,"As of July 2024, no shooting dates are announced for 'No Entry Mein Entry'",644f88a0b7594229b2914438a4406c44,,,,,,4
