node_1,node_2,edge,chunk_id,relation,count
ishaan,principal,The principal announces that Ram has been hired as the Boarding School's Permanent Art Teacher and Ishaan wins an arts and crafts contest.,fcd643f610cf484c8612a5098a885eaf,,4
ishaan,nandkishore,"Nandkishore thanks Ram for transforming Ishaan after meeting him on the last day of school and sees Ishaan attempting to read from a board, leaving him teary-eyed.",fcd643f610cf484c8612a5098a885eaf,,4
ram,ishaan,"Ram paints Ishaan's portrait in an arts and crafts contest, with Ram as the runner-up.",fcd643f610cf484c8612a5098a885eaf,,4
dyslexia,conventional educational system,The husband and wife team of Amole Gupte and Deepa Bhatia developed the story that eventually became Taare Zameen Par as a way of understanding why some children could not conform to a conventional educational system due to dyslexia. Their research led them to explore possible reasons for this and their work began as a short story that evolved into a screenplay over seven years.,5b5d7fefb3c649ff8be2c17b2516df75,,4
dyslexic children,characters and situations in the film,"Bhatia and Gupte worked with dyslexic children to research and develop the screenplay, basing characters and situations on their observations. They carefully concealed the children's identities in the final version of the script.",5b5d7fefb3c649ff8be2c17b2516df75,,4
maharashtra dyslexia association,research for developing the screenplay,Bhatia and Gupte explored some possible reasons why dyslexic children failed in school by doing research with the Maharashtra Dyslexia Association while developing the character of a young boy based on Japanese filmmaker Akira Kurosawa.,5b5d7fefb3c649ff8be2c17b2516df75,,4
pace,research for developing the screenplay,Bhatia and Gupte also did research with Parents for a Better Curriculum for the Child (PACE) while developing the character of a young boy based on Japanese filmmaker Akira Kurosawa.,5b5d7fefb3c649ff8be2c17b2516df75,,4
akira kurosawa,original inspiration for how a teacher could transform the life of a student,"Deepa Bhatia cited a specific place in Kurosawa's biography where he began to excel after meeting an attentive art teacher, and said that it 'became the inspiration for how a teacher could transform the life of a student'.",5b5d7fefb3c649ff8be2c17b2516df75,,4
amole,writer,"In this context, the term 'Amole' and 'writer' are related as Amole has written a brilliant and moving script. This indicates that 'writer' is a role or profession of 'Amole'. ",60c30be846bf43c19b895ad9f89e05eb,,4
amole,creative director,"During the shooting, Amole has been present on set as the Creative Director. This indicates that 'Creative Director' is a role or position held by 'Amole'. ",60c30be846bf43c19b895ad9f89e05eb,,4
entire pre-production,amole,"In this context, the term 'entire pre-production' and 'Amole' are related as Amole has done the entire pre-production for the film. This indicates that 'Amole' played a significant role in completing the 'pre-production' phase of the film.",60c30be846bf43c19b895ad9f89e05eb,,4
creative director,strong guiding force,"During the shooting, Amole has been a strong guiding force in my debut as a director while holding the position of Creative Director. This indicates that 'Creative Director' and 'strong guiding force' are related as both roles were being played by Amole during the shooting.",60c30be846bf43c19b895ad9f89e05eb,,4
aamir khan,amole gupte,"Khan and Gupte first met in college. Khan admired Gupte's abilities as an actor, writer, and painter before three years of the film's release. Gupte brought Khan to the project as a producer and actor, but Khan lost faith in Gupte's directing abilities during the film's shooting. However, Gupte convinced Khan to stay on board by stepping down as director. There were creative differences between the two, leading Khan to claim that he was the director of the film after its wrap-up party.",d06b9467d26f42dfb49854d3f010ab97,,4
aamir khan,ishaan,"Khan took over the role of director for Taare Zameen Par, as he wanted to prevent any delay in production due to hiring a third party. The character Ishaan might have aged too much for the part had production been delayed.",d06b9467d26f42dfb49854d3f010ab97,,4
taare zameen par,film,Taare Zameen Par is a film,09ecc7d039b145e488f89b0652b81665,,4
children,taare zameen par,Taare Zameen Par is about children,09ecc7d039b145e488f89b0652b81665,,4
celebrates,abilities of children,Taare Zameen Par celebrates the abilities of children,09ecc7d039b145e488f89b0652b81665,,4
special,all the kids,All the kids are special,09ecc7d039b145e488f89b0652b81665,,4
wonderful,all the kids,All the kids are wonderful,09ecc7d039b145e488f89b0652b81665,,4
stars,all the kids,All the kids are like stars on earth,09ecc7d039b145e488f89b0652b81665,,4
principal photography,taare zameen par,Taare Zameen Par's principal photography took place in India over five months,09ecc7d039b145e488f89b0652b81665,,4
ishaan collecting fish outside his school,film city,The shots of Ishaan involving the gutter terrarium were filmed at a water tank located in Film City.,325df660abff498baa12b067466e42b4,,4
ishaan collecting fish outside his school,location,The opening scene of Ishaan collecting fish outside his school was shot on location.,325df660abff498baa12b067466e42b4,,4
two dogs,ishaan,Ishaan played with two dogs in the next sequence.,325df660abff498baa12b067466e42b4,,4
safary,two dogs,"To compensate for the absolutely petrified Safary, most joint shots used a body double.",325df660abff498baa12b067466e42b4,,4
railway-station set,ishaan's nightmare,The film's next sequence involving Ishaan's nightmare was filmed in Mumbai on a permanent railway-station set.,325df660abff498baa12b067466e42b4,,4
train set piece,railway-station set,"To work around the train set piece's immobility, production placed the camera on a moving trolley to create the illusion of a departing train.",325df660abff498baa12b067466e42b4,,4
camera,train set piece,The camera was placed on a moving trolley next to a recreated section of the train's door for the sequences related from the mother's point of view.,325df660abff498baa12b067466e42b4,,4
chopra,train set piece,"For the sequences related from the mother's point of view, Chopra stood on a trolley next to a recreated section of the train's door.",325df660abff498baa12b067466e42b4,,4
school sequences,mumbai school with an 'oppressive' feel,"production team searched for a school to establish the heaviness of being in a metropolitan school, eventually chose St. Xavier's School",97dd93c08622452aaef780f2ff78208f,,4
ishaan,"small house in mysore colony, chembur",school sequences were filmed on location at Ishaan's house,97dd93c08622452aaef780f2ff78208f,,4
ishaan,"vast, beautiful environs of panchgani","changed setting from small house to New Era High School, Ishaan's boarding school",97dd93c08622452aaef780f2ff78208f,,4
production staff,classroom windows,placed acrylic sheets on the classroom windows to mask the sounds of nearby crowds and helicopters during filming at St. Xavier's School,97dd93c08622452aaef780f2ff78208f,,4
bird feeding its babies,stock footage,"production relied on for brief scene but learned three weeks before release that footage was not available in proper format, had to make do with what was available or risk delaying the release",97dd93c08622452aaef780f2ff78208f,,4
khan,cringes every time he sees it,"selected a clip for bird feeding its babies but learned three weeks before release that footage was not available in proper format, had to make do with what was available or risk delaying the release",97dd93c08622452aaef780f2ff78208f,,4
real schoolchildren,khan,Khan credited them with the film's success.,de965aa28f474afea7e8e8a74f773243,,4
khan,child actors,Khan placed a high priority on the day-to-day needs of his child actors,de965aa28f474afea7e8e8a74f773243,,4
new era high school students,ishaan's classmates,"The production staff made sure that the students were never idle, and always kept them occupied outside of filming.",de965aa28f474afea7e8e8a74f773243,,4
new era faculty coordinator douglas lee,child actors,"Douglas Lee thought the experience not only helped the children to learn patience and co-operation, but also gave them a better understanding of how they should behave towards children like Ishaan who have problems in school.",de965aa28f474afea7e8e8a74f773243,,4
real schoolchildren,students from nearby schools,"To fill in the campus background, students from nearby schools were also brought in.",de965aa28f474afea7e8e8a74f773243,,4
"khan, director",first assistant director sunil pandey,Sunil Pandey spoke continuously in an attempt to 'bore the hell out of [them]',2e9a086695cf4cd6aae6f5ec8bfc1a77,directed the actions of,4
school assembly scene,principal's speech,"Khan wanted the students to act naturally and to ignore the principal's speech, but recognised that this would be a difficult feat with cameras present.",2e9a086695cf4cd6aae6f5ec8bfc1a77,related to,4
school assembly scene,students' natural behavior,Students eventually lost interest in the filming and behaved normally.,2e9a086695cf4cd6aae6f5ec8bfc1a77,resulted from,4
nikumbh enlightening his class about famous people with dyslexia,children's responses to his speech,The children's reactions were 'jaded',2e9a086695cf4cd6aae6f5ec8bfc1a77,related to,4
nikumbh enlightening his class about famous people with dyslexia,khan,Having already spent 3–4 days hearing the dialogue the children's reactions were 'jaded',2e9a086695cf4cd6aae6f5ec8bfc1a77,resulted from,4
children playing around a nearby pond,water depth,Khan learned that the water was 15 feet (4.6 m) deep,2e9a086695cf4cd6aae6f5ec8bfc1a77,related to,4
children playing around a nearby pond,four lifeguards,Khan recruited four lifeguards in case a child fell in.,2e9a086695cf4cd6aae6f5ec8bfc1a77,resulted from,4
end credits footage of children,pandey,Pandey traveled throughout India filming documentary-style footage of children from all walks of life.,2e9a086695cf4cd6aae6f5ec8bfc1a77,directed by,4
musical sequence,four members of ishaan's family,establishes characters through robotic style of music mirrored by machine-like morning routines. Changes for Ishaan to imply he is different.,2f75f6e15006484e8f7b5b91185b244b,,4
father,hardworking and responsible,established through musical sequence,2f75f6e15006484e8f7b5b91185b244b,,4
yohaan,ideal son,established through musical sequence,2f75f6e15006484e8f7b5b91185b244b,,4
mother,machine-like morning routines,established through musical sequence,2f75f6e15006484e8f7b5b91185b244b,,4
maa scenes,specific lighting only lasted ten to fifteen minutes a day,caused filming to take nearly ten evenings,2f75f6e15006484e8f7b5b91185b244b,,4
child singing,initially considered but deemed too over the top,connection would be best for more people if sung by an adult,2f75f6e15006484e8f7b5b91185b244b,,4
shankar,musical sequence performance,ultimately decided that his rendition was best,2f75f6e15006484e8f7b5b91185b244b,,4
truancy,ishaan,Ishaan decides to leave school due to his failed math test and unsigned form. This act is considered as truancy.,217ec092b70f4dfb94f40558c72e0cba,,4
math test,ishaan,Ishaan fails his math test and becomes disappointed with himself.,217ec092b70f4dfb94f40558c72e0cba,,4
mother,ishaan,Ishaan's mother signs his forms after school. Ishaan realizes that she has not done so for this math test.,217ec092b70f4dfb94f40558c72e0cba,,4
mumbai,truancy scene,"The truancy scene includes visuals of Mumbai, showcasing touristy locations.",217ec092b70f4dfb94f40558c72e0cba,,4
kholo kholo,truancy scene,"Initially, the song 'Kholo Kholo' was planned to be played during the truancy scene. However, it did not fit well according to Khan.",217ec092b70f4dfb94f40558c72e0cba,,4
mera jahan,truancy scene,"As an alternative, 'Mera Jahan' was selected by Khan for the truancy scene.",217ec092b70f4dfb94f40558c72e0cba,,4
gupte,mera jahan,The song 'Mera Jahan' was written by Gupte.,217ec092b70f4dfb94f40558c72e0cba,,4
bum bum bole,shiamak davar,Shiamak Davar choreographed the dance sequence of 'Bum Bum Bole'.,e6faaafba47e4dd7bdc9191fc6cce71b,,4
bheja kum,ram madhvani,"During the filming of 'Bum Bum Bole,' Ram Madhvani took over as director for 'Bheja Kum' due to time constraints.",e6faaafba47e4dd7bdc9191fc6cce71b,,4
shiamak davar,40 students from his dance school,"Shiamak Davar intended to use 40 students from his dance school for the dance sequence of 'Bum Bum Bole,' but Khan did not want trained dancers.",e6faaafba47e4dd7bdc9191fc6cce71b,,4
khan,trained dancers,Khan did not want trained dancers in the dance sequence of 'Bum Bum Bole'.,e6faaafba47e4dd7bdc9191fc6cce71b,,4
bheja kum,rhythmic dialogue,The song 'Bheja Kum' contains a 'fun-filled' song of rhythmic dialogue.,e6faaafba47e4dd7bdc9191fc6cce71b,,4
ishaan,the audience,The song 'Bheja Kum' allowed the audience to perceive how Ishaan sees the world and written languages.,e6faaafba47e4dd7bdc9191fc6cce71b,,4
tata elxsi's visual computing labs,creatures,Tata Elxsi's Visual Computing Labs made the creatures out of the English alphabet and numbers for the song 'Bheja Kum'.,e6faaafba47e4dd7bdc9191fc6cce71b,,4
english alphabet,hindi alphabet,Khan insisted that Tata Elxsi's Visual Computing Labs include the Hindi alphabet for the song 'Bheja Kum' because not all of the audience is familiar with English.,e6faaafba47e4dd7bdc9191fc6cce71b,,4
snake,chalkboard writing,The transformation of chalkboard writing into a snake was included in the song 'Bheja Kum' to surprise the audience and end the song on a high note.,e6faaafba47e4dd7bdc9191fc6cce71b,,4
background music,ishaan's tension/upset,guitar is played with discordant notes to convey these emotions,3017273f76d742268dbabcdb033deb83,,4
background noise,ishaan's peace of mind,the music overpowers the background noise in the opening scene to represent Ishaan's immersion in his own world,3017273f76d742268dbabcdb033deb83,,4
background noise,ishaan's father understanding dyslexia,the silent scene slowly introduces background music as the father grasps his son's predicament to make it more realistic,3017273f76d742268dbabcdb033deb83,,4
taare zameen par,soundtrack,"The soundtrack for Taare Zameen Par was released under the label T-Series by Indian trade website Box Office India, selling around 1,100,000 units and becoming the year's thirteenth highest-selling.",e895dd4d1db34557925d0c06ec6bb568,,4
taare zameen par,t-series,"The soundtrack for Taare Zameen Par was released under the label T-Series by Indian trade website Box Office India, selling around 1,100,000 units and becoming the year's thirteenth highest-selling.",e895dd4d1db34557925d0c06ec6bb568,,4
taare zameen par,shankar–ehsaan–loy,The music of Taare Zameen Par is mainly composed by Shankar–Ehsaan–Loy.,e895dd4d1db34557925d0c06ec6bb568,,4
taare zameen par,prasoon joshi,The lyrics of Taare Zameen Par are mainly composed by Prasoon Joshi.,e895dd4d1db34557925d0c06ec6bb568,,4
mera jahan,taare zameen par,The song 'Mera Jahan' is from the soundtrack of Taare Zameen Par.,e895dd4d1db34557925d0c06ec6bb568,,4
mera jahan,shailendra barve,The song 'Mera Jahan' was scored by Shailendra Barve.,e895dd4d1db34557925d0c06ec6bb568,,4
mera jahan,gupte,The lyrics of the song 'Mera Jahan' were written by Gupte.,e895dd4d1db34557925d0c06ec6bb568,,4
shankar mahadevan,maa,Shankar Mahadevan won the National Film Award for Best Male Playback Singer for 'Maa' from Taare Zameen Par.,e895dd4d1db34557925d0c06ec6bb568,,4
prasoon joshi,maa,"The song 'Maa' from Taare Zameen Par has lyrics by Prasoon Joshi, who received the National Film Award for Best Lyrics.",e895dd4d1db34557925d0c06ec6bb568,,4
taare zameen par,domestic gross,"Within the first three days, Taare Zameen Par grossed ₹150 million (US$3.63 million) domestically.",53888943def442afb38b878d089081a9,,4
taare zameen par,total domestic run,"Taare Zameen Par completed its domestic run with $19,779,215.",53888943def442afb38b878d089081a9,,4
taare zameen par,release,Taare Zameen Par was released worldwide on 14 December 2007.,53888943def442afb38b878d089081a9,,4
"australia, malaysia, new zealand, and fiji",taare zameen par,"Countries such as Australia, Malaysia, New Zealand, and Fiji opened Taare Zameen Par on 20 December.",53888943def442afb38b878d089081a9,,4
maharashtra government,taare zameen par,The Maharashtra government granted the film exemption from the entertainment tax.,53888943def442afb38b878d089081a9,,4
theatre occupancy,taare zameen par,"The theatre occupancy in Mumbai dropped to 58 percent during its third week, but climbed back to 62 percent the following week.",53888943def442afb38b878d089081a9,,4
world distributor pvr pictures,taare zameen par,"Anticipating further tax exemption in other states, world distributor PVR Pictures circulated 200 more prints of the film.",53888943def442afb38b878d089081a9,,4
global gross,taare zameen par,Reports regarding the film's worldwide gross have conflicted.,53888943def442afb38b878d089081a9,,4
utv home entertainment,"darsheel safary's school, green lawns high school","launched at Darsheel Safary's school, Green Lawns High School, in Mumbai",226db7899760482f8056305de45a2106,,4
aamir khan,darsheel safary,"present at the launch of the film on DVD at Darsheel Safary's school, Green Lawns High School, in Mumbai",226db7899760482f8056305de45a2106,,4
darsheel safary,happy child,"Aamir Khan stated, 'Darsheel is a very happy child, full of life and vibrant. I am sure it’s because of the way his parents and teachers have treated him.'.",226db7899760482f8056305de45a2106,,4
utv software communications,walt disney studios home entertainment,"Walt Disney Studios Home Entertainment bought the DVD rights for distribution in North America, the United Kingdom, and Australia from UTV Software Communications for ₹70 million (US$840,000).",226db7899760482f8056305de45a2106,,4
like stars on earth,taare zameen par,"retitled by Walt Disney Studios Home Entertainment for distribution in North America, the United Kingdom, and Australia.",226db7899760482f8056305de45a2106,,4
taare zameen par,widespread critical acclaim upon release,Taare Zameen Par received widespread critical acclaim upon release.,460dcb13a4054b7b88e3898194fed1a7,,4
taare zameen par,93% of 14 critics' reviews are positive,"According to review aggregator website Rotten Tomatoes, 93% of 14 critics' reviews for Taare Zameen Par are positive.",460dcb13a4054b7b88e3898194fed1a7,,4
taare zameen par,7.4/10 [average rating],"On the review aggregator website Rotten Tomatoes, Taare Zameen Par has an average rating of 7.4/10.",460dcb13a4054b7b88e3898194fed1a7,,4
subhash k. jha,aamir khan,Subhash K. Jha suggests that Aamir Khan holds back where he could easily resort to an extravagant display of drama and emotions in Taare Zameen Par.,460dcb13a4054b7b88e3898194fed1a7,,4
taare zameen par,work of art,"According to Subhash K. Jha, Taare Zameen Par is 'a work of art'.",460dcb13a4054b7b88e3898194fed1a7,,4
taare zameen par,water painting,"Subhash K. Jha suggests that the colors in Taare Zameen Par drip into our hearts, making it a 'water painting where the colors drip into our hearts'.",460dcb13a4054b7b88e3898194fed1a7,,4
rajeev masand,taare zameen par,"According to Rajeev Masand, CNN-IBN, Taare Zameen Par's true power lies in its 'remarkable, rooted, rock-solid script which provides the landscape for such an emotionally engaging, heart-warming experience.'",460dcb13a4054b7b88e3898194fed1a7,,4
manish gajjar,taare zameen par,"According to Manish Gajjar of the BBC, Taare Zameen Par 'touches your heart and moves you deeply with its sterling performances. [It is] a film full of substance!'",460dcb13a4054b7b88e3898194fed1a7,,4
jaspreet pandohar,taare zameen par,"According to Jaspreet Pandohar, also of BBC, Taare Zameen Par is a 'far cry from the formulaic masala flicks churned out by the Bollywood machine' and is 'an inspirational story that is as emotive as it is entertaining; this is a little twinkling star of a movie.'",460dcb13a4054b7b88e3898194fed1a7,,4
taare zameen par,deeply overwhelming experience,"Anurag Kashyap, a filmmaker, shared his emotions after watching the movie 'Taare Zameen Par'. The impact of the movie left him speechless, and he could not express how much he liked it. This shows that the movie had an intense and powerful effect on him.",e6d21a7047a14b4abc56867203075bec,,4
taare zameen par,dyslexia,"The plot of 'Taare Zameen Par' revolves around a dyslexic child, and Anurag Kashyap mentioned that if the condition of dyslexia was not present in the movie, it would have been similar to his own story from his college days.",e6d21a7047a14b4abc56867203075bec,,4
taare zameen par,'perfectionist' actor and director',"The statement 'because the 'perfectionist' actor has shaped into a 'perfectionist' director' highlights that the movie's director, Aamir Khan, is also known for his perfectionism as an actor.",e6d21a7047a14b4abc56867203075bec,,4
taare zameen par,'gripping' performance,The statement 'very rarely do performances get so gripping' signifies that the performances in the movie 'Taare Zameen Par' are exceptionally captivating and engaging.,e6d21a7047a14b4abc56867203075bec,,4
dyslexic savant syndrome,ishaan,"In his article 'Taare Zameen Par and dyslexic savants', Ambar Chakravarty noted that the portrayal of Ishaan's dyslexia in the movie was generally accurate. However, he found it puzzling that Ishaan had trouble with simple arithmetic, which is a trait of dyscalculia rather than dyslexia, but reasoned that this was meant to 'enhance the image of [Ishaan's] helplessness and disability'. Chakravarty labeled Ishaan an example of 'dyslexic savant syndrome' and especially praised the growth of Ishaan's artistic talents after receiving help and support from Nikumbh, which he deemed the 'most important (and joyous) neurocognitive phenomenon' of the film.",faefece0ae454f45a8ad6a937df910bf,,4
cosmetic neurology,improvement,"Labeling Ishaan an example of 'dyslexic savant syndrome', Ambar Chakravarty highlighted the issue of cosmetic neurology, which is a 'major and therapeutically important issue' in cognitive neuroscience and neuropsychology. The improvement in Ishaan's artistic talents after receiving help and support from Nikumbh is an example of this phenomenon.",faefece0ae454f45a8ad6a937df910bf,,4
mass scale mindlessness,race of 'achievement',"the film raises serious questions on mental health perspectives and explores how threats and coercion are not capable of unearthing rich human potentialities deeply embedded in children, while teachers should instead map their strengths and weaknesses. The authors believe that the film depicts how teachers should focus on getting to know the child before making any efforts to fill them with knowledge and abilities, and Khan 'dexterously drives home the precise point that our first priority ought to be getting to know the child before making any efforts to fill them with knowledge and abilities'. Overall, the authors found a 'naive oversimplification' in the film and believed that it expands beyond disabilities and explores the 'present age where everyone is in a restless hurry'. The pair wrote that the film deserves to be vastly appreciated as an earnest endeavor to portray with sensitivity and empathetically diagnose a malady in human life, and blends'modern professional knowledge' with a 'humane approach' in working with a dyslexic child. The authors also believed that the film expands beyond disabilities and explores the 'present age where everyone is in a restless hurry', and that it raises serious questions on mental health perspectives. They further wrote, 'This film raises serious questions on mental health perspectives. We seem to be heading to a state of mass scale mindlessness even as children are being pushed to 'perform'.' ",b8091477dba54c2da5902db334e43557,,4
meaningful living,merely existing,"the authors felt that Khan 'dexterously drives home the precise point that our first priority ought to be getting to know the child before making any efforts to fill them with knowledge and abilities'. They further believed that the film depicts how 'threats and coercion are not capable of unearthing rich human potentialities deeply embedded in children', and that teachers should instead map their strengths and weaknesses. With this in mind, the author felt that Khan 'dexterously drives home the precise point that our first priority ought to be getting to know the child before making any efforts to fill them with knowledge and abilities'. They also believed that the film depicts how 'threats and coercion are not capable of unearthing rich human potentialities deeply embedded in children', and that teachers should instead map their strengths and weaknesses.",b8091477dba54c2da5902db334e43557,,4
learning disability,naive oversimplification,"Overall, the pair found a 'naive oversimplification' in the film regarding learning disabilities.",04e55b981d324a6dbfb2b4031eb5b50c,,4
learning disability,artistic license,They easily [forgave the film's fault] under artistic license considering India 'only recently waking to recognizing the reality and tragedy of learning disability'.,04e55b981d324a6dbfb2b4031eb5b50c,,4
dyslexia,awareness,The film raised awareness of dyslexia.,8672eb6f92e34ab0bc678f806114702a,,4
dyslexia,issues,Dyslexia is an issue that the film addressed.,8672eb6f92e34ab0bc678f806114702a,,4
film,dyslexia,The film focused on dyslexia.,8672eb6f92e34ab0bc678f806114702a,,4
issues of dyslexia,prompted,Discussions about the issues of dyslexia were prompted by the film.,8672eb6f92e34ab0bc678f806114702a,,4
discussions,parents,Parents participated in discussions about the issues of dyslexia.,8672eb6f92e34ab0bc678f806114702a,,4
discussions,schools,Discussions about the issues of dyslexia involved schools as well.,8672eb6f92e34ab0bc678f806114702a,,4
discussions,activists,Discussions about the issues of dyslexia included activists as well.,8672eb6f92e34ab0bc678f806114702a,,4
discussions,policymakers,Discussions about the issues of dyslexia also involved policymakers.,8672eb6f92e34ab0bc678f806114702a,,4
anjuli bawa,number of parents,"After the film, Anjuli Bawa saw a tenfold increase in the number of parents visiting her office.",8672eb6f92e34ab0bc678f806114702a,,4
anjuli bawa,parents,Anjuli Bawa's work with parents increased following the film.,8672eb6f92e34ab0bc678f806114702a,,4
gupte,painful letters and phone calls,Gupte received painful letters and phone calls from Indian parents after the film's release.,8672eb6f92e34ab0bc678f806114702a,,4
gupte,fathers,Fathers weep on the phone and say they saw the film and realized that they have been wrong in the way they treated their children. This is catharsis.,8672eb6f92e34ab0bc678f806114702a,,4
central board of secondary education,disabled children,"The Central Board of Secondary Education provided extra time to disabled children—including visually impaired, physically disabled, and dyslexic students—during exams following the film's release.",8672eb6f92e34ab0bc678f806114702a,,4
mumbai's civic body,autistic students,"Following the film's release, Mumbai's civic body opened 12 classrooms for autistic students.",8672eb6f92e34ab0bc678f806114702a,,4
education administration,learning disabilities,"Following the film's release, the education administration in Chandigarh started a course to educate teachers on how to support children with learning disabilities.",8672eb6f92e34ab0bc678f806114702a,,4
taare zameen par,greater china,"The film has had a similarly positive response in Greater China, where it was not officially released yet has a large online cult following due to Aamir Khan's popularity in the region after the success of 3 Idiots (2009).",af4f012265c148f49eaef9154409a2f9,,4
taare zameen par,chinese audiences,"The film has been well received by Chinese audiences for how it tackles issues such as education and dyslexia,",af4f012265c148f49eaef9154409a2f9,,4
douban,taare zameen par,"is one of the highest-rated films on popular Chinese film site Douban,",af4f012265c148f49eaef9154409a2f9,,4
3 idiots (2009),aamir khan's popularity in the region,after the success of,af4f012265c148f49eaef9154409a2f9,,4
taare zameen par,india's official entry for the 2009 academy awards best foreign film,"But after it failed to progress to the short list,",af4f012265c148f49eaef9154409a2f9,,4
taare zameen par,indian media,"a debate began as to why Indian films never win Academy Awards,",af4f012265c148f49eaef9154409a2f9,,4
taare zameen par,rediff.com's arthur j. pai's observation,lacks mainstream media attention;,af4f012265c148f49eaef9154409a2f9,,4
krishna shah,ampas jury member,criticized its length and abundance of songs.,af4f012265c148f49eaef9154409a2f9,,4
taare zameen par,slumdog millionaire,"The Indian news media frequently compared Taare Zameen Par's nomination failure with Slumdog Millionaire's multiple Academy Award nominations and wins, due to the former being overlooked in the past and the latter being marketed in a way that Indian films could not compete with. Film critic Rajeev Masand argued that it is difficult to compare the two films.",c98ba8514a974c2aa30f8043a7ef1e99,,4
taare zameen par,slumdog millionaire,"Actor Mahesh Manjrekar stated that while he thought Taare Zameen Par was way better than Slumdog Millionaire, he did not mean to take anything away from the film's director Danny Boyle and its child actors.",c98ba8514a974c2aa30f8043a7ef1e99,,4
